TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,248,smss.exe,0x48240000,0x13000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,N/A,Disabled
0,248,smss.exe,0x772c0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,N/A,Disabled
0,320,csrss.exe,0x4a240000,0x5000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,N/A,Disabled
0,320,csrss.exe,0x772c0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,N/A,Disabled
0,320,csrss.exe,0x75470000,0xd000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x75460000,0xe000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,4,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x75430000,0x2c000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,2,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x75b60000,0xc9000,USER32.dll,C:\\Windows\\system32\\USER32.dll,11,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x77410000,0x4e000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,12,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x771e0000,0xd4000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,69,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x755b0000,0x4a000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,224,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x77400000,0xa000,LPK.dll,C:\\Windows\\system32\\LPK.dll,3,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x76ce0000,0x9d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,3,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x77130000,0xac000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,3,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x75420000,0x9000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,1,2023-03-28 21:50:18.000000 UTC,Disabled
0,320,csrss.exe,0x75360000,0x5f000,sxs.dll,C:\\Windows\\system32\\sxs.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,320,csrss.exe,0x76b00000,0xa1000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,320,csrss.exe,0x753f0000,0xc000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x660000,0x1a000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,N/A,Disabled
0,368,wininit.exe,0x772c0000,0x13c000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,N/A,Disabled
0,368,wininit.exe,0x771e0000,0xd4000,kernel32.dll,C:\\Windows\\system32\\kernel32.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x755b0000,0x4a000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x75b60000,0xc9000,USER32.dll,C:\\Windows\\system32\\USER32.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x77410000,0x4e000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x77400000,0xa000,LPK.dll,C:\\Windows\\system32\\LPK.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x76ce0000,0x9d000,USP10.dll,C:\\Windows\\system32\\USP10.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x77130000,0xac000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x76b00000,0xa1000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x76f80000,0x19000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x75410000,0xb000,profapi.dll,C:\\Windows\\system32\\profapi.dll,-1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x76cc0000,0x1f000,IMM32.DLL,C:\\Windows\\system32\\IMM32.DLL,2,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x769c0000,0xcc000,MSCTF.dll,C:\\Windows\\system32\\MSCTF.dll,1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x75400000,0xe000,RpcRtRemote.dll,C:\\Windows\\system32\\RpcRtRemote.dll,1,2023-03-28 21:50:18.000000 UTC,Disabled
0,368,wininit.exe,0x75310000,0x4c000,apphelp.dll,C:\\Windows\\system32\\apphelp.dll,-1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x753f0000,0xc000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x77460000,0x35000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,6,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x75720000,0x6000,NSI.dll,C:\\Windows\\system32\\NSI.dll,6,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x74e50000,0x3c000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,3,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x749a0000,0x5000,wshtcpip.dll,C:\\Windows\\System32\\wshtcpip.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x74e40000,0x6000,wship6.dll,C:\\Windows\\System32\\wship6.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x751b0000,0x8000,secur32.dll,C:\\Windows\\system32\\secur32.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x752f0000,0x1b000,SSPICLI.DLL,C:\\Windows\\system32\\SSPICLI.DLL,2,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x74b30000,0x8000,credssp.dll,C:\\Windows\\system32\\credssp.dll,1,2023-03-28 21:50:19.000000 UTC,Disabled
0,368,wininit.exe,0x76d80000,0xa0000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,1,2023-03-28 21:50:29.000000 UTC,Disabled
