TreeDepth,Offset,Name
0,0x4bf2e18,\\Windows\\winsxs\\FileMaps\\$$_inf_.net_data_provider_for_oracle_0409_1ac885a6f00b112b.cdf-ms
0,0x4bf35d8,\\Windows\\System32\\tzres.dll
0,0x4bf4c40,\\Windows\\winsxs\\FileMaps\\$$_inf_servicemodelservice_3.0.0.0_0000_2fd4d7f498bba769.cdf-ms
0,0x4bf5038,\\Windows\\System32\\catroot2\\edb.log
0,0x4bf5330,\\Users\\devmac\\AppData\\Local\\Temp\\3c425eb0-ee58-4963-ad4c-7b7c1398d272.tmp
0,0x4bf69b0,\\Windows\\winsxs\\FileMaps\\$$_diagnostics_system_windowsmediaplayerconfiguration_en-us_b557b88758a93acd.cdf-ms
0,0x4bf7390,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\d663e70666f25ea1_0
0,0x4bf7548,\\Windows\\winsxs\\FileMaps\\$$_inf_pnrpsvc_0000_43733b07fe2eb83f.cdf-ms
0,0x4bf8308,\\Windows\\winsxs\\FileMaps\\$$_resources_themes_aero_shell_a91dfa5124b343c4.cdf-ms
0,0x4bf84f0,\\Windows\\winsxs\\FileMaps\\$$_inf_tapisrv_20c65cafb424239c.cdf-ms
0,0x4bf9980,\\Windows\\winsxs\\FileMaps\\$$_system32_migration_wsmt_rras_dlmanifests_3797d36d4dbe18ed.cdf-ms
0,0x4bf9ac8,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\9d3d5ce5e1af3778_0
0,0x4bfa7b8,\\Windows\\winsxs\\FileMaps\\$$_inf_termservice_f0fb244350031192.cdf-ms
0,0x4bfabf8,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120
0,0x4bfc3a8,\\Windows\\winsxs\\FileMaps\\$$_microsoft.net_3296b36dbe4c7fa3.cdf-ms
0,0x4bfc6d0,\\$Mft
0,0x4bfc788,\\Windows\\winsxs\\FileMaps\\$$_media_sonata_6b55eb3f91aab49e.cdf-ms
0,0x4bfc8f0,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0,0x4bfcbc8,\\Windows\\winsxs\\FileMaps\\$$_inf_en-us_0ef70046e1d1b811.cdf-ms
0,0x4bfde98,\\srvsvc
0,0x2f211e43,ę￿￿
0,0x42923a80,㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿∡␣☥⠧⨩Ⱛ⸭〯㈱㐳㘵㠷㨹㰻㸽䀿䉁䑃䙅䡇䩉䱋乍偏剑呓噕塗婙屛幝恟扡摣晥桧橩汫湭灯牱瑳癵硷穹类繽㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿㼿?ഀ딀ā㼀㼀㼀㼀
0,0x7d800540,\\Endpoint
0,0x7d800640,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Wordpad.lnk
0,0x7d800930,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\IETldCache\\index.dat
0,0x7d800a08,\\Windows\\System32\\WindowsAnytimeUpgradeui.exe
0,0x7d800b30,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Site Characteristics Database\\CURRENTdbtmp
0,0x7d800be8,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Windows Anytime Upgrade.lnk
0,0x7d800e18,\\Windows\\System32\\en-US\\windowsanytimeupgradeui.exe.mui
0,0x7d801300,\\Windows\\System32\\NlsData0000.dll
0,0x7d801e10,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Desktop.ini
0,0x7d801f80,\\$Directory
0,0x7d8025b8,\\$Directory
0,0x7d802670,\\Users\\devmac\\AppData\\Local\\Microsoft\\Feeds Cache\\index.dat
0,0x7d802898,\\Windows\\System32\\en-US\\DeviceCenter.dll.mui
0,0x7d802a38,\\Windows\\System32\\IconCodecService.dll
0,0x7d802f80,\\Endpoint
0,0x7d803038,\\$Directory
0,0x7d8031c0,\\$Directory
0,0x7d803278,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\System Tools\\Desktop.ini
0,0x7d804598,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120\\resources.pak
0,0x7d8049a0,\\$Directory
0,0x7d804f80,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Startup\\desktop.ini
0,0x7d805218,\\Users\\devmac\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2344_1824808097\\ZM
0,0x7d805a58,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_1024.db
0,0x7d805d68,\\Windows\\System32\\notepad.exe
0,0x7d8066b8,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Administrative Tools\\desktop.ini
0,0x7d8067b8,\\Windows\\System32\\bthprops.cpl
0,0x7d807038,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_96.db
0,0x7d8071f8,\\Windows\\System32\\msiexec.exe
0,0x7d8074f8,\\Windows\\System32\\onex.dll
0,0x7d807918,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Games\\Desktop.ini
0,0x7d8083b8,\\$Directory
0,0x7d8085a0,\\Windows\\System32\\pdh.dll
0,0x7d808658,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\History\\Low\\History.IE5\\index.dat
0,0x7d8088a8,\\Windows\\System32\\catsrvut.dll
0,0x7d8091f8,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Welcome Center.lnk
0,0x7d809568,\\ProgramData\\Microsoft\\Windows\\DRM\\drmstore.hds
0,0x7d809930,\\Windows\\System32\\en-US\\wpccpl.dll.mui
0,0x7d80a3e8,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0,0x7d80abb0,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Windows Update.lnk
0,0x7d80aec8,\\$Directory
0,0x7d80af80,\\Endpoint
0,0x7d80b1a0,\\Windows\\System32\\DisplaySwitch.exe
0,0x7d80b388,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Sidebar.lnk
0,0x7d80b7a0,\\Program Files\\Windows Sidebar\\sidebar.exe
0,0x7d80b950,\\Windows\\System32\\wucltux.dll
0,0x7d80c6d0,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Windows Fax and Scan.lnk
0,0x7d80c810,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Windows Media Player.lnk
0,0x7d80c9f0,\\Windows\\System32\\xpsrchvw.exe
0,0x7d80ce38,\\$Directory
0,0x7d80cf80,\\Windows\\System32\\FXSRESM.dll
0,0x7d80d1f8,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\displayswitch.lnk
