TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x7d800f50,UDPv4,0.0.0.0,65011,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7d84b7a8,UDPv6,::1,65008,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7d852468,UDPv6,fe80::ceb:5ee2:565a:7ce0,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7dc7e588,TCPv4,10.0.2.15,49407,173.194.76.188,443,ESTABLISHED,3992,chrome.exe,-
0,0x7ddbd9e0,UDPv4,10.0.2.15,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7ddbdb50,UDPv6,::1,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7dfa3260,UDPv4,0.0.0.0,59792,*,0,,3992,chrome.exe,2023-03-28 22:05:37.000000 UTC
0,0x7e2548d0,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e2548d0,UDPv6,::,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e254c48,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e254c48,UDPv6,::,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e4252c8,UDPv6,fe80::ceb:5ee2:565a:7ce0,65007,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7e428d50,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,N/A
0,0x7e42b9b8,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,N/A
0,0x7e42b9b8,TCPv6,::,135,::,0,LISTENING,660,svchost.exe,N/A
0,0x7e4471a0,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,756,svchost.exe,N/A
0,0x7e463938,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e47dee0,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e47dee0,TCPv6,::,49157,::,0,LISTENING,472,lsass.exe,N/A
0,0x7e4a9748,UDPv4,0.0.0.0,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x7e4aa3d8,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x7e4f4d98,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,820,svchost.exe,N/A
0,0x7e4f4d98,TCPv6,::,49154,::,0,LISTENING,820,svchost.exe,N/A
0,0x7e4f90b8,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,820,svchost.exe,N/A
0,0x7e5346c0,UDPv4,0.0.0.0,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x7e535808,UDPv4,0.0.0.0,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x7e535808,UDPv6,::,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x7e53dab0,UDPv4,127.0.0.1,54581,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x7e58cd38,UDPv4,10.0.2.15,137,*,0,,4,System,2023-03-28 21:50:20.000000 UTC
0,0x7e5c2880,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x7e5c2880,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x7e5fb970,UDPv4,10.0.2.15,138,*,0,,4,System,2023-03-28 21:50:20.000000 UTC
0,0x7e645f60,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0x7e650008,UDPv4,0.0.0.0,63728,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x7e650008,UDPv6,::,63728,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x7e6565c8,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,464,services.exe,N/A
0,0x7e6582b0,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0x7e6582b0,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0x7e665270,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x7e669558,UDPv4,0.0.0.0,63727,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x7e6f7588,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,464,services.exe,N/A
0,0x7e6f7588,TCPv6,::,49155,::,0,LISTENING,464,services.exe,N/A
0,0x7e758598,UDPv4,0.0.0.0,0,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x7e758598,UDPv6,::,0,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x7e9cc0f0,UDPv4,127.0.0.1,65010,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7ea25948,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7ea25948,UDPv6,::,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7ea2f2f0,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7ea2f2f0,UDPv6,::,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7ea46ce0,UDPv4,0.0.0.0,51754,*,0,,3992,chrome.exe,2023-03-28 22:05:32.000000 UTC
0,0x7eb1fb38,TCPv4,10.0.2.15,49618,216.239.32.116,443,ESTABLISHED,3992,chrome.exe,-
0,0x7eb945c8,UDPv4,10.0.2.15,65009,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7eb9a8b0,UDPv4,0.0.0.0,65012,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7eb9a8b0,UDPv6,::,65012,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7eb9c190,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,368,wininit.exe,N/A
0,0x7ebd9b80,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,368,wininit.exe,N/A
0,0x7ebd9b80,TCPv6,::,49152,::,0,LISTENING,368,wininit.exe,N/A
0,0x7ebdae38,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,756,svchost.exe,N/A
0,0x7ebdae38,TCPv6,::,49153,::,0,LISTENING,756,svchost.exe,N/A
0,0x7ebddc70,UDPv4,127.0.0.1,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x7ec2ff50,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7f42d008,TCPv4,10.0.2.15,49616,142.250.187.234,443,ESTABLISHED,3992,chrome.exe,-
0,0x7f432878,TCPv4,-,49606,142.250.187.225,443,CLOSED,3992,chrome.exe,-
0,0x7f433008,TCPv4,10.0.2.15,49614,172.217.16.238,443,ESTABLISHED,3992,chrome.exe,-
0,0x7f43a270,TCPv4,10.0.2.15,43170,142.250.187.234,901,CLOSED,-,-,-
0,0x7f455478,TCPv4,-,49565,185.64.190.78,443,CLOSED,3992,chrome.exe,-
0,0x7f45ca78,TCPv4,10.0.2.15,49617,172.217.169.3,443,ESTABLISHED,3992,chrome.exe,-
0,0x7f45e2f8,TCPv4,10.0.2.15,49615,172.217.169.3,443,ESTABLISHED,3992,chrome.exe,-
0,0x7f5026d8,UDPv4,0.0.0.0,56008,*,0,,3992,chrome.exe,2023-03-28 22:05:32.000000 UTC
0,0x7f57f790,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7fc07df8,TCPv4,-,49564,35.186.193.173,443,CLOSED,3992,chrome.exe,N/A
0,0x7fc1f008,TCPv4,-,49599,104.18.25.173,443,CLOSED,3992,chrome.exe,-
0,0x7fc86770,UDPv6,fe80::ceb:5ee2:565a:7ce0,546,*,0,,756,svchost.exe,2023-03-28 22:04:46.000000 UTC
0,0x7fc8cca8,TCPv4,10.0.2.15,49401,142.250.180.10,443,ESTABLISHED,3992,chrome.exe,-
0,0x7fc8d730,UDPv4,0.0.0.0,50709,*,0,,3992,chrome.exe,2023-03-28 22:05:37.000000 UTC
0,0x7fd19d28,UDPv4,0.0.0.0,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x7fd19d28,UDPv6,::,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x7fe52df8,TCPv4,-,49613,172.217.16.227,443,CLOSED,3992,chrome.exe,-

