TreeDepth,Index,Address,Module,Symbol
0,0,0x82a56a7a,ntoskrnl,NtAcceptConnectPort
0,1,0x828a6f84,ntoskrnl,NtAccessCheck
0,2,0x82a8ee50,ntoskrnl,NtAccessCheckAndAuditAlarm
0,3,0x828d2b2e,ntoskrnl,NtAccessCheckByType
0,4,0x82a711c1,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,5,0x829129d2,ntoskrnl,NtAccessCheckByTypeResultList
0,6,0x82afdd4d,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,7,0x82afdd96,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,8,0x82a7ac93,ntoskrnl,NtAddAtom
0,9,0x82b17424,ntoskrnl,NtAddBootEntry
0,10,0x82b1867d,ntoskrnl,NtAddDriverEntry
0,11,0x829e8f06,ntoskrnl,NtAdjustGroupsToken
0,12,0x82a88082,ntoskrnl,NtAdjustPrivilegesToken
0,13,0x82af1209,ntoskrnl,NtAlertResumeThread
0,14,0x82a798cb,ntoskrnl,NtAlertThread
0,15,0x82a7515a,ntoskrnl,NtAllocateLocallyUniqueId
0,16,0x829aa52d,ntoskrnl,NtAllocateReserveObject
0,17,0x82ae33de,ntoskrnl,NtAllocateUserPhysicalPages
0,18,0x829eef2a,ntoskrnl,NtAllocateUuids
0,19,0x82a26e43,ntoskrnl,NtAllocateVirtualMemory
0,20,0x82a6c890,ntoskrnl,NtAlpcAcceptConnectPort
0,21,0x829e70e9,ntoskrnl,NtAlpcCancelMessage
0,22,0x82a3a141,ntoskrnl,NtAlpcConnectPort
0,23,0x82a82a08,ntoskrnl,NtAlpcCreatePort
0,24,0x82a7a989,ntoskrnl,NtAlpcCreatePortSection
0,25,0x82a0465f,ntoskrnl,NtAlpcCreateResourceReserve
0,26,0x82a7a769,ntoskrnl,NtAlpcCreateSectionView
0,27,0x82a43fc0,ntoskrnl,NtAlpcCreateSecurityContext
0,28,0x82a7b833,ntoskrnl,NtAlpcDeletePortSection
0,29,0x82ade43f,ntoskrnl,NtAlpcDeleteResourceReserve
0,30,0x82a5c7da,ntoskrnl,NtAlpcDeleteSectionView
0,31,0x82a4e4a0,ntoskrnl,NtAlpcDeleteSecurityContext
0,32,0x82a6cea8,ntoskrnl,NtAlpcDisconnectPort
0,33,0x82a39a66,ntoskrnl,NtAlpcImpersonateClientOfPort
0,34,0x82a62654,ntoskrnl,NtAlpcOpenSenderProcess
0,35,0x82a7b92b,ntoskrnl,NtAlpcOpenSenderThread
0,36,0x829f668a,ntoskrnl,NtAlpcQueryInformation
0,37,0x82a62172,ntoskrnl,NtAlpcQueryInformationMessage
0,38,0x82ade567,ntoskrnl,NtAlpcRevokeSecurityContext
0,39,0x82a69a8a,ntoskrnl,NtAlpcSendWaitReceivePort
0,40,0x82a53c38,ntoskrnl,NtAlpcSetInformation
0,41,0x82a4d92f,ntoskrnl,NtApphelpCacheControl
0,42,0x829df08a,ntoskrnl,NtAreMappedFilesTheSame
0,43,0x82a9256c,ntoskrnl,NtAssignProcessToJobObject
0,44,0x82879268,ntoskrnl,NtCallbackReturn
0,45,0x829daa2e,ntoskrnl,NtCancelIoFile
0,46,0x82a719fe,ntoskrnl,NtCancelIoFileEx
0,47,0x82acb3a4,ntoskrnl,NtCancelSynchronousIoFile
0,48,0x828d3202,ntoskrnl,NtCancelTimer
0,49,0x82a8b862,ntoskrnl,NtClearEvent
0,50,0x82a6169d,ntoskrnl,NtClose
0,51,0x82a4b25d,ntoskrnl,NtCloseObjectAuditAlarm
0,52,0x82b057a6,ntoskrnl,NtCommitComplete
0,53,0x82b054c6,ntoskrnl,NtCommitEnlistment
0,54,0x82aa8b5b,ntoskrnl,NtCommitTransaction
0,55,0x82aaff3d,ntoskrnl,NtCompactKeys
0,56,0x82a7156e,ntoskrnl,NtCompareTokens
0,57,0x82a8cec4,ntoskrnl,NtCompleteConnectPort
0,58,0x82ab01ab,ntoskrnl,NtCompressKey
0,59,0x82a56928,ntoskrnl,NtConnectPort
0,60,0x8285539c,ntoskrnl,NtContinue
0,61,0x82ac0d7d,ntoskrnl,NtCreateDebugObject
0,62,0x82a08628,ntoskrnl,NtCreateDirectoryObject
0,63,0x82a99487,ntoskrnl,NtCreateEnlistment
0,64,0x82a4996e,ntoskrnl,NtCreateEvent
0,65,0x82b1d124,ntoskrnl,NtCreateEventPair
0,66,0x82a6842e,ntoskrnl,NtCreateFile
0,67,0x82a87a05,ntoskrnl,NtCreateIoCompletion
0,68,0x82a079b5,ntoskrnl,NtCreateJobObject
0,69,0x82af2f90,ntoskrnl,NtCreateJobSet
0,70,0x82a4171e,ntoskrnl,NtCreateKey
0,71,0x82a6430e,ntoskrnl,NtCreateKeyedEvent
0,72,0x82aaacb9,ntoskrnl,NtCreateKeyTransacted
0,73,0x82a08ef6,ntoskrnl,NtCreateMailslotFile
0,74,0x82a88f86,ntoskrnl,NtCreateMutant
0,75,0x82a8c53f,ntoskrnl,NtCreateNamedPipeFile
0,76,0x8299f3d4,ntoskrnl,NtCreatePagingFile
0,77,0x82a87aef,ntoskrnl,NtCreatePort
0,78,0x829e246d,ntoskrnl,NtCreatePrivateNamespace
0,79,0x82aef67b,ntoskrnl,NtCreateProcess
0,80,0x82aef6c6,ntoskrnl,NtCreateProcessEx
0,81,0x82b1dbaf,ntoskrnl,NtCreateProfile
0,82,0x82b1db75,ntoskrnl,NtCreateProfileEx
0,83,0x829afbbe,ntoskrnl,NtCreateResourceManager
0,84,0x82a7069c,ntoskrnl,NtCreateSection
0,85,0x82a48290,ntoskrnl,NtCreateSemaphore
0,86,0x82a080a3,ntoskrnl,NtCreateSymbolicLinkObject
0,87,0x82aef482,ntoskrnl,NtCreateThread
0,88,0x82a785bd,ntoskrnl,NtCreateThreadEx
0,89,0x82a56955,ntoskrnl,NtCreateTimer
0,90,0x82a6d0f5,ntoskrnl,NtCreateToken
0,91,0x829e0e89,ntoskrnl,NtCreateTransaction
0,92,0x829b08c8,ntoskrnl,NtCreateTransactionManager
0,93,0x82a40a76,ntoskrnl,NtCreateUserProcess
0,94,0x829b1549,ntoskrnl,NtCreateWaitablePort
0,95,0x82a4ff1e,ntoskrnl,NtCreateWorkerFactory
0,96,0x82ac1c3a,ntoskrnl,NtDebugActiveProcess
0,97,0x82ac22f7,ntoskrnl,NtDebugContinue
0,98,0x82a1bc62,ntoskrnl,NtDelayExecution
0,99,0x82a030a5,ntoskrnl,NtDeleteAtom
0,100,0x82b17457,ntoskrnl,NtDeleteBootEntry
0,101,0x82b186af,ntoskrnl,NtDeleteDriverEntry
0,102,0x829aca91,ntoskrnl,NtDeleteFile
0,103,0x829f5053,ntoskrnl,NtDeleteKey
0,104,0x82aa03c8,ntoskrnl,NtDeleteObjectAuditAlarm
