TreeDepth,Offset,Name
0,0x2cd4210,\\Windows\\System32\\winevt\\Logs\\Key Management Service.evtx
0,0x4952428,\\Windows\\System32\\en-US\\ntshrui.dll.mui
0,0x4bf3d88,\\$Directory
0,0x4bf5038,\\Windows\\System32\\catroot2\\edb.log
0,0x4bf5330,\\Windows\\System32\\sqlcese30.dll
0,0x4bf67e8,\\$Directory
0,0x4bfa508,\\Windows.old.000\\Windows\\winsxs\\x86_microsoft-windows-gadgets-cpu_31bf3856ad364e35_6.1.7600.16385_none_4b7bf556f6fe4db9\\dialdot_lrg.png
0,0x4bfa7d0,\\Windows.old.000\\Windows\\winsxs\\x86_microsoft-windows-gadgets-cpu_31bf3856ad364e35_6.1.7600.16385_none_4b7bf556f6fe4db9\\dialdot.png
0,0x4bfabf8,\\Windows\\System32\\RacEngn.dll
0,0x4bfc4d8,\\$Directory
0,0x4bfc6d0,\\$Mft
0,0x4bfcef0,\\Windows.old.000\\Windows\\winsxs\\x86_prnhp002.inf_31bf3856ad364e35_6.1.7600.16385_none_d32fd3ee9b221e74\\I386\\Lmc2Sh-FSH.9
0,0x6180238,vmac\\AppData\\Local\\Temp\\de0b1c1a-dfb2-4122-9b69-5e22da8e8671.tmp
0,0x61804e8,
0,0x6180850,ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ蒶ᵀ
0,0x6180c30,
0,0x6180f80,
0,0x6200ca0,捜蓼
0,0x6200ec8,
0,0xc717bc0,cb45eccX86_POLICY.1.2.MICROSOF..OP.SECURITY.AZROLES_31BF3856AD364E35_6.1.7600.16385_NONE_E
0,0xc717c78,\\Windows\\System32\\cngaudit.dll
0,0xc717da0,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Temporary Internet Files\\Content.IE5\\index.dat
0,0x1165f7e8,.000\\Windows\\winsxs\\x86_prnhp003.inf_31bf3856ad364e35_6.1.7600.16385_none_d3b8e623b4405add\\I386\\
0,0x1165fbc8,
0,0x116dc350,
