TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x11cde270,TCPv4,10.0.2.15,43170,172.217.169.3,901,CLOSED,-,-,-
0,0x11ed1008,TCPv4,10.0.2.15,49616,172.217.169.3,443,ESTABLISHED,3992,chrome.exe,-
0,0x122d6878,TCPv4,-,49606,96.17.178.179,443,CLOSED,3992,chrome.exe,-
0,0x12a57008,TCPv4,-,49614,172.217.16.238,443,ESTABLISHED,3992,chrome.exe,-
0,0x1d7a16d8,UDPv4,0.0.0.0,56008,*,0,,3992,chrome.exe,2023-03-28 22:05:32.000000 UTC
0,0x1edd19e0,UDPv4,10.0.2.15,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x1edd1b50,UDPv6,::1,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x20068f50,UDPv4,0.0.0.0,65011,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x2027a7a8,UDPv6,::1,65008,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x202a9468,UDPv6,fe80::ceb:5ee2:565a:7ce0,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x22c1d588,TCPv4,10.0.2.15,49407,173.194.76.188,443,ESTABLISHED,3992,chrome.exe,-
0,0x250598d0,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x250598d0,UDPv6,::,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x25059c48,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x25059c48,UDPv6,::,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x266cc2c8,UDPv6,fe80::ceb:5ee2:565a:7ce0,65007,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x26733d50,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,N/A
0,0x267449b8,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,N/A
0,0x267449b8,TCPv6,::,135,::,0,LISTENING,660,svchost.exe,N/A
0,0x268c81a0,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,756,svchost.exe,N/A
0,0x26a3b938,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x26b5fee0,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x26b5fee0,TCPv6,::,49157,::,0,LISTENING,472,lsass.exe,N/A
0,0x26d3e748,UDPv4,0.0.0.0,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x26d423d8,TCPv4,0.0.0.0,49157,0.0.0.0,0,LISTENING,472,lsass.exe,N/A
0,0x26fdad98,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,820,svchost.exe,N/A
0,0x26fdad98,TCPv6,::,49154,::,0,LISTENING,820,svchost.exe,N/A
0,0x270240b8,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,820,svchost.exe,N/A
0,0x274b4260,UDPv4,0.0.0.0,59792,*,0,,3992,chrome.exe,2023-03-28 22:05:37.000000 UTC
0,0x2893f970,UDPv4,10.0.2.15,138,*,0,,4,System,2023-03-28 21:50:20.000000 UTC
0,0x28ab9f60,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0x28ae9008,UDPv4,0.0.0.0,63728,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x28ae9008,UDPv6,::,63728,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x28b305c8,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,464,services.exe,N/A
0,0x28b352b0,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0x28b352b0,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0x2ce6d6c0,UDPv4,0.0.0.0,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x2ce70808,UDPv4,0.0.0.0,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x2ce70808,UDPv6,::,5355,*,0,,1036,svchost.exe,2023-03-28 22:05:20.000000 UTC
0,0x2cea2ab0,UDPv4,127.0.0.1,54581,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x2cf38880,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x2cf38880,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x2cf52d38,UDPv4,10.0.2.15,137,*,0,,4,System,2023-03-28 21:50:20.000000 UTC
0,0x2db32790,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x3d46b558,UDPv4,0.0.0.0,63727,*,0,,1372,svchost.exe,2023-03-28 21:50:20.000000 UTC
0,0x40be7270,UDPv4,0.0.0.0,3702,*,0,,1372,svchost.exe,2023-03-28 21:50:22.000000 UTC
0,0x42979588,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,464,services.exe,N/A
0,0x42979588,TCPv6,::,49155,::,0,LISTENING,464,services.exe,N/A
0,0x48763598,UDPv4,0.0.0.0,0,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x48763598,UDPv6,::,0,*,0,,1036,svchost.exe,2023-03-28 21:50:21.000000 UTC
0,0x52b14b38,TCPv4,-,49618,10.72.0.10,443,ESTABLISHED,3992,chrome.exe,-
0,0x53917b80,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,368,wininit.exe,N/A
0,0x53917b80,TCPv6,::,49152,::,0,LISTENING,368,wininit.exe,N/A
0,0x54a18f50,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x57790ce0,UDPv4,0.0.0.0,51754,*,0,,3992,chrome.exe,2023-03-28 22:05:32.000000 UTC
0,0x58217e38,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,756,svchost.exe,N/A
0,0x58217e38,TCPv6,::,49153,::,0,LISTENING,756,svchost.exe,N/A
0,0x58a97c70,UDPv4,127.0.0.1,1900,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x598965c8,UDPv4,10.0.2.15,65009,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x5b4232f8,TCPv4,-,49615,178.33.161.0,443,ESTABLISHED,3992,chrome.exe,-
0,0x5b523a78,TCPv4,-,49617,178.33.161.0,443,ESTABLISHED,3992,chrome.exe,-
0,0x5bb9c8b0,UDPv4,0.0.0.0,65012,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5bb9c8b0,UDPv6,::,65012,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5bb9e190,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,368,wininit.exe,N/A
0,0x5c0902f0,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5c0902f0,UDPv6,::,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5c3b2df8,TCPv4,-,49564,35.186.193.173,443,CLOSED,3992,chrome.exe,N/A
0,0x5c58d0f0,UDPv4,127.0.0.1,65010,*,0,,1372,svchost.exe,2023-03-28 21:50:55.000000 UTC
0,0x5c98f948,UDPv4,0.0.0.0,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5c98f948,UDPv6,::,3702,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x5c9a2008,TCPv4,10.0.2.15,49599,172.217.169.35,443,CLOSED,3992,chrome.exe,-
0,0x5dfa3770,UDPv6,fe80::ceb:5ee2:565a:7ce0,546,*,0,,756,svchost.exe,2023-03-28 22:04:46.000000 UTC
0,0x5e122ca8,TCPv4,10.0.2.15,49401,142.250.180.10,443,ESTABLISHED,3992,chrome.exe,-
0,0x5e123730,UDPv4,0.0.0.0,50709,*,0,,3992,chrome.exe,2023-03-28 22:05:37.000000 UTC
0,0x5f1a3478,TCPv4,-,49565,185.64.190.78,443,CLOSED,3992,chrome.exe,-
0,0x605a2d28,UDPv4,0.0.0.0,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x605a2d28,UDPv6,::,5353,*,0,,2344,chrome.exe,2023-03-28 21:53:09.000000 UTC
0,0x655f6df8,TCPv4,-,49613,178.33.158.20,443,CLOSED,3992,chrome.exe,-
0,0x7d800f50,UDPv4,0.0.0.0,65011,*,0,,948,svchost.exe,2023-03-28 21:50:56.000000 UTC
0,0x7d8486a8,TCPv4,10.0.2.15,49681,173.222.211.130,80,ESTABLISHED,2924,mshta.exe,-
