TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0x8483c940,96,525,N/A,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,248,4,smss.exe,0x85838b80,2,33,N/A,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,320,304,csrss.exe,0x85f1e2f8,9,390,0,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,368,304,wininit.exe,0x85f21980,3,82,0,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,376,360,csrss.exe,0x85f116f0,9,408,1,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,408,360,winlogon.exe,0x85f93d40,3,116,1,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,464,368,services.exe,0x85fb2030,11,202,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,472,368,lsass.exe,0x85fbe3f8,13,595,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,480,368,lsm.exe,0x85fc2608,11,145,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,580,464,svchost.exe,0x85ffc7d0,11,362,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,660,464,svchost.exe,0x86022bd0,9,273,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,756,464,svchost.exe,0x86037868,23,511,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,792,464,svchost.exe,0x86051a20,12,319,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,820,464,svchost.exe,0x860527b0,34,1155,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,948,464,svchost.exe,0x8607c1d8,18,532,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1036,464,svchost.exe,0x8609e8d8,16,495,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1224,464,spoolsv.exe,0x86040c28,12,284,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1264,464,svchost.exe,0x861132c8,19,327,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1372,464,svchost.exe,0x861b70d8,15,289,0,False,2023-03-28 21:50:20.000000 UTC,N/A,Disabled
0,2040,464,taskhost.exe,0x85772980,9,193,1,False,2023-03-28 21:50:41.000000 UTC,N/A,Disabled
0,476,792,dwm.exe,0x86b2a9d8,3,74,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,816,528,explorer.exe,0x86b2f878,49,1181,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,1768,816,regsvr32.exe,0x86b51030,0,-,1,False,2023-03-28 21:50:42.000000 UTC,2023-03-28 21:50:42.000000 UTC,Disabled
0,1880,464,SearchIndexer.,0x86bae6c8,16,687,0,False,2023-03-28 21:50:48.000000 UTC,N/A,Disabled
0,888,464,wmpnetwk.exe,0x86c0a030,10,214,0,False,2023-03-28 21:50:55.000000 UTC,N/A,Disabled
0,3828,464,sppsvc.exe,0x869cb1c8,4,150,0,False,2023-03-28 21:52:21.000000 UTC,N/A,Disabled
0,3868,464,svchost.exe,0x849bb030,10,323,0,False,2023-03-28 21:52:21.000000 UTC,N/A,Disabled
0,200,1244,GoogleCrashHan,0x849ba030,5,98,0,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,2344,3656,chrome.exe,0x860125b8,33,1127,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,3748,2344,chrome.exe,0x86123030,9,95,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,3992,2344,chrome.exe,0x84a497a0,13,257,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,4044,2344,chrome.exe,0x84a5a440,6,133,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,3052,2344,chrome.exe,0x8494e030,14,195,1,False,2023-03-28 21:53:06.000000 UTC,N/A,Disabled
0,2592,2344,chrome.exe,0x84a0c470,10,170,1,False,2023-03-28 21:53:24.000000 UTC,N/A,Disabled
0,1568,2344,chrome.exe,0x84a09030,16,445,1,False,2023-03-28 21:54:10.000000 UTC,N/A,Disabled
0,2916,2344,chrome.exe,0x86bdfd40,14,227,1,False,2023-03-28 21:54:11.000000 UTC,N/A,Disabled
0,3048,3060,FTK Imager.exe,0x84a29ae0,7,313,1,False,2023-03-28 22:05:06.000000 UTC,N/A,Disabled
0,2356,1880,SearchProtocol,0x8514b390,9,384,0,False,2023-03-28 22:12:26.000000 UTC,N/A,Disabled
0,2968,756,audiodg.exe,0x86b83030,6,132,0,False,2023-03-28 22:13:04.000000 UTC,N/A,Disabled
0,2872,816,cerber.exe,0x85e28030,0,-,1,False,2023-03-28 22:15:33.000000 UTC,2023-03-28 22:15:33.000000 UTC,Disabled
0,3016,2344,chrome.exe,0x85f94d40,11,162,1,False,2023-03-28 22:16:36.000000 UTC,N/A,Disabled
0,2924,3080,mshta.exe,0x84ab1cb0,16,455,1,False,2023-03-28 22:16:54.000000 UTC,N/A,Disabled
0,3936,1880,SearchFilterHo,0x85023900,5,83,0,False,2023-03-28 22:16:55.000000 UTC,N/A,Disabled
0,2860,580,WmiPrvSE.exe,0x852f0680,9,121,0,False,2023-03-28 22:17:07.000000 UTC,N/A,Disabled

