TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x8483c940,96,525,N/A,False,2023-03-28 21:50:18.000000 UTC,N/A,-,-,-
1,248,4,smss.exe,0x85838b80,2,33,N/A,False,2023-03-28 21:50:18.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,320,304,csrss.exe,0x85f1e2f8,9,390,0,False,2023-03-28 21:50:18.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,368,304,wininit.exe,0x85f21980,3,82,0,False,2023-03-28 21:50:18.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,464,368,services.exe,0x85fb2030,11,202,0,False,2023-03-28 21:50:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,580,464,svchost.exe,0x85ffc7d0,11,362,0,False,2023-03-28 21:50:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch,C:\\Windows\\system32\\svchost.exe
3,2860,580,WmiPrvSE.exe,0x852f0680,9,121,0,False,2023-03-28 22:17:07.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wbem\\WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
2,3868,464,svchost.exe,0x849bb030,10,323,0,False,2023-03-28 21:52:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs,C:\\Windows\\System32\\svchost.exe
2,1224,464,spoolsv.exe,0x86040c28,12,284,0,False,2023-03-28 21:50:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,1036,464,svchost.exe,0x8609e8d8,16,495,0,False,2023-03-28 21:50:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService,C:\\Windows\\system32\\svchost.exe
2,1264,464,svchost.exe,0x861132c8,19,327,0,False,2023-03-28 21:50:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork,C:\\Windows\\system32\\svchost.exe
2,1880,464,SearchIndexer.,0x86bae6c8,16,687,0,False,2023-03-28 21:50:48.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
