TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0x84b744e8,0x70000,0x8ffff,Vad ,PAGE_READWRITE,0,0,0x8483cbb8,N/A,Disabled
0,4,System,0x85fc0700,0x40000,0x40fff,Vad ,PAGE_READWRITE,0,0,0x84b744e8,N/A,Disabled
0,4,System,0x848d4158,0x10000,0x32fff,Vad ,PAGE_READWRITE,0,0,0x85fc0700,N/A,Disabled
0,4,System,0x86b4e6d0,0x50000,0x6ffff,Vad ,PAGE_READWRITE,0,0,0x85fc0700,N/A,Disabled
0,4,System,0x850e59f0,0xb0000,0xcffff,Vad ,PAGE_READWRITE,0,0,0x84b744e8,N/A,Disabled
0,4,System,0x850e5598,0x90000,0xaffff,Vad ,PAGE_READWRITE,0,0,0x850e59f0,N/A,Disabled
0,4,System,0x848d03e0,0x772c0000,0x773fbfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x850e59f0,\\Windows\\System32\\ntdll.dll,Disabled
0,248,smss.exe,0x85838998,0x772c0000,0x773fbfff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x85838df8,\\Windows\\System32\\ntdll.dll,Disabled
0,248,smss.exe,0x8583a630,0x180000,0x1bffff,VadS,PAGE_READWRITE,5,1,0x85838998,N/A,Disabled
0,248,smss.exe,0x85d0b0b0,0x100000,0x100fff,Vad ,PAGE_READWRITE,0,0,0x8583a630,N/A,Disabled
0,248,smss.exe,0x8583aa80,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x85d0b0b0,N/A,Disabled
0,248,smss.exe,0x84873340,0x110000,0x14ffff,VadS,PAGE_READWRITE,5,1,0x85d0b0b0,N/A,Disabled
0,248,smss.exe,0x8583f7f8,0x3a0000,0x49ffff,VadS,PAGE_READWRITE,53,1,0x8583a630,N/A,Disabled
0,248,smss.exe,0x85838b20,0x48240000,0x48252fff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x8583f7f8,\\Windows\\System32\\smss.exe,Disabled
0,248,smss.exe,0x85838900,0x7ffdc000,0x7ffdcfff,Vadl,PAGE_READWRITE,1,1,0x85838998,N/A,Disabled
0,248,smss.exe,0x85838950,0x7ffb0000,0x7ffd2fff,Vad ,PAGE_READONLY,0,0,0x85838900,N/A,Disabled
0,248,smss.exe,0x8583aa10,0x77500000,0x77500fff,Vad ,PAGE_EXECUTE_WRITECOPY,0,0,0x85838950,\\Windows\\System32\\apisetschema.dll,Disabled
0,248,smss.exe,0x848d0740,0x7ffdb000,0x7ffdbfff,Vadl,PAGE_READWRITE,1,1,0x85838950,N/A,Disabled
0,248,smss.exe,0x85789af8,0x7ffdf000,0x7ffdffff,Vadl,PAGE_READWRITE,1,1,0x85838900,N/A,Disabled
0,320,csrss.exe,0x85f250f8,0x4a240000,0x4a244fff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x85f1e570,\\Windows\\System32\\csrss.exe,Disabled
0,320,csrss.exe,0x85f160f0,0x3c0000,0x4c0fff,Vadm,PAGE_READONLY,0,0,0x85f250f8,N/A,Disabled
0,320,csrss.exe,0x85f110a0,0x1e0000,0x2dffff,VadS,PAGE_READWRITE,212,1,0x85f160f0,N/A,Disabled
0,320,csrss.exe,0x85f19458,0x150000,0x1b6fff,Vad ,PAGE_READONLY,0,0,0x85f110a0,\\Windows\\System32\\locale.nls,Disabled
0,320,csrss.exe,0x85f1ee78,0x100000,0x106fff,Vad ,PAGE_READONLY,0,0,0x85f19458,N/A,Disabled
0,320,csrss.exe,0x85f25040,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0x85f1ee78,N/A,Disabled
0,320,csrss.exe,0x85fa50f8,0x120000,0x13ffff,Vad ,PAGE_READONLY,0,0,0x85f1ee78,N/A,Disabled
0,320,csrss.exe,0x85f242b8,0x110000,0x116fff,Vad ,PAGE_READONLY,0,0,0x85fa50f8,\\Windows\\Fonts\\marlett.ttf,Disabled
0,320,csrss.exe,0x85fa8420,0x140000,0x14ffff,Vad ,PAGE_READONLY,0,0,0x85fa50f8,N/A,Disabled
0,320,csrss.exe,0x85f11c50,0x1c0000,0x1c1fff,Vad ,PAGE_READWRITE,0,0,0x85f19458,N/A,Disabled
0,320,csrss.exe,0x848cfe38,0x1d0000,0x1d0fff,Vadm,PAGE_READWRITE,1,1,0x85f11c50,N/A,Disabled
0,320,csrss.exe,0x85fca6f8,0x330000,0x33ffff,Vad ,PAGE_READWRITE,0,0,0x85f110a0,N/A,Disabled
0,320,csrss.exe,0x85dc7c30,0x300000,0x30ffff,Vad ,PAGE_READWRITE,0,0,0x85fca6f8,N/A,Disabled
0,320,csrss.exe,0x85f272b8,0x2f0000,0x2f0fff,Vadm,PAGE_READWRITE,1,1,0x85dc7c30,N/A,Disabled
0,320,csrss.exe,0x85f1e828,0x2e0000,0x2e1fff,Vad ,PAGE_READONLY,0,0,0x85f272b8,\\Windows\\Fonts\\vgasys.fon,Disabled
0,320,csrss.exe,0x85fc01b8,0x320000,0x32ffff,Vad ,PAGE_READWRITE,0,0,0x85dc7c30,N/A,Disabled
0,320,csrss.exe,0x85fb3108,0x310000,0x31ffff,Vad ,PAGE_READWRITE,0,0,0x85fc01b8,N/A,Disabled
0,320,csrss.exe,0x85f10108,0x350000,0x38ffff,VadS,PAGE_READWRITE,5,1,0x85fca6f8,N/A,Disabled
0,320,csrss.exe,0x85ffc3a0,0x340000,0x34ffff,Vad ,PAGE_READWRITE,0,0,0x85f10108,N/A,Disabled
0,320,csrss.exe,0x85f9cec0,0x3a0000,0x3a1fff,Vad ,PAGE_READWRITE,0,0,0x85f10108,N/A,Disabled
0,320,csrss.exe,0x860143b0,0x390000,0x39ffff,Vad ,PAGE_READWRITE,0,0,0x85f9cec0,N/A,Disabled
0,320,csrss.exe,0x8587a1c8,0x3b0000,0x3bffff,VadS,PAGE_READWRITE,3,1,0x85f9cec0,N/A,Disabled
0,320,csrss.exe,0x85f91e00,0xb70000,0xbaffff,VadS,PAGE_READWRITE,5,1,0x85f160f0,N/A,Disabled
0,320,csrss.exe,0x848210b8,0x910000,0x94ffff,VadS,PAGE_READWRITE,5,1,0x85f91e00,N/A,Disabled
0,320,csrss.exe,0x85f24350,0x820000,0x85ffff,VadS,PAGE_READWRITE,5,1,0x848210b8,N/A,Disabled
0,320,csrss.exe,0x860373a0,0x7e0000,0x7effff,Vad ,PAGE_READWRITE,0,0,0x85f24350,N/A,Disabled
0,320,csrss.exe,0x85f17438,0x4d0000,0x7d6fff,Vad ,PAGE_READONLY,0,0,0x860373a0,N/A,Disabled
0,320,csrss.exe,0x86054aa0,0x800000,0x80ffff,Vad ,PAGE_READWRITE,0,0,0x860373a0,N/A,Disabled
0,320,csrss.exe,0x85fc7088,0x7f0000,0x7fffff,Vad ,PAGE_READWRITE,0,0,0x86054aa0,N/A,Disabled
0,320,csrss.exe,0x849ffec8,0x810000,0x81ffff,Vad ,PAGE_READWRITE,0,0,0x86054aa0,N/A,Disabled
0,320,csrss.exe,0x8607fa68,0x8a0000,0x8affff,Vad ,PAGE_READWRITE,0,0,0x85f24350,N/A,Disabled
0,320,csrss.exe,0x85f24d28,0x860000,0x89ffff,VadS,PAGE_READWRITE,5,1,0x8607fa68,N/A,Disabled
0,320,csrss.exe,0x848b3708,0x8c0000,0x8fffff,VadS,PAGE_READWRITE,5,1,0x8607fa68,N/A,Disabled
0,320,csrss.exe,0x860a07f8,0x8b0000,0x8bffff,Vad ,PAGE_READWRITE,0,0,0x848b3708,N/A,Disabled
0,320,csrss.exe,0x85f9ad00,0x900000,0x90ffff,Vad ,PAGE_READWRITE,0,0,0x848b3708,N/A,Disabled
0,320,csrss.exe,0x85f12af0,0xac0000,0xafffff,VadS,PAGE_READWRITE,5,1,0x848210b8,N/A,Disabled
0,320,csrss.exe,0x85fa62a8,0xa20000,0xa9efff,Vad ,PAGE_READONLY,0,0,0x85f12af0,\\Windows\\Fonts\\segoeui.ttf,Disabled
0,320,csrss.exe,0x85f18cd8,0x950000,0xa17fff,Vad ,PAGE_READONLY,0,0,0x85fa62a8,N/A,Disabled
0,320,csrss.exe,0x86114560,0xaa0000,0xaaffff,Vad ,PAGE_READWRITE,0,0,0x85fa62a8,N/A,Disabled
0,320,csrss.exe,0x861bbf08,0xab0000,0xabffff,Vad ,PAGE_READWRITE,0,0,0x86114560,N/A,Disabled
0,320,csrss.exe,0x8613dd90,0xb30000,0xb3ffff,Vad ,PAGE_READWRITE,0,0,0x85f12af0,N/A,Disabled
0,320,csrss.exe,0x849dfc98,0xb10000,0xb1ffff,Vad ,PAGE_READWRITE,0,0,0x8613dd90,N/A,Disabled
0,320,csrss.exe,0x86b8fad8,0xb00000,0xb0ffff,Vad ,PAGE_READWRITE,0,0,0x849dfc98,N/A,Disabled
0,320,csrss.exe,0x861143e0,0xb20000,0xb2ffff,Vad ,PAGE_READWRITE,0,0,0x849dfc98,N/A,Disabled
0,320,csrss.exe,0x848bae68,0xb50000,0xb5ffff,Vad ,PAGE_READWRITE,0,0,0x8613dd90,N/A,Disabled
0,320,csrss.exe,0x84973110,0xb40000,0xb4ffff,Vad ,PAGE_READWRITE,0,0,0x848bae68,N/A,Disabled
0,320,csrss.exe,0x86165578,0xb60000,0xb6ffff,Vad ,PAGE_READWRITE,0,0,0x848bae68,N/A,Disabled
0,320,csrss.exe,0x85fc3808,0x1950000,0x198ffff,VadS,PAGE_READWRITE,5,1,0x85f91e00,N/A,Disabled
0,320,csrss.exe,0x86028168,0x1830000,0x18affff,Vad ,PAGE_READONLY,0,0,0x85fc3808,N/A,Disabled
0,320,csrss.exe,0x85fa9500,0xbb0000,0x17affff,Vad ,PAGE_READONLY,0,0,0x86028168,N/A,Disabled
0,320,csrss.exe,0x85fc53a0,0x17b0000,0x182ffff,Vad ,PAGE_READONLY,0,0,0x85fa9500,N/A,Disabled
0,320,csrss.exe,0x86302f08,0x1930000,0x193ffff,Vad ,PAGE_READWRITE,0,0,0x86028168,N/A,Disabled
