TreeDepth,PID,Process,Args
0,4,System,-
0,96,Registry,-
0,428,smss.exe,-
0,656,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,728,wininit.exe,wininit.exe
0,740,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,792,winlogon.exe,winlogon.exe
0,840,services.exe,C:\\WINDOWS\\system32\\services.exe
0,872,lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
0,988,fontdrvhost.ex,"""fontdrvhost.exe"""
0,996,fontdrvhost.ex,"""fontdrvhost.exe"""
0,1008,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p
0,720,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k RPCSS -p
0,744,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,1084,svchost.exe,-
0,1092,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1136,svchost.exe,-
0,1180,dwm.exe,"""dwm.exe"""
0,1232,svchost.exe,-
0,1248,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1376,svchost.exe,-
0,1396,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s nsi
0,1484,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1508,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1580,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1600,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
0,1816,svchost.exe,-
0,1840,svchost.exe,-
0,1968,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,1988,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1156,svchost.exe,-
0,2184,dllhost.exe,-
0,2200,MsMpEng.exe,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe"""
0,2324,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,2512,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k appmodel -p -s StateRepository
0,2572,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s FontCache
0,3004,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
0,3060,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
0,2260,VBoxService.ex,C:\\WINDOWS\\System32\\VBoxService.exe
0,2420,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,2248,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s EventSystem
0,2320,svchost.exe,-
0,2544,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
0,3088,svchost.exe,-
0,3120,MemCompression,-
0,3140,svchost.exe,-
0,3216,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,3260,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
0,3344,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
0,3380,svchost.exe,-
0,3460,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection
0,3588,spoolsv.exe,-
0,3624,svchost.exe,-
0,3648,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k utcsvc -p
0,3656,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNoNetwork -p -s DPS
0,3664,svchost.exe,-
0,3744,svchost.exe,-
0,3756,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Winmgmt
0,3772,svchost.exe,-
0,3816,svchost.exe,-
0,4092,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s LanmanServer
0,4144,sihost.exe,sihost.exe
0,4164,svchost.exe,-
0,4276,svchost.exe,-
0,4356,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup -s WpnUserService
