TreeDepth,Offset,Name
0,0x920affffb670,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x920b0103d220,\\Windows\\System32\\drivers\\beep.sys
0,0x920b0103d500,\\Windows\\System32\\drivers\\afunix.sys
0,0x920b0103d670,\\Windows\\System32\\drivers\\tdi.sys
0,0x920b0103d7e0,\\Windows\\System32\\drivers\\tdx.sys
0,0x920b0103d950,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_a0afd1c1603bc477\\BasicDisplay.sys
0,0x920b0103dda0,\\Windows\\System32\\drivers\\msfs.sys
0,0x920b0103e1f0,\\Windows\\System32\\drivers\\afd.sys
0,0x920b0103e4d0,\\$Directory
0,0x920b0103e640,\\Windows\\System32\\drivers\\npfs.sys
0,0x920b0103e7b0,\\Windows\\System32\\drivers\\cimfs.sys
0,0x920b0103ec00,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_5a35c75db01c44c7\\BasicRender.sys
0,0x920b0103ed70,\\Windows\\System32\\drivers\\vwififlt.sys
0,0x920b0103eee0,\\Windows\\System32\\drivers\\netbt.sys
0,0x920b012b40b0,\\$Secure:$SII:$INDEX_ALLOCATION
0,0x920b012b4220,\\$LogFile
0,0x920b012b4390,\\$Extend\\$RmMetadata\\$Repair
0,0x920b012b4670,\\$Mft::$BITMAP
0,0x920b012b4950,\\$Mft
0,0x920b012b4ac0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0x920b012b4c30,\\$Extend\\$UsnJrnl:$J:$DATA
0,0x920b012b4da0,\\$BitMap
0,0x920b012b5080,\\System Volume Information\\FVE2.{da392a22-cae0-4f0f-9a30-b8830385d046}
0,0x920b012b51f0,\\System Volume Information\\FVE2.{24e6f0ae-6a00-4f73-984b-75ce9942852d}
0,0x920b012b54d0,\\$MftMirr
0,0x920b012b5640,\\:$I30:$INDEX_ALLOCATION
0,0x920b012b57b0,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0x920b012b5920,\\$Extend:$I30:$INDEX_ALLOCATION
0,0x920b012b5a90,\\$Secure:$SDS:$DATA
0,0x920b012b5c00,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0x920b0144c390,\\$ConvertToNonresident
0,0x920b0144c670,\\Windows\\security\\EDP\\Logs\\AuditTCB_4.etl
0,0x920b0144d080,\\Windows\\security\\EDP\\Logs\\AuditRegular_4.etl
0,0x920b0144d1f0,\\Windows\\security\\EDP\\Logs\\AppLearning_1.etl
0,0x920b0144d4d0,\\$Directory
0,0x920b0144d640,\\Windows\\System32\\drivers\\appid.sys
0,0x920b0144d920,\\$Directory
0,0x920b0144da90,\\$PrepareToShrinkFileSize
0,0x920b0144e330,\\Windows\\System32\\drivers\\monitor.sys
0,0x920b0144e610,\\Windows\\System32\\drivers\\udfs.sys
0,0x920b0144e8f0,\\$ConvertToNonresident
0,0x920b0144ed40,\\Windows\\System32\\cdd.dll
0,0x920b0144f750,\\Windows\\System32\\drivers\\applockerfltr.sys
0,0x920b014cc0b0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops
0,0x920b014cc220,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,0x920b014cc500,\\$Extend\\$Reparse:$R:$INDEX_ALLOCATION
0,0x920b014cc670,\\$Directory
0,0x920b014cc7e0,\\Windows\\System32\\drivers\\null.sys
0,0x920b014cc950,KtmLog
0,0x920b014ccc30,\\:$I30:$INDEX_ALLOCATION
0,0x920b014ccda0,\\$Extend\\$RmMetadata\\$TxfLog\\$Tops:$T:$DATA
0,0x920b014cd080,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0x920b014cd1f0,\\$Directory
0,0x920b014cd4d0,TxfLog
0,0x920b014cd640,\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,0x920b014cd7b0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x920b014cd920,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,0x920b014cdc00,\\Windows\\System32\\drivers\\crashdmp.sys
0,0x920b014cdd70,\\$Secure:$SDH:$INDEX_ALLOCATION
0,0x920b014cdee0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x920b015ab220,\\System Volume Information\\FVE2.{aff97bac-a69b-45da-aba1-2cfbce434750}.1
0,0x920b015ab390,\\$Directory
0,0x920b015ab670,\\$Directory
0,0x920b015ab950,\\Windows\\System32\\drivers\\tbs.sys
0,0x920b015abac0,\\System Volume Information\\FVE2.{aff97bac-a69b-45da-aba1-2cfbce434750}.2
0,0x920b015abc30,\\$Directory
0,0x920b015abda0,\\$Directory
0,0x920b015acc00,\\Windows\\System32\\drivers\\en-US\\ntfs.sys.mui
0,0x920b015acd70,\\$Directory
0,0x920b015acee0,\\$Directory
0,0x920b01616260,\\Windows\\System32\\config\\SAM
0,0x920b01616710,\\Windows\\System32\\config\\SAM.LOG2
0,0x920b016168a0,\\Windows\\System32\\config\\SOFTWARE
0,0x920b01616a30,\\Windows\\System32\\config\\SECURITY.LOG1
0,0x920b01616ee0,\\Windows\\System32\\config\\SAM.LOG1
0,0x920b016176b0,\\Windows\\System32\\config\\DEFAULT
0,0x920b016179d0,\\Windows\\System32\\config\\SECURITY
0,0x920b01617cf0,\\$Directory
0,0x920b016270b0,\\System Volume Information\\FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.1
0,0x920b01627220,\\Windows\\System32\\drivers\\cdfs.sys
0,0x920b01627390,\\Windows\\System32\\vertdll.dll
0,0x920b01627500,\\System Volume Information\\FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.3
0,0x920b01627670,\\Windows\\System32\\drivers\\cdrom.sys
0,0x920b01627ac0,\\Windows\\System32\\ntdll.dll
0,0x920b01627c30,\\Windows\\SysWOW64\\ntdll.dll
0,0x920b016281f0,\\$Directory
0,0x920b01628360,\\$Directory
0,0x920b016284d0,\\Windows\\System32\\drivers\\bfs.sys
0,0x920b01628640,\\Windows\\System32\\drivers\\storahci.sys
0,0x920b016287b0,\\Windows\\System32\\drivers\\filecrypt.sys
0,0x920b01628920,\\Windows\\System32\\drivers\\dumpfve.sys
0,0x920b01628a90,\\System Volume Information\\FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.2
0,0x920b01628c00,\\Windows\\System32\\drivers\\Diskdump.sys
0,0x920b016290e0,\\Windows\\System32\\sxs.dll
0,0x920b01629400,\\Windows\\System32
0,0x920b01629720,\\Windows\\System32\\dpapi.dll
0,0x920b01629bd0,\\InitShutdown
0,0x920b01629d60,\\Windows\\System32\\cryptsp.dll
0,0x920b01629ef0,\\Windows\\System32\\umpdc.dll
0,0x920b0162a3a0,\\CMApi
0,0x920b0162a530,\\$Directory
0,0x920b0162a6c0,\\Windows\\System32\\devobj.dll
0,0x920b0162a850,\\Windows\\System32\\samsrv.dll
0,0x920b0162a9e0,\\Windows\\System32\\en-GB\\lsasrv.dll.mui
0,0x920b0162aa10,ꩨŢ鈋￿ꩨŢ鈋￿
0,0x920b0162ab70,\\$Directory
0,0x920b0162ae90,\\Windows\\System32\\cfgmgr32.dll
0,0x920b0162b1b0,\\Windows\\System32\\utcapi.dll
0,0x920b0162b340,\\Windows\\System32\\services.exe
0,0x920b0162b4d0,\\Windows\\System32\\msprivs.dll
0,0x920b0162b660,\\Windows\\System32\\lsass.exe
0,0x920b0162b7f0,\\Windows\\System32\\EventAggregation.dll
0,0x920b0162b980,\\Windows\\System32\\KerbClientShared.dll
0,0x920b0162bb10,\\Windows\\System32\\userenv.dll
0,0x920b0162bca0,\\InitShutdown
0,0x920b0162be30,\\$Directory
0,0x920b0162c150,\\Windows\\System32\\wldp.dll
0,0x920b0162c2e0,\\Windows\\System32\\LogFiles\\Scm\\SCM.EVM
0,0x920b0162c600,\\Windows\\System32\\kerberos.dll
0,0x920b0162c790,\\Windows\\System32\\ServicingCommon.dll
0,0x920b0162cab0,\\Windows\\System32\\lsaadt.dll
0,0x920b0162cdd0,\\InitShutdown
0,0x920b0162d0f0,\\Windows\\System32\\winsta.dll
0,0x920b0162d280,\\Windows\\System32\\bcrypt.dll
0,0x920b0162d410,\\Windows\\System32\\cryptbase.dll
0,0x920b0162d730,\\$Directory
0,0x920b0162dd70,\\Windows\\System32\\gpapi.dll
0,0x920b0162e3b0,\\Windows\\System32
0,0x920b0162e540,\\Windows\\Globalization\\Sorting\\SortDefault.nls
0,0x920b0162eb80,\\$Directory
0,0x920b0162eea0,\\Windows\\System32\\kerb3961.dll
0,0x920b0162f1c0,\\Windows\\System32\\powrprof.dll
0,0x920b0162f350,\\Windows\\System32\\lsasrv.dll
0,0x920b0162f4e0,\\Windows\\System32\\ntasn1.dll
