TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,2724,4008,msiexec.exe,0x920aff697080,0,-,1,True,2025-06-27 14:31:20.000000 UTC,2025-06-27 14:32:10.000000 UTC,Disabled
0,6604,5676,msedgewebview2,0x920aff6db080,11,-,1,False,2025-06-27 14:21:38.000000 UTC,N/A,Disabled
0,4548,840,msiexec.exe,0x920aff734080,6,-,0,False,2025-06-27 15:08:37.000000 UTC,N/A,Disabled
0,3444,5676,msedgewebview2,0x920aff752080,7,-,1,False,2025-06-27 14:21:38.000000 UTC,N/A,Disabled
0,2200,840,MsMpEng.exe,0x920aff783080,11,-,0,False,2025-06-27 14:16:22.000000 UTC,N/A,Disabled
0,2184,1008,dllhost.exe,0x920aff78b080,4,-,0,False,2025-06-27 14:16:22.000000 UTC,N/A,Disabled
0,2324,840,svchost.exe,0x920aff7a1080,12,-,0,False,2025-06-27 14:16:22.000000 UTC,N/A,Disabled
0,6012,5676,msedgewebview2,0x920aff7e5080,17,-,1,False,2025-06-27 14:21:38.000000 UTC,N/A,Disabled
0,1928,5676,msedgewebview2,0x920aff816080,16,-,1,False,2025-06-27 14:21:39.000000 UTC,N/A,Disabled
0,96,4,Registry,0x920aff88e080,4,-,N/A,False,2025-06-27 14:16:09.000000 UTC,N/A,Disabled
0,428,4,smss.exe,0x920b01741040,2,-,N/A,False,2025-06-27 14:16:14.000000 UTC,N/A,Disabled
0,656,608,csrss.exe,0x920b01ac60c0,11,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,728,608,wininit.exe,0x920b062c7080,2,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,740,720,csrss.exe,0x920b062de0c0,13,-,1,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,792,720,winlogon.exe,0x920b0632f080,7,-,1,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,840,728,services.exe,0x920b0634f080,8,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,872,728,lsass.exe,0x920b06368080,10,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,Disabled
0,8104,4008,msiexec.exe,0x920b063e5080,0,-,1,True,2025-06-27 14:31:53.000000 UTC,2025-06-27 14:31:58.000000 UTC,Disabled
0,1092,840,svchost.exe,0x920b06559080,8,-,0,False,2025-06-27 14:16:21.000000 UTC,N/A,Disabled
