TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x920aff6aa040,161,-,N/A,False,2025-06-27 14:16:14.000000 UTC,N/A,-,-,-
1,96,4,Registry,0x920aff88e080,4,-,N/A,False,2025-06-27 14:16:09.000000 UTC,N/A,Registry,-,-
1,3120,4,MemCompression,0x920b075a1040,14,-,N/A,False,2025-06-27 14:16:27.000000 UTC,N/A,MemCompression,-,-
1,428,4,smss.exe,0x920b01741040,2,-,N/A,False,2025-06-27 14:16:14.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,-,-
0,656,608,csrss.exe,0x920b01ac60c0,11,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\WINDOWS\\system32\\csrss.exe
0,728,608,wininit.exe,0x920b062c7080,2,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,wininit.exe,C:\\WINDOWS\\system32\\wininit.exe
1,840,728,services.exe,0x920b0634f080,8,-,0,False,2025-06-27 14:16:20.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\WINDOWS\\system32\\services.exe,C:\\WINDOWS\\system32\\services.exe
2,1156,840,svchost.exe,0x920b06d8b080,1,-,0,False,2025-06-27 14:16:22.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,-,-
2,3460,840,svchost.exe,0x920b076aa080,5,-,0,False,2025-06-27 14:16:27.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection,C:\\WINDOWS\\System32\\svchost.exe
2,3588,840,spoolsv.exe,0x920b07704080,7,-,0,False,2025-06-27 14:16:28.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\spoolsv.exe,-,-
2,4356,840,svchost.exe,0x920b07beb080,5,-,1,False,2025-06-27 14:16:29.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup -s WpnUserService,C:\\WINDOWS\\system32\\svchost.exe
2,4860,840,svchost.exe,0x920b07caa080,6,-,0,False,2025-06-27 14:16:31.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,-,-
2,6792,840,SecurityHealth,0x920b081cb0c0,9,-,0,False,2025-06-27 14:16:45.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\SecurityHealthService.exe,C:\\WINDOWS\\system32\\SecurityHealthService.exe,C:\\WINDOWS\\system32\\SecurityHealthService.exe
