TreeDepth,PID,Process,Args
0,4,System,-
0,96,Registry,-
0,428,smss.exe,\\SystemRoot\\System32\\smss.exe
0,644,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,716,wininit.exe,-
0,728,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,780,winlogon.exe,winlogon.exe
0,852,services.exe,C:\\WINDOWS\\system32\\services.exe
0,872,lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
0,984,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p
0,992,fontdrvhost.ex,"""fontdrvhost.exe"""
0,1000,fontdrvhost.ex,"""fontdrvhost.exe"""
0,648,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k RPCSS -p
0,896,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,1056,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s FontCache
0,1092,dwm.exe,"""dwm.exe"""
0,1128,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
0,1208,svchost.exe,-
0,1424,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1448,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1540,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1608,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1656,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,1672,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s nsi
0,1700,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
0,1788,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1880,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s BDESVC
0,1968,VBoxService.ex,C:\\WINDOWS\\System32\\VBoxService.exe
0,1044,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,752,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1548,WUDFHost.exe,"""C:\\Windows\\System32\\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-2b068346-b669-4ea6-b1ea-1c760b4ee9a5 -SystemEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-0e67db6f-dc05-4015-963b-12193cb72d3f -IoCancelEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-015bf3f7-eb3b-4a34-8e9a-d6553362a78f -NonStateChangingEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-e6368ca9-8500-43ca-b886-6a5e562d359e -LifetimeId:6eba77b8-3a99-4ba9-b01f-d75d35410ef6 -DeviceGroupId:WpdFsGroup -HostArg:0"
0,1344,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,2104,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s EventSystem
0,2124,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s Themes
0,2136,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
0,2280,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s SENS
0,2320,MemCompression,-
0,2388,svchost.exe,-
0,2548,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
0,2568,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2620,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
0,2656,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
0,2732,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
0,2788,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k appmodel -p -s StateRepository
