TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x808e366c7c70,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0x808e366d3cd0,0xf8044b740000,0x58000,TPM,TPM,\\Driver\\TPM
0,0x808e366daa00,0xf8044ede0000,0x12000,Msfs,Msfs,\\FileSystem\\Msfs
0,0x808e366dce20,0xf8044b6a0000,0x8f000,pci,pci,\\Driver\\pci
0,0x808e367029c0,0xf80450860000,0x2e000,luafv,luafv,\\FileSystem\\luafv
0,0x808e3670eda0,0xf8044bcd0000,0x16000,pcw,pcw,\\Driver\\pcw
0,0x808e36710060,0xf8044bcf0000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0x808e36712970,0xf804508a0000,0x3c000,wcifs,wcifs,\\FileSystem\\wcifs
0,0x808e367274a0,0xf80450840000,0x1c000,bfs,bfs,\\FileSystem\\bfs
0,0x808e36735d70,0xf804b9600000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0x808e36746e00,0xf804b9600000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0x808e3674be00,0xf804b9600000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0x808e3674de00,0xf804b9600000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0x808e36757070,0xf804b9600000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0x808e36799b80,0xf8044af00000,0xd3000,CNG,CNG,\\Driver\\CNG
0,0x808e367a2c70,0xf8044b550000,0xf000,PRM,PRM,\\Driver\\PRM
0,0x808e367aae10,0xf8044eca0000,0x36000,cdrom,cdrom,\\Driver\\cdrom
0,0x808e367acdf0,0xf8044b570000,0x2a000,acpiex,acpiex,\\Driver\\acpiex
0,0x808e367c4e10,0xf8044b410000,0xef000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0x808e367e8930,0xf8044bc00000,0x93000,intelpep,intelpep,\\Driver\\intelpep
0,0x808e367f0490,0xf8044bbc0000,0xe000,amdwps,amdwps,\\Driver\\amdwps
0,0x808e367f06b0,0xf8044b690000,0xc000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0x808e36804bb0,0xf8044bca0000,0xc000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0x808e36806b20,0xf8044bcb0000,0x13000,IntelPMT,IntelPMT,\\Driver\\IntelPMT
0,0x808e36808750,0xf8044b5a0000,0xd5000,ACPI,ACPI,\\Driver\\ACPI
0,0x808e36833c30,0xf8044bbe0000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0x808e36dc8970,0xf8044ef20000,0xae000,AFD,AFD,\\Driver\\AFD
0,0x808e36dcc640,0xf8044efe0000,0x1e000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0x808e36dd64e0,0xf8044f120000,0xdb000,Vid,Vid,\\Driver\\Vid
0,0x808e36dd6910,0xf8044f420000,0x59000,ahcache,ahcache,\\Driver\\ahcache
0,0x808e380344b0,0xf8044bd10000,0x36000,pdc,pdc,\\Driver\\pdc
0,0x808e38038300,0xf8044bd70000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0x808e38038910,0xf8044bdb0000,0xf2000,spaceport,spaceport,\\Driver\\spaceport
0,0x808e3803ab70,0xf8044bed0000,0x64000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0x808e3803bb70,0xf8044beb0000,0x1d000,volmgr,volmgr,\\Driver\\volmgr
0,0x808e3803c060,0xf8044bf40000,0x1f000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0x808e3803c630,0xf8044bf70000,0x36000,storahci,storahci,\\Driver\\storahci
0,0x808e38069640,0xf8044fc00000,0x6e000,fastfat,fastfat,\\FileSystem\\fastfat
0,0x808e38069860,0xf8044b140000,0x99000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0x808e38075060,0xf8044c1f0000,0x1d000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0x808e38075ca0,0xf8044c210000,0x47000,Wof,Wof,\\FileSystem\\Wof
0,0x808e38094b00,0xf8044ae70000,0x86000,CLFS,CLFS,\\Driver\\CLFS
0,0x808e380a2a70,0xf8044c300000,0x38a000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0x808e380a3bb0,0xf8044c690000,0x5e000,VBoxGuest,VBoxGuest,\\Driver\\VBoxGuest
0,0x808e380a8dd0,0xf8044b1e0000,0x2c000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0x808e380aa570,0xf8044c700000,0x4e7000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0x808e380aeb30,0xf8044cc40000,0x1c3000,NDIS,NDIS,\\Driver\\NDIS
0,0x808e380afb70,0xf8044cc20000,0xf000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0x808e38152da0,0xf8044ced0000,0x3a000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0x808e38153b70,0xf8044cf30000,0x352000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0x808e381898f0,0xf8044d450000,0xb000,volume,volume,\\Driver\\volume
0,0x808e38189b10,0xf8044d460000,0x7b000,volsnap,volsnap,\\Driver\\volsnap
0,0x808e38189d30,0xf8044d4e0000,0x4d000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0x808e381bd4e0,0xf8044d5a0000,0x1e000,disk,disk,\\Driver\\disk
0,0x808e381db8f0,0xf8044d360000,0xe1000,fvevol,fvevol,\\Driver\\fvevol
0,0x808e381ef930,0xf8044d320000,0x38000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0x808e381fee30,0xf8044d560000,0x15000,iorate,iorate,\\Driver\\iorate
0,0x808e3824bbb0,0xf8044d530000,0x29000,Mup,Mup,\\FileSystem\\Mup
0,0x808e382a09c0,0xf8044ece0000,0x17000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0x808e38355e20,0xf80451510000,0x1a000,WdNisDrv,WdNisDrv,\\Driver\\WdNisDrv
0,0x808e383d5280,0xf804503f0000,0xb3000,USBHUB3,USBHUB3,\\Driver\\USBHUB3
0,0x808e383d7850,0xf8044f690000,0x31000,HDAudBus,HDAudBus,\\Driver\\HDAudBus
0,0x808e383e7060,0xf8044fc80000,0x62000,udfs,udfs,\\FileSystem\\udfs
0,0x808e383e8060,0xf8044ed50000,0xa000,Beep,Beep,\\Driver\\Beep
0,0x808e383ee6c0,0xf8044ed40000,0xb000,Null,Null,\\Driver\\Null
0,0x808e384164b0,0xf8044f920000,0x12000,CmBatt,CmBatt,\\Driver\\CmBatt
0,0x808e38416710,0xf8044f5b0000,0x15000,mouclass,mouclass,\\Driver\\mouclass
0,0x808e38416750,0xf8044f5c1010,0x0,-,-,襈⑜䠘璉․䅗䅔䅕䅖䡗䕀Ｓ譈䗺譈䣱֍浦
0,0x808e38416e10,0xf80450110000,0x20000,cdfs,cdfs,\\FileSystem\\cdfs
0,0x808e38464990,0xf8044ee00000,0x42000,CimFS,CimFS,\\FileSystem\\CimFS
0,0x808e38557a00,0xf8044ed20000,0x15000,UCPD,UCPD,\\FileSystem\\UCPD
0,0x808e38564290,0xf804b9600000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0x808e385645b0,0xf8044f090000,0x82000,VBoxSF,VBoxSF,\\FileSystem\\VBoxSF
0,0x808e385666b0,0xf804b9600000,0x0,\\Driver\\RegistryHiveCacheDriver,RegistryHiveCacheDriver,\\Driver\\RegistryHiveCacheDriver
0,0x808e3856c6a0,0xf8044f010000,0x30000,Psched,Psched,\\Driver\\Psched
0,0x808e3856ccd0,0xf8044ee50000,0x2b000,tdx,tdx,\\Driver\\tdx
0,0x808e3856d640,0xf8044ed80000,0x1a000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0x808e3856e3f0,0xf8044eda0000,0x12000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0x808e38570460,0xf8044edc0000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0x808e38574cc0,0xf8044f050000,0x15000,NdisCap,NdisCap,\\Driver\\NdisCap
0,0x808e38575910,0xf8044eea0000,0x56000,NetBT,NetBT,\\Driver\\NetBT
0,0x808e38575d40,0xf8044f070000,0x16000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0x808e385768f0,0xf8044ef00000,0x14000,afunix,afunix,\\Driver\\afunix
0,0x808e385bc630,0xf8044f230000,0x8e000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x808e385bee20,0xf8044f2d0000,0x13000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0x808e385c0780,0xf8044f2f0000,0xf000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0x808e385c1e10,0xf8044f310000,0x11000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0x808e385c6e00,0xf8044f550000,0x52000,VBoxMouse,VBoxMouse,\\Driver\\VBoxMouse
0,0x808e385c7bd0,0xf8044fb70000,0x31000,Dfsc,Dfsc,\\FileSystem\\Dfsc
0,0x808e385c8df0,0xf8044f400000,0x1b000,bam,bam,\\Driver\\bam
0,0x808e3863e570,0xf8044f5d0000,0x7f000,VBoxWddm,VBoxWddm,\\Driver\\VBoxWddm
0,0x808e3863f060,0xf8044f480000,0x14000,CompositeBus,CompositeBus,\\Driver\\CompositeBus
0,0x808e3864c5b0,0xf8044f660000,0x24080,E1G60,E1G60,\\Driver\\E1G60
0,0x808e3864fd30,0xf8044f500000,0x26000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0x808e38650da0,0xf8044f4a0000,0x11000,kdnic,kdnic,\\Driver\\kdnic
0,0x808e38653e10,0xf8044f4e0000,0x16000,CAD,CAD,\\Driver\\CAD
0,0x808e38656800,0xf8044f4c0000,0x16000,umbus,umbus,\\Driver\\umbus
