TreeDepth,Offset,Name
0,0x808e36db00b0,\\Windows\\System32\\drivers\\pacer.sys
0,0x808e36db0390,\\Windows\\System32\\drivers\\tdi.sys
0,0x808e36db0500,\\Windows\\System32\\drivers\\npfs.sys
0,0x808e36db07e0,\\Windows\\System32\\drivers\\afd.sys
0,0x808e36db0950,\\Windows\\System32\\drivers\\cimfs.sys
0,0x808e36db0da0,\\Windows\\System32\\drivers\\netbt.sys
0,0x808e36db11f0,\\Windows\\System32\\drivers\\ndiscap.sys
0,0x808e36db1360,\\Windows\\System32\\drivers\\afunix.sys
0,0x808e36db1640,\\Windows\\System32\\drivers\\vwififlt.sys
0,0x808e36db1920,\\Windows\\System32\\drivers\\msfs.sys
0,0x808e36db1a90,\\Windows\\System32\\drivers\\netbios.sys
0,0x808e36db1d70,\\Windows\\System32\\drivers\\VBoxSF.sys
0,0x808e36db1ee0,\\Windows\\System32\\drivers\\tdx.sys
0,0x808e36dc6260,\\Windows\\System32\\config\\SOFTWARE.LOG2
0,0x808e36dc63f0,\\Windows\\System32\\config\\SAM.LOG1
0,0x808e36dc6580,\\Windows\\System32\\config\\SOFTWARE
0,0x808e36dc6710,\\$Directory
0,0x808e36dc6bc0,\\Windows\\System32\\config\\SOFTWARE.LOG1
0,0x808e36dc6d50,\\Windows\\System32\\config\\DEFAULT.LOG1
0,0x808e36dc6ee0,\\Windows\\System32\\config\\SECURITY.LOG2
0,0x808e36dc7200,\\Windows\\System32\\config\\SECURITY
0,0x808e36dc7390,\\Windows\\System32\\config\\SAM.LOG2
0,0x808e36dc7520,\\Windows\\System32\\config\\DEFAULT.LOG2
0,0x808e36dc7b60,\\Windows\\System32\\config\\DEFAULT
0,0x808e36dc7cf0,\\Windows\\System32\\config\\SECURITY.LOG1
0,0x808e36dc7e80,\\Windows\\System32\\config\\SAM
0,0x808e38006670,\\$Mft
0,0x808e382de0b0,\\$Secure:$SII:$INDEX_ALLOCATION
0,0x808e382de220,\\$MftMirr
0,0x808e382de500,\\$Directory
0,0x808e382de670,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0x808e382de7e0,\\$Mft::$BITMAP
0,0x808e382de950,\\$Secure:$SDS:$DATA
0,0x808e382deac0,\\Device\\HarddiskVolume4\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0x808e382dec30,\\Windows\\SysWOW64\\ntdll.dll
0,0x808e382deda0,\\$Extend\\$UsnJrnl:$J:$DATA
0,0x808e382df080,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0x808e382df1f0,\\:$I30:$INDEX_ALLOCATION
0,0x808e382df360,\\$Extend:$I30:$INDEX_ALLOCATION
0,0x808e382df4d0,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0x808e382df640,\\$Extend\\$RmMetadata\\$Repair
0,0x808e382df7b0,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0x808e382df920,\\$LogFile
0,0x808e382dfa90,\\System Volume Information\\FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.2
0,0x808e382dfd70,\\$BitMap
