TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x808e3669f040,175,-,N/A,False,2025-06-27 20:17:44.000000 UTC,N/A,-,-,-
1,96,4,Registry,0x808e3688e080,4,-,N/A,False,2025-06-27 20:17:37.000000 UTC,N/A,Registry,-,-
1,2320,4,MemCompression,0x808e3c384040,42,-,N/A,False,2025-06-27 20:17:51.000000 UTC,N/A,MemCompression,-,-
1,428,4,smss.exe,0x808e38652040,2,-,N/A,False,2025-06-27 20:17:44.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,644,600,csrss.exe,0x808e3ba1a140,11,-,0,False,2025-06-27 20:17:49.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\WINDOWS\\system32\\csrss.exe
0,716,600,wininit.exe,0x808e3bb1d080,1,-,0,False,2025-06-27 20:17:49.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\wininit.exe,-,-
1,872,716,lsass.exe,0x808e38fb9140,10,-,0,False,2025-06-27 20:17:49.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\lsass.exe,C:\\WINDOWS\\system32\\lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
1,992,716,fontdrvhost.ex,0x808e3bbf1080,5,-,0,False,2025-06-27 20:17:50.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\WINDOWS\\system32\\fontdrvhost.exe
1,852,716,services.exe,0x808e3bb42080,7,-,0,False,2025-06-27 20:17:49.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\services.exe,C:\\WINDOWS\\system32\\services.exe,C:\\WINDOWS\\system32\\services.exe
2,1540,852,svchost.exe,0x808e36789080,2,-,0,False,2025-06-27 20:17:51.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\WINDOWS\\System32\\svchost.exe
2,2568,852,svchost.exe,0x808e3c4550c0,8,-,0,False,2025-06-27 20:17:52.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\WINDOWS\\System32\\svchost.exe
3,1976,2568,audiodg.exe,0x808e3ff2d080,7,-,0,False,2025-06-27 21:18:25.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\audiodg.exe,C:\\WINDOWS\\system32\\AUDIODG.EXE 0x00000000000004FC,C:\\WINDOWS\\system32\\AUDIODG.EXE
2,1548,852,WUDFHost.exe,0x808e3c242080,5,-,0,False,2025-06-27 20:17:51.000000 UTC,N/A,\\Device\\HarddiskVolume4\\Windows\\System32\\WUDFHost.exe,"""C:\\Windows\\System32\\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-2b068346-b669-4ea6-b1ea-1c760b4ee9a5 -SystemEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-0e67db6f-dc05-4015-963b-12193cb72d3f -IoCancelEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-015bf3f7-eb3b-4a34-8e9a-d6553362a78f -NonStateChangingEventPortName:\\UMDFCommunicationPorts\\WUDF\\HostProcess-e6368ca9-8500-43ca-b886-6a5e562d359e -LifetimeId:6eba77b8-3a99-4ba9-b01f-d75d35410ef6 -DeviceGroupId:WpdFsGroup -HostArg:0",C:\\Windows\\System32\\WUDFHost.exe
