TreeDepth,Offset,FileFullPath,File output
0,0xca08f725e000,,Disabled
0,0xca08f72c8000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0xca08f7362000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0xca08f795f000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0xca08f7b4b000,\\Device\\HarddiskVolume2\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0xca08f795b000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0xca08f796a000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0xca08f7956000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0xca08faf7a000,\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0xca08fc1aa000,\\??\\C:\\WINDOWS\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0xca08fc089000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xca08fd8f0000,\\??\\C:\\Users\\vboxuser\\ntuser.dat,Disabled
0,0xca08fd8ee000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xca08fe03e000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Photon_1000.26100.4.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe040000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.OOBE_1000.26100.2.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe042000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.AIX_1000.26100.29.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe044000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.FileExp_1000.26100.3.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe046000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.26100.19.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe07b000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.26100.18.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe107000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_9.2311.10002.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xca08fe5ec000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xca08fe2ce000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.26100.1301_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe794000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xca08fe90e000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xca08fe94d000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-3208566930-2258169689-3043497756-1000\\SystemAppData\\Helium\\Cache\\f3584e58e3a26b72.dat,Disabled
0,0xca08fe950000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat,Disabled
0,0xca08fe969000,\\??\\C:\\Users\\vboxuser\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0xca08fe987000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-3208566930-2258169689-3043497756-1000\\SystemAppData\\Helium\\Cache\\f3584e58e3a26b72_COM15.dat,Disabled
0,0xca08fe98c000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-3208566930-2258169689-3043497756-1000\\SystemAppData\\Helium\\Cache\\f3584e58e3a26b72.dat,Disabled
0,0xca0901375000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.CBS_5001.184.1607.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
