TreeDepth,Index,Address,Module,Symbol
0,0,0xf804b992ee40,ntoskrnl,NtAccessCheck
0,1,0xf804b9a3ca40,ntoskrnl,NtWorkerFactoryWorkerReady
0,2,0xf804b9fc98f0,ntoskrnl,NtAcceptConnectPort
0,3,0xf804b9dd5610,ntoskrnl,NtMapUserPhysicalPagesScatter
0,4,0xf804b9e5b170,ntoskrnl,NtWaitForSingleObject
0,5,0xf804b9c73e20,ntoskrnl,NtCallbackReturn
0,6,0xf804b9e5a790,ntoskrnl,NtReadFile
0,7,0xf804b9e88a50,ntoskrnl,NtDeviceIoControlFile
0,8,0xf804b9e882c0,ntoskrnl,NtWriteFile
0,9,0xf804b9f68680,ntoskrnl,NtRemoveIoCompletion
0,10,0xf804b9f8f990,ntoskrnl,NtReleaseSemaphore
0,11,0xf804b9e9c160,ntoskrnl,NtReplyWaitReceivePort
0,12,0xf804b9fc2920,ntoskrnl,NtReplyPort
0,13,0xf804b9f45ea0,ntoskrnl,NtSetInformationThread
0,14,0xf804b9f66d50,ntoskrnl,NtSetEvent
0,15,0xf804b9e5ae10,ntoskrnl,NtClose
0,16,0xf804b9e84cc0,ntoskrnl,NtQueryObject
0,17,0xf804b9f420a0,ntoskrnl,NtQueryInformationFile
0,18,0xf804b9e1dcc0,ntoskrnl,NtOpenKey
0,19,0xf804b9e2cb30,ntoskrnl,NtEnumerateValueKey
0,20,0xf804b9ef1710,ntoskrnl,NtFindAtom
0,21,0xf804b9ed96b0,ntoskrnl,NtQueryDefaultLocale
0,22,0xf804b9e59ba0,ntoskrnl,NtQueryKey
0,23,0xf804b9e56e90,ntoskrnl,NtQueryValueKey
0,24,0xf804b9ecc910,ntoskrnl,NtAllocateVirtualMemory
0,25,0xf804b9fd6540,ntoskrnl,NtQueryInformationProcess
0,26,0xf804b9f8f690,ntoskrnl,NtWaitForMultipleObjects32
0,27,0xf804b9ce7130,ntoskrnl,NtWriteFileGather
0,28,0xf804b9f5c810,ntoskrnl,NtSetInformationProcess
0,29,0xf804b9e6c080,ntoskrnl,NtCreateKey
0,30,0xf804b9f61650,ntoskrnl,NtFreeVirtualMemory
0,31,0xf804ba0794b0,ntoskrnl,NtImpersonateClientOfPort
0,32,0xf804b9f70790,ntoskrnl,NtReleaseMutant
0,33,0xf804b9f4a710,ntoskrnl,NtQueryInformationToken
0,34,0xf804b9fa4b80,ntoskrnl,NtRequestWaitReplyPort
0,35,0xf804b9fba6a0,ntoskrnl,NtQueryVirtualMemory
0,36,0xf804b9e7cf60,ntoskrnl,NtOpenThreadToken
0,37,0xf804b9fb7040,ntoskrnl,NtQueryInformationThread
0,38,0xf804b9fd2bf0,ntoskrnl,NtOpenProcess
0,39,0xf804b98a91d0,ntoskrnl,NtSetInformationFile
0,40,0xf804b9eca900,ntoskrnl,NtMapViewOfSection
0,41,0xf804b9e40d60,ntoskrnl,NtAccessCheckAndAuditAlarm
0,42,0xf804b9ea4ca0,ntoskrnl,NtUnmapViewOfSection
0,43,0xf804b9e9c180,ntoskrnl,NtReplyWaitReceivePortEx
0,44,0xf804b9f5c4d0,ntoskrnl,NtTerminateProcess
0,45,0xf804ba06c990,ntoskrnl,NtSetEventBoostPriority
0,46,0xf804b9ce6980,ntoskrnl,NtReadFileScatter
0,47,0xf804b9e7cf80,ntoskrnl,NtOpenThreadTokenEx
0,48,0xf804b9fb5710,ntoskrnl,NtOpenProcessTokenEx
0,49,0xf804b9fc25a0,ntoskrnl,NtQueryPerformanceCounter
0,50,0xf804b9e67d90,ntoskrnl,NtEnumerateKey
0,51,0xf804b9f40940,ntoskrnl,NtOpenFile
0,52,0xf804b9e1e610,ntoskrnl,NtDelayExecution
0,53,0xf804b9e8c1c0,ntoskrnl,NtQueryDirectoryFile
0,54,0xf804b9f82db0,ntoskrnl,NtQuerySystemInformation
0,55,0xf804b9fcdd70,ntoskrnl,NtOpenSection
0,56,0xf804ba020a20,ntoskrnl,NtQueryTimer
0,57,0xf804b9e88250,ntoskrnl,NtFsControlFile
0,58,0xf804b9fb7bd0,ntoskrnl,NtWriteVirtualMemory
0,59,0xf804b9fe7440,ntoskrnl,NtCloseObjectAuditAlarm
0,60,0xf804b9e27950,ntoskrnl,NtDuplicateObject
0,61,0xf804b9eac180,ntoskrnl,NtQueryAttributesFile
0,62,0xf804b9f80c00,ntoskrnl,NtClearEvent
0,63,0xf804b9fb7c00,ntoskrnl,NtReadVirtualMemory
0,64,0xf804b9fcdc50,ntoskrnl,NtOpenEvent
0,65,0xf804b9f3d750,ntoskrnl,NtAdjustPrivilegesToken
0,66,0xf804b9e7efb0,ntoskrnl,NtDuplicateToken
0,67,0xf804b9c727b0,ntoskrnl,NtContinue
0,68,0xf804ba031d90,ntoskrnl,NtQueryDefaultUILanguage
0,69,0xf804b9fcb750,ntoskrnl,NtQueueApcThread
0,70,0xf804b99e1cc0,ntoskrnl,NtYieldExecution
0,71,0xf804b9d99b20,ntoskrnl,NtAddAtom
0,72,0xf804b9e1d080,ntoskrnl,NtCreateEvent
0,73,0xf804b9f3f5d0,ntoskrnl,NtQueryVolumeInformationFile
0,74,0xf804ba079980,ntoskrnl,NtCreateSection
0,75,0xf804b9f41620,ntoskrnl,NtFlushBuffersFile
0,76,0xf804b9ee8680,ntoskrnl,NtApphelpCacheControl
0,77,0xf804b9d45860,ntoskrnl,NtCreateProcessEx
0,78,0xf804b9d45900,ntoskrnl,NtCreateThread
0,79,0xf804b9fe6d70,ntoskrnl,NtIsProcessInJob
0,80,0xf804b9ed11e0,ntoskrnl,NtProtectVirtualMemory
0,81,0xf804b9ea7210,ntoskrnl,NtQuerySection
0,82,0xf804b9fe5d20,ntoskrnl,NtResumeThread
0,83,0xf804b9f5f920,ntoskrnl,NtTerminateThread
0,84,0xf804b9d13930,ntoskrnl,NtReadRequestData
0,84,0xf804b9d13930,ntoskrnl,NtWriteRequestData
0,85,0xf804b9f409b0,ntoskrnl,NtCreateFile
0,86,0xf804b9ebeaa0,ntoskrnl,NtQueryEvent
0,87,0xf804b9d13930,ntoskrnl,NtReadRequestData
0,87,0xf804b9d13930,ntoskrnl,NtWriteRequestData
0,88,0xf804b9fc0bb0,ntoskrnl,NtOpenDirectoryObject
0,89,0xf804b9e40cb0,ntoskrnl,NtAccessCheckByTypeAndAuditAlarm
0,90,0xf804b9d8f500,ntoskrnl,NtQuerySystemTime
0,91,0xf804b9f6f920,ntoskrnl,NtWaitForMultipleObjects
0,92,0xf804b9fd2fc0,ntoskrnl,NtSetInformationObject
0,93,0xf804b9fb9dc0,ntoskrnl,NtCancelIoFile
0,94,0xf804b9944850,ntoskrnl,NtTraceEvent
0,95,0xf804b9efbe20,ntoskrnl,NtPowerInformation
0,96,0xf804b9e2f320,ntoskrnl,NtSetValueKey
0,97,0xf804b98910f0,ntoskrnl,NtCancelTimer
0,98,0xf804b9890e60,ntoskrnl,NtSetTimer
0,99,0xf804b992ec60,ntoskrnl,NtAccessCheckByType
0,100,0xf804b9bc3b60,ntoskrnl,NtAccessCheckByTypeResultList
0,101,0xf804b9d6a340,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarm
0,102,0xf804b9d6a3f0,ntoskrnl,NtAccessCheckByTypeResultListAndAuditAlarmByHandle
0,103,0xf804b9d9da00,ntoskrnl,NtAcquireCrossVmMutant
0,104,0xf804ba054970,ntoskrnl,NtAcquireProcessActivityReference
0,105,0xf804b9f8e6f0,ntoskrnl,NtAddAtomEx
0,106,0xf804b9d960b0,ntoskrnl,NtAddBootEntry
0,107,0xf804b9d960e0,ntoskrnl,NtAddDriverEntry
0,108,0xf804b9f697c0,ntoskrnl,NtAdjustGroupsToken
0,109,0xf804b9cca130,ntoskrnl,?GetPnpProperty@NT_DISK@@UEAAJPEAXPEAPEAX@Z
0,109,0xf804b9cca130,ntoskrnl,NtAdjustTokenClaimsAndDeviceGroups
0,109,0xf804b9cca130,ntoskrnl,NtCreateEventPair
0,109,0xf804b9cca130,ntoskrnl,NtDirectGraphicsCall
0,109,0xf804b9cca130,ntoskrnl,NtFilterTokenEx
0,109,0xf804b9cca130,ntoskrnl,NtOpenEventPair
0,109,0xf804b9cca130,ntoskrnl,NtSetHighEventPair
0,109,0xf804b9cca130,ntoskrnl,NtSetHighWaitLowEventPair
0,109,0xf804b9cca130,ntoskrnl,NtSetLowEventPair
0,109,0xf804b9cca130,ntoskrnl,NtSetLowWaitHighEventPair
0,109,0xf804b9cca130,ntoskrnl,NtVdmControl
0,109,0xf804b9cca130,ntoskrnl,NtWaitHighEventPair
0,109,0xf804b9cca130,ntoskrnl,NtWaitLowEventPair
0,109,0xf804b9cca130,ntoskrnl,PsNotifyWriteToExecutableMemory
0,109,0xf804b9cca130,ntoskrnl,SeAdjustObjectSecurity
0,109,0xf804b9cca130,ntoskrnl,xHalIommuMapDevice
0,109,0xf804b9cca130,ntoskrnl,xHalLoadMicrocode
0,109,0xf804b9cca130,ntoskrnl,xHalPostMicrocodeUpdate
0,109,0xf804b9cca130,ntoskrnl,xHalUnloadMicrocode
0,110,0xf804b9d529b0,ntoskrnl,NtAlertMultipleThreadByThreadId
0,111,0xf804b9d508b0,ntoskrnl,NtAlertResumeThread
0,112,0xf804ba0474a0,ntoskrnl,NtAlertThread
0,113,0xf804b9f7f480,ntoskrnl,NtAlertThreadByThreadId
0,114,0xf804b9f7f4a0,ntoskrnl,NtAlertThreadByThreadIdEx
0,115,0xf804b9fd5980,ntoskrnl,NtAllocateLocallyUniqueId
0,116,0xf804ba024ba0,ntoskrnl,NtAllocateReserveObject
0,117,0xf804b9dd4df0,ntoskrnl,NtAllocateUserPhysicalPages
0,118,0xf804b9dd4e10,ntoskrnl,NtAllocateUserPhysicalPagesEx
0,119,0xf804ba0596e0,ntoskrnl,NtAllocateUuids
0,120,0xf804b9ecc250,ntoskrnl,NtAllocateVirtualMemoryEx
0,121,0xf804b9fc9970,ntoskrnl,NtAlpcAcceptConnectPort
0,122,0xf804b9ffc5c0,ntoskrnl,NtAlpcCancelMessage
0,123,0xf804b9e48b10,ntoskrnl,NtAlpcConnectPort
0,124,0xf804ba004600,ntoskrnl,NtAlpcConnectPortEx
0,125,0xf804b9fb6a40,ntoskrnl,NtAlpcCreatePort
0,126,0xf804b9e98d10,ntoskrnl,NtAlpcCreatePortSection
0,127,0xf804b9e996d0,ntoskrnl,NtAlpcCreateResourceReserve
0,128,0xf804b9ea6750,ntoskrnl,NtAlpcCreateSectionView
0,129,0xf804b9f46cc0,ntoskrnl,NtAlpcCreateSecurityContext
0,130,0xf804b9ea6ac0,ntoskrnl,NtAlpcDeletePortSection
0,131,0xf804b9ea6650,ntoskrnl,NtAlpcDeleteResourceReserve
0,132,0xf804b9ea6e10,ntoskrnl,NtAlpcDeleteSectionView
0,133,0xf804b9ea5480,ntoskrnl,NtAlpcDeleteSecurityContext
0,134,0xf804b9e45a60,ntoskrnl,NtAlpcDisconnectPort
0,135,0xf804b9d13b60,ntoskrnl,NtAlpcImpersonateClientContainerOfPort
0,136,0xf804b9e1c1a0,ntoskrnl,NtAlpcImpersonateClientOfPort
0,137,0xf804b9e9b950,ntoskrnl,NtAlpcOpenSenderProcess
0,138,0xf804b9f910b0,ntoskrnl,NtAlpcOpenSenderThread
0,139,0xf804b9ebfc80,ntoskrnl,NtAlpcQueryInformation
0,140,0xf804b9e9b650,ntoskrnl,NtAlpcQueryInformationMessage
0,141,0xf804b9d13db0,ntoskrnl,NtAlpcRevokeSecurityContext
