TreeDepth,PID,Process,Args
0,4,System,-
0,88,Registry,-
0,392,smss.exe,\\SystemRoot\\System32\\smss.exe
0,568,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,640,wininit.exe,wininit.exe
0,780,services.exe,C:\\Windows\\system32\\services.exe
0,800,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,916,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,948,fontdrvhost.ex,"""fontdrvhost.exe"""
0,432,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,536,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,632,sppsvc.exe,-
0,496,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s DeviceInstall
0,1108,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1172,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
0,1300,msoobe.exe,-
0,1324,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
0,1372,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1428,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s StateRepository
0,1500,svchost.exe,C:\\Windows\\system32\\svchost.exe -k wsappx -p -s AppXSvc
0,1532,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi
0,1588,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1736,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s Themes
0,1744,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1752,svchost.exe,C:\\Windows\\System32\\svchost.exe -k wsappx -p -s ClipSVC
0,1760,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1768,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1784,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,1820,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
0,1972,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1124,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,2108,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
0,2144,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s gpsvc
0,2184,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,2288,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
0,2316,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
0,2376,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,2424,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,2508,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s EventSystem
0,2516,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
0,2608,svchost.exe,C:\\Windows\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
0,2620,MemCompression,-
0,2672,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s SENS
0,2760,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s FontCache
0,2824,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
0,2908,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2916,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2980,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection
0,2440,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
