TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x9a81800a8df0,0xf8075f180000,0x1b000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0xa801db8fae10,0xf8075e190000,0xd1000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0xe38506a73ba0,0xf80743050000,0x13000,condrv,condrv,\\Driver\\condrv
0,0xe38506aa6cd0,0xf8073d7f0000,0xe1000,spaceport,spaceport,\\Driver\\spaceport
0,0xe38506ac7e30,0xf8073a000000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xe38506ad2da0,0xf8073d710000,0x16000,pcw,pcw,\\Driver\\pcw
0,0xe38506ae0e50,0xf807435e0000,0x14000,bfs,bfs,\\FileSystem\\bfs
0,0xe38506ae4e50,0xf80742620000,0x3a000,AppID,AppID,\\Driver\\AppID
0,0xe38506b0be10,0xf8073db20000,0x1c000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xe38506b0d720,0xf8073db90000,0x6e000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0xe38506b0fdc0,0xf8073d7b0000,0x33000,partmgr,partmgr,\\Driver\\partmgr
0,0xe38506b118f0,0xf8073e580000,0x31000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0xe38506b1be00,0xf8073a000000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xe38506b1de00,0xf8073a000000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xe38506b3fc50,0xf8073a000000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xe38506b43070,0xf8073a000000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xe38506b49d00,0xf8073d2e0000,0xc7000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xe38506b54c10,0xf8073d640000,0x76000,intelpep,intelpep,\\Driver\\intelpep
0,0xe38506b56b00,0xf8073d520000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xe38506b56d30,0xf8073d450000,0xb7000,ACPI,ACPI,\\Driver\\ACPI
0,0xe38506b58d20,0xf8073d730000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xe38506b62e20,0xf8073d220000,0xbd000,CNG,CNG,\\Driver\\CNG
0,0xe38506b6cd20,0xf8073d430000,0x1c000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xe38506b74c10,0xf8073d3f0000,0xe000,PRM,PRM,\\Driver\\PRM
0,0xe38506b85d20,0xf8073d700000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xe38506b8ae50,0xf8073ff50000,0x39000,wcifs,wcifs,\\FileSystem\\wcifs
