TreeDepth,Offset,Name
0,0xe38506a65940,\\$Extend\\$UsnJrnl:$J:$DATA
0,0xe38506a65c20,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xe38506a66350,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xe38506ab6d40,\\Windows\\Panther\\UnattendGC\\diagwrn.xml
0,0xe38506ab6ed0,\\Windows\\System32\\catroot2\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\catdb.jfm
0,0xe38506c9d1e0,\\$Directory
0,0xe38506c9d370,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\load_statistics.db-shm
0,0xe38506c9d500,\\$ConvertToNonresident
0,0xe38506c9d690,\\Windows\\apppatch\\DirectXApps_FOD.sdb
0,0xe38506c9d9b0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\load_statistics.db-wal
0,0xe38506c9dcd0,\\CMApi
0,0xe38506c9e180,\\Windows\\WinSxS\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.317_none_a9434687c10c9fa2
0,0xe38506c9e310,\\$ConvertToNonresident
0,0xe38506c9e630,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Local Storage\\leveldb\\LOG
0,0xe38506c9e950,\\Users\\mapo9\\Downloads\\3_moving_block_and_timer.exe
0,0xe38506c9eae0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Local Storage\\leveldb\\LOCK
0,0xe38506c9ec70,\\$ConvertToNonresident
0,0xe38506c9f2b0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\EdgeEDrop\\EdgeEDropSQLite.db-journal
0,0xe38506c9f5d0,\\$Directory
0,0xe38506c9f760,\\ProgramData\\Microsoft\\Windows\\AppRepository\\StateRepository-Machine.srd-shm
0,0xe38506c9f8f0,\\$ConvertToNonresident
0,0xe38506c9fa80,\\$ConvertToNonresident
0,0xe38506c9fda0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\23.054.0313.0001\\FileSyncRNWin32Lib.dll
0,0xe38506ca00c0,\\$ConvertToNonresident
0,0xe38506ca0570,\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\23.054.0313.0001\\FileSyncFS.dll
0,0xe38506ca2af0,\\Windows\\System32\\en-GB\\crypt32.dll.mui
0,0xe38506ca3130,\\$Directory
0,0xe38506ca5200,\\Windows\\System32\\mfasfsrcsnk.dll
0,0xe38506ca5520,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\Explorer\\iconcache_32.db
0,0xe38506ca5cf0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_256.db
0,0xe38506ca5e80,\\$Directory
0,0xe38506ca64c0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Storage\\ext\\ihmafllikibpmigkcoadcmckbfhibefp\\def\\Local Storage\\leveldb\\LOG
0,0xe38506ca6b00,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Storage\\ext\\ihmafllikibpmigkcoadcmckbfhibefp\\def\\Local Storage\\leveldb\\LOCK
0,0xe38506ca7460,\\LOCAL\\mojo.1952.5712.3409868585899384259
0,0xe38506ca80e0,\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\LocalCache\\Microsoft\\MSTeams\\EBWebView\\Default\\EdgeEDrop\\EdgeEDropSQLite.db-journal
0,0xe38506ca88b0,\\$Directory
0,0xe38506ca93a0,\\$Directory
0,0xe38506ca96c0,\\$Directory
0,0xe38506ca99e0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Network Action Predictor-journal
0,0xe38506ca9b70,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Local Storage\\leveldb\\000003.log
0,0xe38506caa1b0,\\Windows\\System32\\en-GB\\UIAutomationCore.dll.mui
0,0xe38506caa340,\\$Directory
0,0xe38506caa980,\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\23.054.0313.0001\\FileSyncSqlite3.dll
0,0xe38506caab10,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Storage\\ext\\ihmafllikibpmigkcoadcmckbfhibefp\\def\\Local Storage\\leveldb\\MANIFEST-000001
0,0xe38506caae30,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Storage\\ext\\ihmafllikibpmigkcoadcmckbfhibefp\\def\\Local Storage\\leveldb\\000003.log
0,0xe38506cab470,\\$ConvertToNonresident
0,0xe38506cab600,\\Endpoint
0,0xe38506cab920,\\LOCAL\\mojo.1952.5712.3409868585899384259
0,0xe38506cabab0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Local Storage\\leveldb\\MANIFEST-000001
0,0xe38506cabdd0,\\Endpoint
0,0xe38506cacbe0,\\Windows\\System32\\en-GB\\wuapi.dll.mui
0,0xe38506cacd70,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Edge\\User Data\\GrShaderCache\\data_0
