TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x9a81801121b0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0x9a8180112890,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0x9a8180112890,TCPv6,::,49668,::,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0x9a8180113a70,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0x9a8180113a70,TCPv6,::,49667,::,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0x9a8180113bd0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe38506a82cb0,TCPv4,10.0.2.53,139,0.0.0.0,0,LISTENING,4,System,2023-03-30 13:14:49.000000 UTC
0,0xe38506b73580,TCPv4,10.0.2.53,64910,172.217.169.37,443,ESTABLISHED,-,-,N/A
0,0xe38506cabbd0,UDPv4,0.0.0.0,5353,*,0,,7624,msedge.exe,2023-03-30 13:25:48.000000 UTC
0,0xe38506cac080,UDPv4,0.0.0.0,5353,*,0,,7624,msedge.exe,2023-03-30 13:25:48.000000 UTC
0,0xe38506cac080,UDPv6,::,5353,*,0,,7624,msedge.exe,2023-03-30 13:25:48.000000 UTC
0,0xe38506ce6aa0,TCPv4,10.0.2.53,64898,142.250.200.4,443,ESTABLISHED,-,-,N/A
0,0xe385074ce310,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,800,lsass.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074ce5d0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,640,wininit.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074ce890,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,640,wininit.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074ce890,TCPv6,::,49665,::,0,LISTENING,640,wininit.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074ce9f0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1768,svchost.exe,2023-03-30 13:14:48.000000 UTC
0,0xe385074ce9f0,TCPv6,::,49666,::,0,LISTENING,1768,svchost.exe,2023-03-30 13:14:48.000000 UTC
0,0xe385074ceb50,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,432,svchost.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074ceb50,TCPv6,::,135,::,0,LISTENING,432,svchost.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074cf230,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,800,lsass.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074cf230,TCPv6,::,49664,::,0,LISTENING,800,lsass.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385074cf910,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,432,svchost.exe,2023-03-30 13:14:42.000000 UTC
0,0xe385075c37b0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1768,svchost.exe,2023-03-30 13:14:48.000000 UTC
0,0xe385091a1df0,UDPv4,10.0.2.53,137,*,0,,4,System,2023-03-30 13:14:49.000000 UTC
0,0xe385091a25c0,UDPv4,10.0.2.53,138,*,0,,4,System,2023-03-30 13:14:49.000000 UTC
0,0xe385091a2c00,UDPv4,0.0.0.0,0,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385091a2c00,UDPv6,::,0,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385091a4cd0,UDPv4,0.0.0.0,5353,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385091a4cd0,UDPv6,::,5353,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385091a6120,UDPv4,0.0.0.0,5353,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385091a7890,UDPv4,127.0.0.1,65180,*,0,,1588,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926e1b0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926e890,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926e890,TCPv6,::,49668,::,0,LISTENING,2440,spoolsv.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926fa70,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926fa70,TCPv6,::,49667,::,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe3850926fbd0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2424,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385093d8320,TCPv4,10.0.2.53,59779,52.113.194.132,443,ESTABLISHED,-,-,N/A
0,0xe38509468010,TCPv4,10.0.2.53,65024,96.17.178.185,443,ESTABLISHED,-,-,N/A
0,0xe38509468550,TCPv4,10.0.2.53,65006,204.79.197.203,443,ESTABLISHED,-,-,N/A
0,0xe385094cda00,UDPv4,0.0.0.0,54362,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385094cda00,UDPv6,::,54362,*,0,,1784,svchost.exe,2023-03-30 13:14:49.000000 UTC
0,0xe385094e1410,UDPv4,127.0.0.1,54363,*,0,,3140,svchost.exe,2023-03-30 13:14:50.000000 UTC
0,0xe385095910e0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,780,services.exe,2023-03-30 13:14:50.000000 UTC
0,0xe38509591500,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,780,services.exe,2023-03-30 13:14:50.000000 UTC
0,0xe38509591500,TCPv6,::,49670,::,0,LISTENING,780,services.exe,2023-03-30 13:14:50.000000 UTC
0,0xe38509592580,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-30 13:14:50.000000 UTC
0,0xe38509592580,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-30 13:14:50.000000 UTC
0,0xe38509592840,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,1496,svchost.exe,2023-03-30 13:16:13.000000 UTC
0,0xe38509790790,TCPv4,10.0.2.53,64982,204.79.197.200,443,ESTABLISHED,-,-,N/A
0,0xe3850988b050,TCPv4,10.0.2.53,64923,142.250.178.14,443,ESTABLISHED,-,-,N/A
0,0xe385098ca010,TCPv4,10.0.2.53,65018,184.85.51.20,443,ESTABLISHED,-,-,N/A
0,0xe38509957ae0,TCPv4,10.0.2.53,64837,13.107.21.239,443,ESTABLISHED,-,-,N/A
0,0xe38509a4a550,TCPv4,10.0.2.53,64873,20.90.156.32,443,ESTABLISHED,-,-,N/A
0,0xe38509cd3010,TCPv4,10.0.2.53,64897,142.250.187.206,443,ESTABLISHED,-,-,N/A
