TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xe38506abd040,135,-,N/A,False,2023-03-30 13:14:41.000000 UTC,N/A,-,-,-
1,88,4,Registry,0xe38506a8c080,4,-,N/A,False,2023-03-30 13:14:40.000000 UTC,N/A,Registry,-,-
1,2620,4,MemCompression,0xe38509326040,26,-,N/A,False,2023-03-30 13:14:49.000000 UTC,N/A,MemCompression,-,-
1,392,4,smss.exe,0xe38507599040,3,-,N/A,False,2023-03-30 13:14:41.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,568,540,csrss.exe,0xe38507ced140,11,-,0,False,2023-03-30 13:14:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,640,540,wininit.exe,0xe38507e39140,3,-,0,False,2023-03-30 13:14:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,800,640,lsass.exe,0xe38507e94080,11,-,0,False,2023-03-30 13:14:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,948,640,fontdrvhost.ex,0xe3850a079140,6,-,0,False,2023-03-30 13:14:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,780,640,services.exe,0xe38507e92080,7,-,0,False,2023-03-30 13:14:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,6152,780,svchost.exe,0xe3850abbb080,0,-,0,False,2023-03-30 13:16:23.000000 UTC,2023-03-30 13:18:27.000000 UTC,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,-,-
2,4104,780,svchost.exe,0xe3851a3240c0,4,-,2,False,2023-03-30 13:25:55.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,C:\\Windows\\system32\\svchost.exe
