TreeDepth,Offset,FileFullPath,File output
0,0xa801cdc53000,,Disabled
0,0xa801cdc9a000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0xa801cdcea000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0xa801ce6ab000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0xa801ce068000,\\Device\\HarddiskVolume1\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0xa801d9fcf000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xa801d9f6a000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e.dat,Disabled
0,0xa801d9f86000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e_COM15.dat,Disabled
0,0xa801d9f83000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0xa801d9f5b000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat,Disabled
0,0xa801d9f5e000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e.dat,Disabled
0,0xa801d970c000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xa801d919c000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\2c15e1bf8778ea8d.dat,Disabled
0,0xa801d9192000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\2c15e1bf8778ea8d_COM15.dat,Disabled
0,0xa801d918e000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0xa801d918a000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat,Disabled
0,0xa801d9187000,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-294897324-2703314441-3841339633-1001\\SystemAppData\\Helium\\Cache\\2c15e1bf8778ea8d.dat,Disabled
0,0xa801d9178000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_8.2206.15001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xa801d9163000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_421.20070.195.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa801d9160000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xa801d9144000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa801d7d5e000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.22633.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa801d3b8e000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.22634.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa801ce06c000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xa801d586e000,\\??\\C:\\Users\\mapo9\\ntuser.dat,Disabled
0,0xa801d758f000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0xa801d0889000,\\??\\C:\\Users\\defaultuser0\\ntuser.dat,Disabled
0,0xa801d1121000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xa801d0857000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0xa801d06b9000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled

