TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffe38506aaf740,0x7ffea000,0x7ffeafff,VadS,PAGE_READONLY,1,1,0x0,N/A,Disabled
0,4,System,0xffffe38506aaf240,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0xffffe38506aaf740,N/A,Disabled
0,4,System,0xffffe385071f5ce0,0x1a3e0000,0x1a58efff,Vad ,PAGE_READONLY,0,0,0xffffe38506aaf240,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffe385071f5d80,0x2a4da600000,0x2a4da634fff,Vad ,PAGE_READONLY,0,0,0xffffe38506aaf740,\\Windows\\System32\\vertdll.dll,Disabled
0,4,System,0xffffe385071f5c40,0x2a4da3e0000,0x2a4da5f3fff,Vad ,PAGE_READONLY,0,0,0xffffe385071f5d80,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0xffffe38507e8d810,0x2a4da640000,0x2a4da640fff,Vad ,PAGE_READWRITE,0,0,0xffffe385071f5d80,N/A,Disabled
0,88,Registry,0xffffe38507bf0c80,0x21b4b9c0000,0x21b4b9cffff,Vad ,PAGE_READONLY,6,0,0x0,\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,88,Registry,0xffffe38507bf0f00,0x21b4b340000,0x21b4b53ffff,Vad ,PAGE_READONLY,61,0,0xffffe38507bf0c80,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf0280,0x21b49340000,0x21b4953ffff,Vad ,PAGE_READONLY,158,0,0xffffe38507bf0f00,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef1a0,0x21b48340000,0x21b4853ffff,Vad ,PAGE_READONLY,5,0,0xffffe38507bf0280,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef060,0x21b47b40000,0x21b47d3ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507bef1a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf03c0,0x21b47740000,0x21b4793ffff,Vad ,PAGE_READONLY,2,0,0xffffe38507bef060,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507beff60,0x21b47540000,0x21b4773ffff,Vad ,PAGE_READONLY,8,0,0xffffe38507bf03c0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf0320,0x21b47940000,0x21b47b3ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507bf03c0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf00a0,0x21b47f40000,0x21b4813ffff,Vad ,PAGE_READONLY,7,0,0xffffe38507bef060,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf0140,0x21b47d40000,0x21b47f3ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507bf00a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befec0,0x21b48140000,0x21b4833ffff,Vad ,PAGE_READONLY,7,0,0xffffe38507bf00a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befa60,0x21b48b40000,0x21b48d3ffff,Vad ,PAGE_READONLY,68,0,0xffffe38507bef1a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef880,0x21b48740000,0x21b4893ffff,Vad ,PAGE_READONLY,49,0,0xffffe38507befa60,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef240,0x21b48540000,0x21b4873ffff,Vad ,PAGE_READONLY,9,0,0xffffe38507bef880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf01e0,0x21b48940000,0x21b48b3ffff,Vad ,PAGE_READONLY,32,0,0xffffe38507bef880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befd80,0x21b48f40000,0x21b4913ffff,Vad ,PAGE_READONLY,10,0,0xffffe38507befa60,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef920,0x21b48d40000,0x21b48f3ffff,Vad ,PAGE_READONLY,3,0,0xffffe38507befd80,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befb00,0x21b49140000,0x21b4933ffff,Vad ,PAGE_READONLY,373,0,0xffffe38507befd80,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef600,0x21b4a340000,0x21b4a53ffff,Vad ,PAGE_READONLY,24,0,0xffffe38507bf0280,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef560,0x21b49b40000,0x21b49d3ffff,Vad ,PAGE_READONLY,1,0,0xffffe38507bef600,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef380,0x21b49740000,0x21b4993ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507bef560,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef2e0,0x21b49540000,0x21b4973ffff,Vad ,PAGE_READONLY,1,0,0xffffe38507bef380,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef420,0x21b49940000,0x21b49b3ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507bef380,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befe20,0x21b49f40000,0x21b4a13ffff,Vad ,PAGE_READONLY,8,0,0xffffe38507bef560,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befba0,0x21b49d40000,0x21b49f3ffff,Vad ,PAGE_READONLY,0,0,0xffffe38507befe20,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef4c0,0x21b4a140000,0x21b4a33ffff,Vad ,PAGE_READONLY,2,0,0xffffe38507befe20,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befc40,0x21b4ab40000,0x21b4ad3ffff,Vad ,PAGE_READONLY,15,0,0xffffe38507bef600,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef6a0,0x21b4a740000,0x21b4a93ffff,Vad ,PAGE_READONLY,20,0,0xffffe38507befc40,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef9c0,0x21b4a540000,0x21b4a73ffff,Vad ,PAGE_READONLY,11,0,0xffffe38507bef6a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bef740,0x21b4a940000,0x21b4ab3ffff,Vad ,PAGE_READONLY,16,0,0xffffe38507bef6a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf06e0,0x21b4af40000,0x21b4b13ffff,Vad ,PAGE_READONLY,37,0,0xffffe38507befc40,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507befce0,0x21b4ad40000,0x21b4af3ffff,Vad ,PAGE_READONLY,11,0,0xffffe38507bf06e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,88,Registry,0xffffe38507bf0960,0x21b4b140000,0x21b4b33ffff,Vad ,PAGE_READONLY,40,0,0xffffe38507bf06e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
