TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,408,smss.exe,0x7ff742e70000,0x2b000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2023-03-30 16:21:43.000000 UTC,Disabled
0,408,smss.exe,0x7ffe5a010000,0x214000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 16:21:43.000000 UTC,Disabled
0,588,csrss.exe,0x7ff784990000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe5a010000,0x214000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57430000,0x19000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57410000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe573f0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe575e0000,0x39c000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe58e60000,0xc2000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe573c0000,0x25000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57a00000,0x26000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe598d0000,0x29000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57c40000,0x112000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57ba0000,0x9a000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe57450000,0x111000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe584b0000,0x1ab000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe573b0000,0xe000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe571d0000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe59ca0000,0xae000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe582f0000,0xa7000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
0,588,csrss.exe,0x7ffe59900000,0xa4000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-30 16:21:44.000000 UTC,Disabled
