TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xc701801ebe00,0xf80351880000,0xd5000,srv2,srv2,\\FileSystem\\srv2
0,0xe78f13c88930,0xf80332390000,0x18000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xe78f13c9f510,0xf8032f000000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xe78f13ca0640,0xf80352160000,0x4f000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0xe78f13ca4db0,0xf80332310000,0x76000,intelpep,intelpep,\\Driver\\intelpep
0,0xe78f13ca8e20,0xf80332200000,0x89000,pci,pci,\\Driver\\pci
0,0xe78f13ccdda0,0xf803323e0000,0x16000,pcw,pcw,\\Driver\\pcw
0,0xe78f13ce0d50,0xf803327c0000,0x24000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xe78f13ce5e10,0xf8032c6d0000,0x6e000,CLFS,CLFS,\\Driver\\CLFS
0,0xe78f13d0bca0,0xf80332660000,0x32000,storahci,storahci,\\Driver\\storahci
0,0xe78f13d0eb90,0xf803327f0000,0x1c000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xe78f13d14e50,0xf80338460000,0x8b000,CldFlt,CldFlt,\\FileSystem\\CldFlt
0,0xe78f13d31e00,0xf8032f000000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xe78f13d35e50,0xf80337970000,0x19000,MsLldp,MsLldp,\\Driver\\MsLldp
0,0xe78f13d492a0,0xf80332120000,0xb7000,ACPI,ACPI,\\Driver\\ACPI
0,0xe78f13d4f070,0xf8032f000000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xe78f13d4f720,0xf8032f000000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xe78f13d5edf0,0xf80331fb0000,0xc7000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xe78f13d61e50,0xf80337950000,0x19000,lltdio,lltdio,\\Driver\\lltdio
0,0xe78f13d6ae50,0xf80338420000,0x39000,wcifs,wcifs,\\FileSystem\\wcifs
0,0xe78f13d6db00,0xf803321f0000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xe78f13d6dd30,0xf803323d0000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xe78f13d722c0,0xf80351ec0000,0x1b2000,HTTP,HTTP,\\Driver\\HTTP
0,0xe78f13d73e20,0xf80331ef0000,0xbd000,CNG,CNG,\\Driver\\CNG
0,0xe78f13d7ec10,0xf803320c0000,0xe000,PRM,PRM,\\Driver\\PRM
0,0xe78f13d80d20,0xf80332100000,0x1c000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xe78f13d93c10,0xf803320d0000,0x27000,acpiex,acpiex,\\Driver\\acpiex
0,0xe78f13dafe20,0xf803323b0000,0x13000,IntelPMT,IntelPMT,\\Driver\\IntelPMT
0,0xe78f13decb00,0xf80332400000,0x1c000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xe78f13e04e10,0xf80332290000,0x57000,TPM,TPM,\\Driver\\TPM
