TreeDepth,Offset,Name
0,0xc7018017b500,\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\LocalCache\\Microsoft\\MSTeams\\EBWebView\\lockfile
0,0xc7018019aa20,⩸ᥱ￿⩸ᥱ￿
0,0xc701801dd9b0,行ᥰ￿行ᥰ￿
0,0xe78f13c684c0,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xe78f13c68d60,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xe78f13cb7700,\\Windows\\System32\\AudioEndpointBuilder.dll
0,0xe78f13cb7ed0,\\$Directory
0,0xe78f143f80a0,\\Windows\\System32\\drivers\\null.sys
0,0xe78f143f8660,\\$Directory
0,0xe78f143f87d0,\\Windows\\System32\\vertdll.dll
0,0xe78f143f8ab0,\\Windows\\SysWOW64\\ntdll.dll
0,0xe78f143f8c20,\\Windows\\System32\\drivers\\cdrom.sys
0,0xe78f143f91e0,\\$Directory
0,0xe78f143f9630,\\Windows\\System32\\drivers\\filecrypt.sys
0,0xe78f143f9d60,\\Windows\\System32\\drivers\\tbs.sys
0,0xe78f1443bc20,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_02da009b3d736cc1\\BasicDisplay.sys
0,0xe78f1443c1e0,\\$Secure:$SDH:$INDEX_ALLOCATION
0,0xe78f1443c350,\\$Directory
0,0xe78f1443c4c0,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_cd986857f0d08689\\BasicRender.sys
0,0xe78f1443c7a0,\\Windows\\System32\\drivers\\watchdog.sys
0,0xe78f1443ca80,\\Windows\\System32\\drivers\\beep.sys
0,0xe78f1443ced0,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xe78f1446c210,\\Windows\\System32\\drivers\\Vid.sys
0,0xe78f1446c380,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xe78f1446c4f0,\\Windows\\System32\\drivers\\npsvctrig.sys
0,0xe78f1446c7d0,\\Windows\\System32\\drivers\\mssmbios.sys
0,0xe78f1446d350,\\Windows\\System32\\drivers\\netbios.sys
0,0xe78f1446d910,\\Windows\\System32\\drivers\\nsiproxy.sys
0,0xe78f1446da80,\\Windows\\System32\\drivers\\pacer.sys
0,0xe78f1446dbf0,\\Windows\\System32\\drivers\\winhvr.sys
0,0xe78f1446dd60,\\Windows\\System32\\drivers\\rdbss.sys
