TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xc70180104e70,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xc701801065e0,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xc701801065e0,UDPv6,::,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xc701801078a0,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:06.000000 UTC
0,0xe78f13c87e90,TCPv4,10.0.2.54,139,0.0.0.0,0,LISTENING,4,System,2023-03-30 16:21:50.000000 UTC
0,0xe78f13f0faa0,TCPv4,10.0.2.54,51937,142.250.200.3,443,CLOSED,-,-,N/A
0,0xe78f14742b50,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,828,lsass.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14742b50,TCPv6,::,49664,::,0,LISTENING,828,lsass.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14742cb0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1868,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f14743390,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,436,svchost.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f147434f0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,828,lsass.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14743650,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,436,svchost.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14743650,TCPv6,::,135,::,0,LISTENING,436,svchost.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f147437b0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,660,wininit.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14743910,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1868,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f14743910,TCPv6,::,49666,::,0,LISTENING,1868,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f14896470,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,660,wininit.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f14896470,TCPv6,::,49665,::,0,LISTENING,660,wininit.exe,2023-03-30 16:21:44.000000 UTC
0,0xe78f174628b0,UDPv4,0.0.0.0,65172,*,0,,1036,msedge.exe,2023-03-30 17:28:12.000000 UTC
0,0xe78f174628b0,UDPv6,::,65172,*,0,,1036,msedge.exe,2023-03-30 17:28:12.000000 UTC
0,0xe78f1749f010,TCPv4,10.0.2.54,51142,142.250.187.238,443,ESTABLISHED,-,-,N/A
0,0xe78f176bf760,UDPv4,0.0.0.0,0,*,0,,3896,svchost.exe,2023-03-30 16:55:32.000000 UTC
0,0xe78f176c0250,UDPv4,0.0.0.0,0,*,0,,3896,svchost.exe,2023-03-30 16:55:32.000000 UTC
0,0xe78f176c0250,UDPv6,::,0,*,0,,3896,svchost.exe,2023-03-30 16:55:32.000000 UTC
0,0xe78f176c1ce0,UDPv4,0.0.0.0,58146,*,0,,1036,msedge.exe,2023-03-30 17:24:45.000000 UTC
0,0xe78f176c1ce0,UDPv6,::,58146,*,0,,1036,msedge.exe,2023-03-30 17:24:45.000000 UTC
0,0xe78f1775b8e0,UDPv4,0.0.0.0,5353,*,0,,1876,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f1775b8e0,UDPv6,::,5353,*,0,,1876,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f1775d500,UDPv4,0.0.0.0,5353,*,0,,1876,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f178f6240,UDPv4,0.0.0.0,0,*,0,,1876,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f178f6240,UDPv6,::,0,*,0,,1876,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f178f63d0,UDPv4,10.0.2.54,138,*,0,,4,System,2023-03-30 16:21:50.000000 UTC
0,0xe78f178f6560,UDPv4,10.0.2.54,137,*,0,,4,System,2023-03-30 16:21:50.000000 UTC
0,0xe78f178f92b0,UDPv4,127.0.0.1,63058,*,0,,1696,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f179840d0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2596,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f179847b0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2992,spoolsv.exe,2023-03-30 16:21:51.000000 UTC
0,0xe78f17984a70,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,2596,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f17984a70,TCPv6,::,49667,::,0,LISTENING,2596,svchost.exe,2023-03-30 16:21:50.000000 UTC
0,0xe78f17984bd0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2992,spoolsv.exe,2023-03-30 16:21:51.000000 UTC
0,0xe78f17984bd0,TCPv6,::,49668,::,0,LISTENING,2992,spoolsv.exe,2023-03-30 16:21:51.000000 UTC
0,0xe78f179a9010,TCPv4,10.0.2.54,51216,2.17.209.149,443,CLOSE_WAIT,-,-,N/A
0,0xe78f17a7ee70,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xe78f17a805e0,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xe78f17a805e0,UDPv6,::,0,*,0,,8336,svchost.exe,2023-03-30 16:59:05.000000 UTC
0,0xe78f17a818a0,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:06.000000 UTC
0,0xe78f17a826b0,UDPv4,0.0.0.0,0,*,0,,8336,svchost.exe,2023-03-30 16:59:06.000000 UTC
0,0xe78f17a826b0,UDPv6,::,0,*,0,,8336,svchost.exe,2023-03-30 16:59:06.000000 UTC
0,0xe78f17b52aa0,TCPv4,10.0.2.54,51214,2.17.209.149,443,CLOSE_WAIT,-,-,N/A
0,0xe78f17cf81c0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,804,services.exe,2023-03-30 16:21:51.000000 UTC
0,0xe78f17cf81c0,TCPv6,::,49669,::,0,LISTENING,804,services.exe,2023-03-30 16:21:51.000000 UTC
0,0xe78f17cf97c0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-30 16:21:51.000000 UTC
0,0xe78f17cf97c0,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-30 16:21:51.000000 UTC
0,0xe78f17cf9be0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,804,services.exe,2023-03-30 16:21:51.000000 UTC
