TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xe78f13ce7040,139,-,N/A,False,2023-03-30 16:21:43.000000 UTC,N/A,-,-,-
1,96,4,Registry,0xe78f13d17080,4,-,N/A,False,2023-03-30 16:21:42.000000 UTC,N/A,Registry,-,-
1,2844,4,MemCompression,0xe78f17a53040,38,-,N/A,False,2023-03-30 16:21:50.000000 UTC,N/A,MemCompression,-,-
1,408,4,smss.exe,0xe78f1487a040,2,-,N/A,False,2023-03-30 16:21:43.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,588,560,csrss.exe,0xe78f14fe5080,10,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,660,560,wininit.exe,0xe78f14fe4140,2,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\wininit.exe,-,-
1,972,660,fontdrvhost.ex,0xe78f1738a140,5,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,804,660,services.exe,0xe78f171a4080,7,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,2084,804,svchost.exe,0xe78f177f6080,2,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\Windows\\System32\\svchost.exe
2,2596,804,svchost.exe,0xe78f1795b080,7,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,C:\\Windows\\System32\\svchost.exe
2,4644,804,svchost.exe,0xe78f183b1080,3,-,0,False,2023-03-30 16:23:15.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k osprivacy -p -s camsvc,C:\\Windows\\system32\\svchost.exe
2,1068,804,svchost.exe,0xe78f174aa080,1,-,0,False,2023-03-30 16:21:45.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s DeviceInstall,C:\\Windows\\system32\\svchost.exe
2,7724,804,SgrmBroker.exe,0xe78f1ab25080,8,-,0,False,2023-03-30 16:23:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\Sgrm\\SgrmBroker.exe,C:\\Windows\\system32\\Sgrm\\SgrmBroker.exe,C:\\Windows\\system32\\Sgrm\\SgrmBroker.exe
2,4672,804,svchost.exe,0xe78f18dc80c0,0,-,0,False,2023-03-30 16:23:20.000000 UTC,2023-03-30 16:25:20.000000 UTC,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,-,-
2,2628,804,svchost.exe,0xe78f179ab080,4,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s EventSystem,C:\\Windows\\system32\\svchost.exe
2,1612,804,svchost.exe,0xe78f13df4080,0,-,0,False,2023-03-30 16:21:50.000000 UTC,2023-03-30 16:41:37.000000 UTC,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,-,-
2,2636,804,svchost.exe,0xe78f179ac080,3,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,C:\\Windows\\system32\\svchost.exe
2,1636,804,svchost.exe,0xe78f13de7080,4,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi,C:\\Windows\\system32\\svchost.exe
2,7780,804,svchost.exe,0xe78f1ab1a080,8,-,0,False,2023-03-30 16:23:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc,C:\\Windows\\System32\\svchost.exe
2,2664,804,svchost.exe,0xe78f179b6080,4,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc,C:\\Windows\\system32\\svchost.exe
2,3176,804,svchost.exe,0xe78f17dd7080,5,-,0,False,2023-03-30 16:21:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p -s LanmanWorkstation,C:\\Windows\\System32\\svchost.exe
2,1136,804,svchost.exe,0xe78f174d80c0,2,-,0,False,2023-03-30 16:21:45.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p,C:\\Windows\\system32\\svchost.exe
2,5232,804,svchost.exe,0xe78f18399080,4,-,0,False,2023-03-30 16:23:18.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s lfsvc,C:\\Windows\\system32\\svchost.exe
2,2692,804,svchost.exe,0xe78f179c2080,5,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager,C:\\Windows\\system32\\svchost.exe
3,7640,2692,sihost.exe,0xe78f185240c0,13,-,2,False,2023-03-30 16:31:18.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\sihost.exe,sihost.exe,C:\\Windows\\system32\\sihost.exe
2,1668,804,svchost.exe,0xe78f18214080,3,-,0,False,2023-03-30 16:23:13.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s TokenBroker,C:\\Windows\\system32\\svchost.exe
2,652,804,msiexec.exe,0xe78f1e0a5080,5,-,0,False,2023-03-30 17:24:28.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\msiexec.exe,C:\\Windows\\system32\\msiexec.exe /V,C:\\Windows\\system32\\msiexec.exe
3,5248,652,msiexec.exe,0xe78f17fd4080,0,-,2,True,2023-03-30 17:24:28.000000 UTC,2023-03-30 17:24:49.000000 UTC,\\Device\\HarddiskVolume3\\Windows\\SysWOW64\\msiexec.exe,-,-
3,596,652,msiexec.exe,0xe78f2535e080,5,-,2,True,2023-03-30 17:26:32.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\SysWOW64\\msiexec.exe,C:\\Windows\\syswow64\\MsiExec.exe -Embedding 93DB6CAFF25985F28CA35ED405639919 C,C:\\Windows\\syswow64\\MsiExec.exe
2,2704,804,svchost.exe,0xe78f1812e080,9,-,0,False,2023-03-30 16:23:13.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s CDPSvc,C:\\Windows\\system32\\svchost.exe
2,8336,804,svchost.exe,0xe78f247b60c0,4,-,0,False,2023-03-30 17:08:07.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s fdPHost,C:\\Windows\\system32\\svchost.exe
2,672,804,svchost.exe,0xe78f17422080,4,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM,C:\\Windows\\system32\\svchost.exe
2,1696,804,svchost.exe,0xe78f17665080,14,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netprofm -p -s netprofm,C:\\Windows\\System32\\svchost.exe
2,1704,804,svchost.exe,0xe78f1855f080,3,-,0,False,2023-03-30 16:23:16.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Appinfo,C:\\Windows\\system32\\svchost.exe
2,3248,804,svchost.exe,0xe78f17df0080,10,-,0,False,2023-03-30 16:21:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p,C:\\Windows\\System32\\svchost.exe
3,3912,3248,AggregatorHost,0xe78f17c9b080,2,-,0,False,2023-03-30 16:21:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\AggregatorHost.exe,AggregatorHost.exe,C:\\Windows\\System32\\AggregatorHost.exe
2,5300,804,svchost.exe,0xe78f194a8080,7,-,0,False,2023-03-30 16:23:42.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV,C:\\Windows\\system32\\svchost.exe
2,3256,804,svchost.exe,0xe78f17df4080,15,-,0,False,2023-03-30 16:21:51.000000 UTC,N/A,\\Device\\HarddiskVolume3\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNoNetwork -p -s DPS,C:\\Windows\\System32\\svchost.exe
