TreeDepth,Offset,FileFullPath,File output
0,0xd78527a53000,,Disabled
0,0xd78527a9a000,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0xd78527aed000,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0xd785284d1000,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0xd78527f2d000,\\Device\\HarddiskVolume1\\EFI\\Microsoft\\Boot\\BCD,Disabled
0,0xd78528ed1000,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0xd7852a184000,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0xd7852a1e6000,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0xd7852a3ac000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0xd7852a65a000,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0xd7852adfb000,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xd7852a6a8000,\\??\\C:\\Users\\defaultuser0\\ntuser.dat,Disabled
0,0xd7852dd60000,\\SystemRoot\\System32\\AppLocker\\AppCache.dat,Disabled
0,0xd785314f6000,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0xd7852f46e000,\\??\\C:\\Users\\mapo9\\ntuser.dat,Disabled
0,0xd7852f46b000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xd7852f444000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_1000.22634.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xd7852cfdf000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.Core_1000.22633.1000.0_x64__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xd78531bf1000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xd7852db77000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.CBS_8.2206.15001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xd7852eb60000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xd78533bac000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-3134336473-284436917-3937734500-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e.dat,Disabled
0,0xd78533b92000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat,Disabled
0,0xd78533bae000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat,Disabled
0,0xd78533bb7000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-3134336473-284436917-3937734500-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e_COM15.dat,Disabled
0,0xd78533bb9000,\\??\\C:\\ProgramData\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\S-1-5-21-3134336473-284436917-3937734500-1001\\SystemAppData\\Helium\\Cache\\3c2837ebe7d3d47e.dat,Disabled
0,0xd78533bb2000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftTeams_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xd7852f490000,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat,Disabled
0,0xd78536ad7000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Photos_21.21030.25003.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xd78528fe7000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xd7852ded1000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xd78534137000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\windows.immersivecontrolpanel_10.0.6.1000_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xd7852ac5a000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.SecHealthUI_1000.22621.1.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xd7852e74f000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.MicrosoftOfficeHub_18.2204.1141.0_x64__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xd7852ebcc000,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xd7852e770000,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.MicrosoftEdge_44.22621.525.0_neutral__8wekyb3d8bbwe\\ActivationStore.dat,Disabled

