TreeDepth,Index,Address,Module,Symbol
0,0,0xf8032f2dcc40,ntoskrnl,NtAccessCheck
0,1,0xf8032f3630a0,ntoskrnl,NtWorkerFactoryWorkerReady
0,2,0xf8032f7ebdf0,ntoskrnl,NtAcceptConnectPort
0,3,0xf8032fa33680,ntoskrnl,NtMapUserPhysicalPagesScatter
0,4,0xf8032f6c7260,ntoskrnl,NtWaitForSingleObject
0,5,0xf8032f424cf0,ntoskrnl,NtCallbackReturn
0,6,0xf8032f7adfd0,ntoskrnl,NtReadFile
0,7,0xf8032f6c7a60,ntoskrnl,NtDeviceIoControlFile
0,8,0xf8032f6b3fb0,ntoskrnl,NtWriteFile
0,9,0xf8032f74a820,ntoskrnl,NtRemoveIoCompletion
0,10,0xf8032f694580,ntoskrnl,NtReleaseSemaphore
0,11,0xf8032f708960,ntoskrnl,NtReplyWaitReceivePort
0,12,0xf8032f7e1cf0,ntoskrnl,NtReplyPort
0,13,0xf8032f745680,ntoskrnl,NtSetInformationThread
0,14,0xf8032f7b3e40,ntoskrnl,NtSetEvent
0,15,0xf8032f6c7ad0,ntoskrnl,NtClose
0,16,0xf8032f6b1b70,ntoskrnl,NtQueryObject
0,17,0xf8032f6d3630,ntoskrnl,NtQueryInformationFile
0,18,0xf8032f7b52f0,ntoskrnl,NtOpenKey
0,19,0xf8032f72d9e0,ntoskrnl,NtEnumerateValueKey
0,20,0xf8032f7c4e30,ntoskrnl,NtFindAtom
0,21,0xf8032f7d5830,ntoskrnl,NtQueryDefaultLocale
0,22,0xf8032f6c4c40,ntoskrnl,NtQueryKey
0,23,0xf8032f6c5350,ntoskrnl,NtQueryValueKey
0,24,0xf8032f7121a0,ntoskrnl,NtAllocateVirtualMemory
0,25,0xf8032f6e0e60,ntoskrnl,NtQueryInformationProcess
0,26,0xf8032f7cf350,ntoskrnl,NtWaitForMultipleObjects32
0,27,0xf8032f7f57e0,ntoskrnl,NtWriteFileGather
0,28,0xf8032f70f670,ntoskrnl,NtSetInformationProcess
0,29,0xf8032f724a00,ntoskrnl,NtCreateKey
0,30,0xf8032f74ca10,ntoskrnl,NtFreeVirtualMemory
0,31,0xf8032f96cb50,ntoskrnl,NtImpersonateClientOfPort
0,32,0xf8032f749cf0,ntoskrnl,NtReleaseMutant
0,33,0xf8032f7473b0,ntoskrnl,NtQueryInformationToken
0,34,0xf8032f707590,ntoskrnl,NtRequestWaitReplyPort
0,35,0xf8032f6bd4a0,ntoskrnl,NtQueryVirtualMemory
0,36,0xf8032f6d8c20,ntoskrnl,NtOpenThreadToken
0,37,0xf8032f6b6e50,ntoskrnl,NtQueryInformationThread
0,38,0xf8032f736fd0,ntoskrnl,NtOpenProcess
0,39,0xf8032f2a34c0,ntoskrnl,NtSetInformationFile
0,40,0xf8032f6ba870,ntoskrnl,NtMapViewOfSection
0,41,0xf8032f733f70,ntoskrnl,NtAccessCheckAndAuditAlarm
