TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffe78f13cbd470,0x7ffea000,0x7ffeafff,VadS,PAGE_READONLY,1,1,0x0,N/A,Disabled
0,4,System,0xffffe78f13cbd790,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0xffffe78f13cbd470,N/A,Disabled
0,4,System,0xffffe78f142fd320,0x1cc20000,0x1cdcefff,Vad ,PAGE_READONLY,0,0,0xffffe78f13cbd790,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffe78f142fc380,0x1965ce40000,0x1965ce74fff,Vad ,PAGE_READONLY,0,0,0xffffe78f13cbd470,\\Windows\\System32\\vertdll.dll,Disabled
0,4,System,0xffffe78f142fc2e0,0x1965cc20000,0x1965ce33fff,Vad ,PAGE_READONLY,0,0,0xffffe78f142fc380,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0xffffe78f17198db0,0x1965ce80000,0x1965ce80fff,Vad ,PAGE_READWRITE,0,0,0xffffe78f142fc380,N/A,Disabled
0,96,Registry,0xffffe78f1751db10,0x27384780000,0x2738478ffff,Vad ,PAGE_READONLY,4,0,0x0,\\Users\\mapo9\\NTUSER.DATf0b7-4788-8b00-b9a8db60877f}.tmp,Disabled
0,96,Registry,0xffffe78f14ea06e0,0x27383eb0000,0x273840affff,Vad ,PAGE_READONLY,151,0,0xffffe78f1751db10,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9fc40,0x27381eb0000,0x273820affff,Vad ,PAGE_READONLY,13,0,0xffffe78f14ea06e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9f880,0x27380eb0000,0x273810affff,Vad ,PAGE_READONLY,21,0,0xffffe78f14e9fc40,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9fec0,0x273806b0000,0x273808affff,Vad ,PAGE_READONLY,0,0,0xffffe78f14e9f880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9f7e0,0x273802b0000,0x273804affff,Vad ,PAGE_READONLY,4,0,0xffffe78f14e9fec0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9f9c0,0x273800b0000,0x273802affff,Vad ,PAGE_READONLY,40,0,0xffffe78f14e9f7e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,96,Registry,0xffffe78f14e9f6a0,0x273804b0000,0x273806affff,Vad ,PAGE_READONLY,0,0,0xffffe78f14e9f7e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
