TreeDepth,Offset,Name
0,0x50dd1e39,
0,0xd9cc8540,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Subresource Filter\\Indexed Rules\\35\\9.44.0\\Ruleset Data
0,0xd9cd7f40,\\Users\\Mark\\AppData\\LocalLow\\Microsoft\\CryptnetUrlCache\\MetaData\\265C0DEB29181DD1891051371C5F863A_A1AB6B0BC69E39DFEE327488FAF86590
0,0xd9cda2c8,\\Program Files\\AccessData\\FTK Imager\\boost_regex-vc90-mt-1_39.dll
0,0xd9cda8d8,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Features-Package-AutoMerged-base~31bf3856ad364e35~x86~~6.3.9600.16384.cat
0,0xd9cdc6a8,\\Windows\\System32\\wintrust.dll
0,0xd9cdc9a8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extension Rules\\000003.log
0,0xd9cdca60,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extension Rules\\MANIFEST-000001
0,0xdae411c8,\\Windows\\System32\\wshext.dll
0,0xdae41338,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-OOBE-Machine-DUI%4Operational.evtx
0,0xdae413f0,\\Windows\\System32\\en-US\\msctf.dll.mui
0,0xdae41f80,\\Windows\\Fonts\\timesi.ttf
0,0xdb214250,\\Users\\Mark\\AppData\\Local\\Microsoft\\Internet Explorer\\TabRoaming
0,0xdb214650,\\Windows\\System32\\WorkFoldersShell.dll
0,0xdb214d00,\\Windows\\Fonts\\NirmalaS.ttf
0,0xdb21f5c8,\\ProgramData\\Microsoft\\Windows\\Start Menu
0,0xdb21f680,\\Users\\Mark\\AppData\\Local\\Microsoft\\Internet Explorer\\TabRoaming
0,0xdb21fe00,\\Program Files\\AccessData\\FTK Imager\\ADIsoDLL.dll
0,0xdb8ab5d8,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Client-Features-Package-AutoMerged-avcore~31bf3856ad364e35~x86~~6.3.9600.16384.cat
0,0xdb8ab690,\\Windows\\System32\\en-US\\tzres.dll.mui
0,0xdbe01b50,\\Program Files\\AccessData\\FTK Imager\\langs\\ptb_ftki.dll
0,0xdbe01c08,\\Program Files\\AccessData\\FTK Imager\\langs\\kor_adencrypt.dll
0,0xdbe02680,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache\\Cache_Data\\data_2
0,0xdbe03ee0,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\trusted_vault.pb88-95c4-118eab68927c.tmp
0,0xdbe051d0,\\$Directory
0,0xdbe05788,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\INetCache\\Low\\SuggestedSites.dat
0,0xdbe07688,\\$ConvertToNonresident
0,0xdbe08bc8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Network Action Predictor
0,0xdbe09f80,\\Windows\\System32\\wisp.dll
0,0xdbe0a440,me2\\Windows\\WinSxS\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.9600.16384
0,0xdbe0aac0,\\$Directory
0,0xdbe0cb40,\\Windows\\System32\\DDORes.dll
0,0xdbe0cf80,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\EH
0,0xdbe0d2f8,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.129\\v8_context_snapshot.bin
0,0xdbe0e0f8,\\Windows\\System32
0,0xdbe0e838,\\Windows\\System32\\en-US\\crypt32.dll.mui
0,0xdbe0fa48,\\Users\\Mark\\AppData\\Roaming\\Microsoft\\SystemCertificates\\My
0,0xdbe10e88,\\Windows\\System32\\en-US\\mswsock.dll.mui
0,0xdbe114b0,\\Windows\\System32\\en-US\\ActionCenter.dll.mui
0,0xdbe11cc8,\\Windows\\WinSxS\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.9600.16384_none_a9f4965301334e09
0,0xdbe13680,\\MsFteWds
0,0xdbe142e0,\\ProgramData\\Microsoft\\Windows\\Sqm\\Upload\\PnrpResolveSession3.sqm
0,0xdbe14488,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\INetCache\\counters.dat
0,0xdbe15a78,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0xdbe17038,\\Windows\\Fonts\\segoeuii.ttf
0,0xdbe17190,\\$Directory
0,0xdbe17908,\\$Directory
0,0xdbe17cc0,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\WebStorage\\QuotaManager-journal
0,0xdbe18200,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\GrShaderCache\\index
0,0xdbe18598,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\GrShaderCache\\data_0
0,0xdbe188f0,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache\\Cache_Data\\index
0,0xdbe189e8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache\\Cache_Data\\data_3
0,0xdbe1a640,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\DJ
0,0xdbe1ab80,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-NetworkAccessProtection%4WHC.evtx
0,0xdbe1c540,\\Windows\\System32\\wsock32.dll
0,0xdbe1db50,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
0,0xdbe1e038,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\SettingSync\\metastore\\edb.log
0,0xdbe1e210,\\Users\\Mark\\AppData\\Local\\Packages\\winstore_cw5n1h2txyewy\\Settings\\settings.dat.LOG1
0,0xdbe1e880,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\DawnCache\\data_3
0,0xdbe1f708,\\$Directory
0,0xdbe21738,\\Windows\\System32\\mfasfsrcsnk.dll
0,0xdbe22478,\\Windows\\System32\\MSAudDecMFT.dll
0,0xdbe22530,\\Windows\\System32\\mfpmp.exe
0,0xdbe227a0,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-ReadyBoost%4Operational.evtx
0,0xdbe24410,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\SettingSync\\remotemetastore\\v1\\edb.log
0,0xdbe24528,\\$Directory
0,0xdbe24a48,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Visited Links
0,0xdbe24b00,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cache\\Cache_Data\\data_0
0,0xdbe28d50,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data For Account
0,0xdbe28e08,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Affiliation Database
0,0xdbe28f30,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\TC
0,0xdbe2a220,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\MF
0,0xdbe2af80,\\Windows\\System32\\dciman32.dll
0,0xdbe2bcb0,\\$Directory
0,0xdbe2d310,\\Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xdbe2d4d8,\\$ConvertToNonresident
0,0xdbe30c38,\\Windows\\System32\\dxva2.dll
0,0xdbe31b38,\\$Directory
0,0xdbe32038,\\Windows\\System32\\en-US\\dui70.dll.mui
0,0xdbe324a8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data
0,0xdbe33890,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.129
0,0xdbe34620,\\Windows\\System32\\setupapi.dll
0,0xdbe354e8,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0xdbe36da8,\\Windows\\System32\\WinMetadata\\Windows.UI.Xaml.winmd
0,0xdbe36f80,\\Users\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\MG
0,0xdbe375e8,\\$Directory
0,0xdbe391d0,\\Windows\\System32\\WMPhoto.dll
0,0xdbe3e758,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\SettingSync\\BackupTask
0,0xdbe3e8c8,\\Windows\\System32\\msmpeg2vdec.dll
0,0xdbe3eb38,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\WER\\ReportArchive
0,0xdbe3ebf0,\\ProgramData\\Microsoft\\Windows\\WER\\ReportArchive
0,0xdbe3ef80,\\Windows\\System32\\WinTypes.dll
0,0xdbe3f390,\\Users\\Mark
0,0xdbe3f448,\\Windows\\System32\\sxs.dll
0,0xdbe41038,\\Windows\\System32\\sysmain.dll
0,0xdbe43708,\\Windows\\System32\\GlobCollationHost.dll
