TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,1320,MsMpEng.exe,0x3460000,0x365ffff,VadS,PAGE_EXECUTE_READWRITE,512,1,Disabled,N/A,"
09 00 34 00 09 00 01 05 8b 55 18 8b 4d 54 8d 54 ..4......U..MT.T
0a fc b9 04 00 1a 00 ff 95 48 37 00 00 8b 4d 1c .........H7...M.
89 08 81 45 18 fc ff ff ff 8d 45 1c 8b 4d 18 89 ...E......E..M..
08 81 6d 18 94 02 00 00 9f 0f 90 c0 66 89 45 38 ..m.........f.E8",09 00 34 00 09 00 01 05 8b 55 18 8b 4d 54 8d 54 0a fc b9 04 00 1a 00 ff 95 48 37 00 00 8b 4d 1c 89 08 81 45 18 fc ff ff ff 8d 45 1c 8b 4d 18 89 08 81 6d 18 94 02 00 00 9f 0f 90 c0 66 89 45 38
0,1320,MsMpEng.exe,0x3360000,0x345ffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
08 00 42 00 00 00 00 05 8b 45 14 89 c2 8b 45 10 ..B......E....E.
8b 08 8b 40 04 89 0a 89 42 04 8b 45 14 81 00 88 ...@....B..E....
00 00 00 8d 45 08 89 c2 8b 45 14 8b 08 89 0a 8b ....E....E......
45 14 89 c2 8b 45 08 8b 00 89 02 c7 42 04 00 00 E....E......B...",08 00 42 00 00 00 00 05 8b 45 14 89 c2 8b 45 10 8b 08 8b 40 04 89 0a 89 42 04 8b 45 14 81 00 88 00 00 00 8d 45 08 89 c2 8b 45 14 8b 08 89 0a 8b 45 14 89 c2 8b 45 08 8b 00 89 02 c7 42 04 00 00
0,1320,MsMpEng.exe,0x3bd0000,0x3caffff,VadS,PAGE_EXECUTE_READWRITE,224,1,Disabled,N/A,"
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,2132,explorer.exe,0x3b10000,0x3b10fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 b1 03 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b1 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,2132,explorer.exe,0xbc50000,0xbc50fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00 ................
10 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00 ................
20 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00  ...............",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00 10 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00 20 00 c5 0b 00 00 00 00 00 00 00 00 00 00 00 00
0,3176,iexplore.exe,0x5950000,0x5950fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00 ................
10 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00 ................
20 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00  ...............",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00 10 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00 20 00 95 05 00 00 00 00 00 00 00 00 00 00 00 00
0,3944,WSHost.exe,0xf60000,0xf6ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 00 00 00 16 00 00 00 00 00 ae 00 ff ff ff 3f ...............?
c4 01 89 00 09 00 00 00 20 00 00 00 00 00 00 00 ........ .......
d0 60 b1 00 20 00 00 00 c8 07 89 00 a0 18 ae 00 .`.. ...........
00 00 89 00 ff ff ff 3f c4 01 89 00 13 00 00 00 .......?........",00 00 00 00 16 00 00 00 00 00 ae 00 ff ff ff 3f c4 01 89 00 09 00 00 00 20 00 00 00 00 00 00 00 d0 60 b1 00 20 00 00 00 c8 07 89 00 a0 18 ae 00 00 00 89 00 ff ff ff 3f c4 01 89 00 13 00 00 00
0,1816,wmpnetwk.exe,0xf10000,0xf1ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
28 d0 8c 00 dd 17 6a 77 20 d0 8c 00 00 00 00 00 (.....jw .......
8c d0 8c 00 00 00 00 00 00 00 00 00 70 d0 8c 00 ............p...
ae e2 6e 77 b0 d0 8c 00 ca 00 00 00 c4 d2 8c 00 ..nw............
54 78 6c 77 00 00 2d 00 00 00 00 00 f0 fb 30 00 Txlw..-.......0.",28 d0 8c 00 dd 17 6a 77 20 d0 8c 00 00 00 00 00 8c d0 8c 00 00 00 00 00 00 00 00 00 70 d0 8c 00 ae e2 6e 77 b0 d0 8c 00 ca 00 00 00 c4 d2 8c 00 54 78 6c 77 00 00 2d 00 00 00 00 00 f0 fb 30 00
0,1816,wmpnetwk.exe,0xef0000,0xefffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
54 13 cf 6f 80 00 00 00 79 12 cf 6f 18 30 cf 6f T..o....y..o.0.o
30 f0 8c 00 05 13 cf 6f 30 13 cf 6f 34 13 cf 6f 0......o0..o4..o
c0 10 cf 6f 00 00 00 00 00 00 00 00 00 00 8d 00 ...o............
90 f0 8c 00 00 10 00 00 00 00 00 00 6c f0 8c 00 ............l...",54 13 cf 6f 80 00 00 00 79 12 cf 6f 18 30 cf 6f 30 f0 8c 00 05 13 cf 6f 30 13 cf 6f 34 13 cf 6f c0 10 cf 6f 00 00 00 00 00 00 00 00 00 00 8d 00 90 f0 8c 00 00 10 00 00 00 00 00 00 6c f0 8c 00
0,2348,chrome.exe,0x91b0000,0x91b0fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00 ................
10 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00 ................
20 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00  ...............",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00 10 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00 20 00 1b 09 00 00 00 00 00 00 00 00 00 00 00 00
0,3220,chrome.exe,0x2690000,0x269ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 84 e0 9f 01 70 e5 9f 01 ............p...
a4 e4 9f 01 51 27 03 5b 00 00 00 00 0e 00 00 00 ....Q'.[........
69 53 03 5b 70 e5 9f 01 08 e5 9f 01 78 53 03 5b iS.[p.......xS.[
00 00 00 00 7e e5 9f 01 00 04 00 00 0e 00 00 00 ....~...........",00 00 00 00 00 00 00 00 84 e0 9f 01 70 e5 9f 01 a4 e4 9f 01 51 27 03 5b 00 00 00 00 0e 00 00 00 69 53 03 5b 70 e5 9f 01 08 e5 9f 01 78 53 03 5b 00 00 00 00 7e e5 9f 01 00 04 00 00 0e 00 00 00
0,3220,chrome.exe,0x26a0000,0x26affff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
c6 d5 6a 77 e0 e5 9f 01 f0 e1 ad 00 3c 00 00 00 ..jw........<...
88 e5 9f 01 f0 e1 ad 00 41 d6 6a 77 00 00 00 00 ........A.jw....
f0 e1 ad 00 d0 1f 68 77 00 00 00 00 00 00 00 00 ......hw........
b0 e1 9f 01 54 e5 9f 01 22 00 00 00 44 00 00 01 ....T...""...D...",c6 d5 6a 77 e0 e5 9f 01 f0 e1 ad 00 3c 00 00 00 88 e5 9f 01 f0 e1 ad 00 41 d6 6a 77 00 00 00 00 f0 e1 ad 00 d0 1f 68 77 00 00 00 00 00 00 00 00 b0 e1 9f 01 54 e5 9f 01 22 00 00 00 44 00 00 01
0,596,audiodg.exe,0xeb0000,0xebffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

