TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xdb8abb60,TCPv4,10.0.2.44,49380,142.250.179.227,443,CLOSED,1624,chrome.exe,-
0,0xdbe2b900,TCPv4,10.0.2.44,49402,185.199.109.154,443,CLOSED,1624,chrome.exe,-
0,0xdbe34008,TCPv4,10.0.2.44,49417,172.217.19.35,443,ESTABLISHED,1624,chrome.exe,-
0,0xdbe63788,TCPv4,10.0.2.44,49345,20.90.156.32,443,ESTABLISHED,2132,explorer.exe,-
0,0xdbe63998,TCPv4,10.0.2.44,49322,142.250.200.46,443,ESTABLISHED,1624,chrome.exe,-
0,0xdbe8dd48,TCPv4,10.0.2.44,49247,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdbeaf540,TCPv4,10.0.2.44,49246,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xdbeafdf8,TCPv4,10.0.2.44,49245,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xdc10e220,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc124868,UDPv4,0.0.0.0,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc124868,UDPv6,::,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc15a1c0,TCPv4,10.0.2.44,49248,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdc18acc8,UDPv4,0.0.0.0,512,*,0,,1624,chrome.exe,2023-03-28 16:37:14.000000 UTC
0,0xdc1e3df8,TCPv4,10.0.2.44,49393,142.251.5.102,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc20b308,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0xdc20e960,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc20e960,TCPv6,::,554,::,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc2daa00,TCPv4,10.0.2.44,49165,20.90.152.133,443,ESTABLISHED,2132,explorer.exe,-
0,0xdc30d788,UDPv4,0.0.0.0,0,*,0,,768,svchost.exe,2023-03-28 16:38:28.000000 UTC
0,0xdc30d788,UDPv6,::,0,*,0,,768,svchost.exe,2023-03-28 16:38:28.000000 UTC
0,0xdc329f50,TCPv4,0.0.0.0,10243,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc329f50,TCPv6,::,10243,::,0,LISTENING,4,System,N/A
0,0xdc32b208,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b208,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b488,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b708,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b708,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc3373b8,TCPv4,10.0.2.44,49386,172.217.169.3,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc360df8,TCPv4,10.0.2.44,49407,185.199.109.154,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc37a6c8,UDPv4,0.0.0.0,5888,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0xdc37a6c8,UDPv6,::,5888,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0xdc3a4df8,TCPv4,10.0.2.44,49376,108.177.15.188,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc3b1500,UDPv4,0.0.0.0,512,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc3b9a70,TCPv4,10.0.2.44,49394,209.197.3.8,80,CLOSED,768,svchost.exe,-
0,0xdc3e4df8,TCPv4,10.0.2.44,49255,96.17.178.184,80,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdc3ea6c8,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,716,svchost.exe,2023-03-28 16:34:10.000000 UTC
0,0xdc3f96e0,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc400160,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0xdc400c40,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0xdc400c40,TCPv6,::,49162,::,0,LISTENING,492,lsass.exe,N/A
0,0xdc40a3d8,TCPv4,0.0.0.0,3587,0.0.0.0,0,LISTENING,1932,svchost.exe,N/A
0,0xdc40a3d8,TCPv6,::,3587,::,0,LISTENING,1932,svchost.exe,N/A
0,0xdc40f2e8,TCPv4,10.0.2.44,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc41c138,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0xdc442650,UDPv4,127.0.0.1,512,*,0,,1008,svchost.exe,2023-03-28 16:27:03.000000 UTC
0,0xdc44ec68,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc44ec68,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc48d5d8,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc48d5d8,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc49abe0,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc49f080,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4a14a0,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4bb3c8,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4bbd70,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4bbd70,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4f70e0,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4f70e0,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4fe878,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc4fe878,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0xdc4ff5e8,UDPv4,0.0.0.0,0,*,0,,1828,svchost.exe,N/A
0,0xdc4ff5e8,UDPv6,::,0,*,0,,1828,svchost.exe,N/A
0,0xdc535008,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc535008,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc54c890,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc54c890,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc550a60,UDPv4,0.0.0.0,0,*,0,,1008,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc550a60,UDPv6,::,0,*,0,,1008,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc56fb80,UDPv4,127.0.0.1,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc570d60,UDPv4,10.0.2.44,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc571688,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc572c08,UDPv6,::1,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc572ef8,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc573420,UDPv4,127.0.0.1,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc573b08,UDPv4,10.0.2.44,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc5756f0,UDPv6,::1,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc577ae0,UDPv4,0.0.0.0,512,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0xdc57c668,TCPv4,10.0.2.44,49347,142.250.200.1,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc5aaf48,UDPv4,0.0.0.0,5888,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc5aaf48,UDPv6,::,5888,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc5abad0,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc5abad0,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xdc658600,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,768,svchost.exe,N/A
0,0xdc658600,TCPv6,::,49154,::,0,LISTENING,768,svchost.exe,N/A
0,0xdc659e10,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,768,svchost.exe,N/A
0,0xdc677bf0,UDPv4,10.0.2.44,512,*,0,,2348,chrome.exe,2023-03-28 16:38:41.000000 UTC
0,0xdc69e7d0,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,1148,spoolsv.exe,N/A
0,0xdc69e7d0,TCPv6,::,49155,::,0,LISTENING,1148,spoolsv.exe,N/A
0,0xdc69edc8,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,1148,spoolsv.exe,N/A
0,0xdc6e3f28,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc6e3f28,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc7163a0,TCPv4,10.0.2.44,49396,142.250.178.14,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc717730,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc758b70,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,484,services.exe,N/A
0,0xdc75ff50,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc75ff50,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0xdc764008,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,484,services.exe,N/A
0,0xdc764008,TCPv6,::,49156,::,0,LISTENING,484,services.exe,N/A
0,0xdc79e8a0,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc7cadf8,TCPv4,10.0.2.44,49415,52.167.254.228,80,CLOSED,768,svchost.exe,-
0,0xdc7e8f00,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc7e8f00,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc7fea40,TCPv4,10.0.2.44,49395,142.250.187.227,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc98bc48,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,392,wininit.exe,N/A
0,0xdc98bc48,TCPv6,::,49152,::,0,LISTENING,392,wininit.exe,N/A
0,0xdc98de18,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,392,wininit.exe,N/A
0,0xdc9de728,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,716,svchost.exe,N/A
0,0xdc9dedf8,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,716,svchost.exe,N/A
0,0xdc9dedf8,TCPv6,::,49153,::,0,LISTENING,716,svchost.exe,N/A
