TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0x846c2a40,96,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,Disabled
0,248,4,smss.exe,0x85bb0040,2,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,Disabled
0,340,320,csrss.exe,0x85bd12c0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,392,320,wininit.exe,0x847b1240,1,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,400,384,csrss.exe,0x847b4040,11,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,428,384,winlogon.exe,0x847a6040,2,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,484,392,services.exe,0x847e98c0,5,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,492,392,lsass.exe,0x861dc0c0,7,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,564,484,svchost.exe,0x863643c0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,608,484,svchost.exe,0x86397cc0,7,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,700,428,dwm.exe,0x863b4040,10,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,716,484,svchost.exe,0x863a8a80,22,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,768,484,svchost.exe,0x863da840,48,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,808,484,svchost.exe,0x863c9740,20,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,888,484,svchost.exe,0x863ec040,20,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1008,484,svchost.exe,0x8643b040,15,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1148,484,spoolsv.exe,0x86444040,9,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1176,484,svchost.exe,0x8649c200,22,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1320,484,MsMpEng.exe,0x86504040,31,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1828,484,svchost.exe,0x86688300,14,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1932,484,svchost.exe,0x8667d300,8,-,0,False,2023-03-28 16:27:04.000000 UTC,N/A,Disabled
0,2132,2112,explorer.exe,0x86587440,56,-,1,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,2168,768,taskhostex.exe,0x86852040,8,-,1,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,2444,2132,RestoreOptIn.e,0x868ba780,0,-,1,False,2023-03-28 16:27:21.000000 UTC,2023-03-28 16:27:24.000000 UTC,Disabled
0,2588,484,SearchIndexer.,0x868d1400,15,-,0,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,2940,564,RuntimeBroker.,0x8698d780,3,-,1,False,2023-03-28 16:27:24.000000 UTC,N/A,Disabled
0,3176,2132,iexplore.exe,0x86b2ccc0,11,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,3192,484,NisSrv.exe,0x86b15240,6,-,0,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,3264,3176,iexplore.exe,0x86b17580,17,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,3448,564,SettingSyncHos,0x86b9dcc0,11,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,3836,564,WWAHost.exe,0x86588040,32,-,1,False,2023-03-28 16:27:51.000000 UTC,N/A,Disabled
0,3944,564,WSHost.exe,0x865d6040,6,-,1,False,2023-03-28 16:27:52.000000 UTC,N/A,Disabled
0,1816,484,wmpnetwk.exe,0x85269980,7,-,0,False,2023-03-28 16:29:04.000000 UTC,N/A,Disabled
0,1504,564,WmiPrvSE.exe,0x8491b040,4,-,0,False,2023-03-28 16:29:04.000000 UTC,N/A,Disabled
0,2876,3744,GoogleCrashHan,0x863ee940,4,-,0,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,2348,2032,chrome.exe,0x84984cc0,29,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,3064,2348,chrome.exe,0x8522b640,8,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,3220,2348,chrome.exe,0x869ec7c0,11,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,1624,2348,chrome.exe,0x86417cc0,11,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,2388,2348,chrome.exe,0x8523a180,6,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,2064,2588,SearchProtocol,0x853958c0,4,-,0,False,2023-03-28 16:30:44.000000 UTC,N/A,Disabled
0,3760,768,taskhost.exe,0x852dacc0,10,-,0,False,2023-03-28 16:31:03.000000 UTC,N/A,Disabled
0,2356,2348,chrome.exe,0x853decc0,13,-,1,False,2023-03-28 16:31:18.000000 UTC,N/A,Disabled
0,2116,2348,chrome.exe,0x865d2b40,7,-,1,False,2023-03-28 16:31:19.000000 UTC,N/A,Disabled
0,3324,2348,chrome.exe,0x853c0480,12,-,1,False,2023-03-28 16:31:45.000000 UTC,N/A,Disabled
0,1336,768,GoogleUpdate.e,0x85300cc0,2,-,0,False,2023-03-28 16:33:32.000000 UTC,N/A,Disabled
0,1576,2588,SearchFilterHo,0x852ff700,1,-,0,False,2023-03-28 16:34:42.000000 UTC,N/A,Disabled
0,596,716,audiodg.exe,0x867ef740,4,-,0,False,2023-03-28 16:36:06.000000 UTC,N/A,Disabled
0,2364,484,msiexec.exe,0x867fbcc0,13,-,0,False,2023-03-28 16:36:12.000000 UTC,N/A,Disabled
0,2808,484,VSSVC.exe,0x852bb8c0,10,-,0,False,2023-03-28 16:36:18.000000 UTC,N/A,Disabled
0,2900,484,svchost.exe,0x8681b380,3,-,0,False,2023-03-28 16:36:18.000000 UTC,N/A,Disabled
0,544,2132,notepad.exe,0x86a38400,1,-,1,False,2023-03-28 16:36:21.000000 UTC,N/A,Disabled
0,344,2348,chrome.exe,0x85876040,13,-,1,False,2023-03-28 16:36:26.000000 UTC,N/A,Disabled
0,920,2348,chrome.exe,0x852decc0,10,-,1,False,2023-03-28 16:36:27.000000 UTC,N/A,Disabled
0,4012,1800,FTK Imager.exe,0x853b3800,17,-,1,False,2023-03-28 16:36:30.000000 UTC,N/A,Disabled

