TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0x848ce5d0,0x40000,0x5ffff,Vad ,PAGE_READWRITE,0,0,0x0,N/A,Disabled
0,4,System,0x85bd4b70,0x20000,0x3ffff,Vad ,PAGE_READWRITE,0,0,0x848ce5d0,N/A,Disabled
0,4,System,0x861dcac0,0x10000,0x10fff,Vad ,PAGE_READWRITE,0,0,0x85bd4b70,N/A,Disabled
0,4,System,0x8472dfb8,0x120000,0x142fff,Vad ,PAGE_READWRITE,0,0,0x848ce5d0,N/A,Disabled
0,4,System,0x85316c48,0x80000,0x9ffff,Vad ,PAGE_READWRITE,0,0,0x8472dfb8,N/A,Disabled
0,4,System,0x85316e78,0x60000,0x7ffff,Vad ,PAGE_READWRITE,0,0,0x85316c48,N/A,Disabled
0,4,System,0x85ac2488,0x77680000,0x777e3fff,Vad ,PAGE_EXECUTE_WRITECOPY,7,0,0x8472dfb8,\\Windows\\System32\\ntdll.dll,Disabled
0,248,smss.exe,0x85bb0f68,0x77680000,0x777e3fff,Vad ,PAGE_EXECUTE_WRITECOPY,7,0,0x0,\\Windows\\System32\\ntdll.dll,Disabled
0,248,smss.exe,0x85bae468,0xa10000,0xa4ffff,VadS,PAGE_READWRITE,5,1,0x85bb0f68,N/A,Disabled
0,248,smss.exe,0x85ba6ba0,0x9f0000,0x9f7fff,VadS,PAGE_READWRITE,1,1,0x85bae468,N/A,Disabled
0,248,smss.exe,0x861b4658,0x9e0000,0x9e0fff,Vad ,PAGE_READWRITE,0,0,0x85ba6ba0,N/A,Disabled
0,248,smss.exe,0x85bae928,0xa00000,0xa0efff,Vad ,PAGE_READONLY,0,0,0x85ba6ba0,N/A,Disabled
0,248,smss.exe,0x8623e388,0xb00000,0xb3ffff,VadS,PAGE_READWRITE,5,1,0x85bae468,N/A,Disabled
0,248,smss.exe,0x85bb0fb8,0xae0000,0xafafff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0x8623e388,\\Windows\\System32\\smss.exe,Disabled
0,248,smss.exe,0x85bac118,0xbb0000,0xcaffff,VadS,PAGE_READWRITE,14,1,0x8623e388,N/A,Disabled
0,248,smss.exe,0x85bae418,0x7f9ae000,0x7f9aefff,Vadl,PAGE_READWRITE,1,1,0x85bb0f68,N/A,Disabled
0,248,smss.exe,0x85bb0f18,0x7f980000,0x7f9a2fff,Vad ,PAGE_READONLY,0,0,0x85bae418,N/A,Disabled
0,248,smss.exe,0x8623e338,0x7f9ab000,0x7f9abfff,Vadl,PAGE_READWRITE,1,1,0x85bb0f18,N/A,Disabled
0,248,smss.exe,0x85bb0ec8,0x7f9af000,0x7f9affff,Vadl,PAGE_READWRITE,1,1,0x85bae418,N/A,Disabled
0,340,csrss.exe,0x85978858,0x1da0000,0x1daffff,Vad ,PAGE_READWRITE,0,0,0x0,N/A,Disabled
0,340,csrss.exe,0x847be9a8,0xfe0000,0x1bdffff,Vad ,PAGE_READONLY,0,0,0x85978858,N/A,Disabled
