TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,248,smss.exe,0xae0000,0x1b000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2023-03-28 16:27:01.000000 UTC,Disabled
0,248,smss.exe,0x77680000,0x164000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-28 16:27:01.000000 UTC,Disabled
0,340,csrss.exe,0xd90000,0x6000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x77680000,0x164000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x75140000,0xe000,CSRSRV.dll,C:\\Windows\\system32\\CSRSRV.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x75130000,0xf000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x75100000,0x26000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x77430000,0x14b000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x753f0000,0xd1000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x767e0000,0xf8000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x75520000,0x109000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x750f0000,0xb000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x74fa0000,0x7b000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x76b50000,0xc4000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x750c0000,0x9000,CRYPTBASE.dll,C:\\Windows\\system32\\CRYPTBASE.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,340,csrss.exe,0x74f40000,0x51000,bcryptPrimitives.dll,C:\\Windows\\system32\\bcryptPrimitives.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0xeb0000,0x1f000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x77680000,0x164000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x767e0000,0xf8000,KERNEL32.DLL,C:\\Windows\\system32\\KERNEL32.DLL,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x753f0000,0xd1000,KERNELBASE.dll,C:\\Windows\\system32\\KERNELBASE.dll,-1,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x76a90000,0xbe000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x76b50000,0xc4000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x769a0000,0x3e000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x750b0000,0xe000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x750e0000,0x8000,wininitext.dll,C:\\Windows\\SYSTEM32\\wininitext.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x77430000,0x14b000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x75520000,0x109000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x77060000,0x4d000,WS2_32.dll,C:\\Windows\\system32\\WS2_32.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x76cf0000,0x7000,NSI.dll,C:\\Windows\\system32\\NSI.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x74aa0000,0x45000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,392,wininit.exe,0x74f10000,0x22000,sspicli.dll,C:\\Windows\\system32\\sspicli.dll,6,2023-03-28 16:27:02.000000 UTC,Disabled
0,400,csrss.exe,0xd90000,0x6000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-28 16:27:02.000000 UTC,Disabled
