TreeDepth,Offset,Name
0,0x72b4d8,\\Windows\\System32\\certcli.dll
0,0xce9950,
0,0xce9a08,\\Users\\Mark\\AppData\\Roaming\\Microsoft\\Internet Explorer\\Quick Launch\\
0,0xce9c08,\\Windows\\System32\\SensApi.dll
0,0xce9ef0,誨Ꝣ㬘Ꙧdows\\System32\\en-US\\crypt32.dll.mui
0,0xdb1038,\\Windows\\System32\\LogFiles\\Scm\\85e899e8-4b12-4c54-8422-a28b9f000f66
0,0x13a1448,ꅠ聵ⰸꝢ
0,0x13a1f80,\\Windows\\System32\\en-US\\taskhost.exe.mui
0,0x13a8418,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Shortcuts-journal
0,0x13a85b0,\\Device\\HarddiskVolume2\\Users\\Mark\\NTUSER.DAT{fcc73ed7-0b03-11e3-9710-88353a1cbc0c}.TM
0,0x13a8db0,\\Users\\Mark\\NTUSER.DAT{fcc73ed7-0b03-11e3-9710-88353a1cbc0c}.TM.blf
0,0x13a9350,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat{41512b51-cd5c-11ed-9718-080027bab002}.TxR.0.regtrans-ms
0,0x13a9970,\\Users\\Mark\\NTUSER.DAT{fcc73ed6-0b03-11e3-9710-88353a1cbc0c}.TxR.1.regtrans-ms
0,0x1b498b0,\\Windows\\System32\\LogFiles\\Scm\\0cbce6c0-17b4-49c1-ad30-10a6019b4b96
0,0x1b4bee0,\\Windows\\System32\\LogFiles\\Scm\\0fbf6983-f23c-44ac-9222-c1600a721864
0,0x1b4c938,\\Windows\\System32\\LogFiles\\Scm\\150128c8-d1e2-43b8-acea-dc4d75e971d8
0,0x1b50128,\\Windows\\System32\\LogFiles\\Scm\\17233be9-87e9-40b0-b003-ae9d2b92cbbe
0,0x1b50348,\\Windows\\System32\\LogFiles\\Scm\\171d1d6b-d6a0-47e3-9b77-6f12b8b8c050
0,0x1b50988,\\Windows\\System32\\LogFiles\\Scm\\16d4418b-3dd8-4d3b-8a06-4ba4a8eb17c0
0,0x1eea238,\\Windows\\Fonts\\vgasys.fon
0,0x20152c8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Ca
0,0x20158d8,㞣㟉㠞㠤㡮㡴㢟㢥㩘㩢㪎㪘㪻㬑㭎㮥㯦㱵㲟㳓㳚㳩㴑㴮㴴㵪㵸㶄㶊㶣㶸㷀㷆㷠㷲㸈㸖㼛㾊㾜㾢㿝耀
0,0x21aaa80,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Site Characteristics Database\\MANIFEST-000001
0,0x24ad730,\\$Directory
0,0x26ae3b8,\\Windows\\win.ini
0,0x279a3b0,\\Windows\\Fonts\\timesi.ttf
0,0x279a518,㛅待᧜ꮡrs\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\wasm\\index-dir\\the-real-i
0,0x28b5460,\\Windows\\System32\\LogFiles\\Scm\\a5d45ed3-f524-4574-8f39-527f3729d1e2
0,0x28b69f0,\\Windows\\System32\\dps.dll
0,0x2d78800,\\Windows\\System32\\LogFiles\\Scm\\6e84a59b-1863-4b21-8bd8-c9b20fd15484
0,0x2f1a480,
0,0x2f1a938,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\GCM Store\\Encryption\\LOCK
0,0x2f1adf0,
0,0x2fad118,\\Windows\\System32\\LogFiles\\Scm\\79b7451a-83b1-4bfe-8872-c9d86c92ab8a
0,0x2fad1d0,\\Windows\\System32\\LogFiles\\Scm\\7c7cf1da-f461-4850-96b2-adca8a67e59c
0,0x2fad350,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x31851c8,\\Windows\\System32\\LogFiles\\Scm\\5aa2ca6a-c7b1-4f9e-bb49-5ccc5d0787e4
0,0x3185280,\\Windows\\System32\\MPSSVC.dll
0,0x3185988,\\Windows\\System32\\LogFiles\\Scm\\68978166-a9c5-45fd-a8ee-f9729c280618
0,0x36291b0,\\Windows\\System32\\inetpp.dll
0,0x3629268,\\SwDevice
0,0x3629688,\\Windows\\System32\\en-US\\FunDisc.dll.mui
0,0x3629ce0,\\Windows\\System32\\winhttp.dll
0,0x378b038,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Top Sites-journal
0,0x378b1a8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Local Storage\\leveldb\\LOCK
0,0x378b4e0,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\GrShaderCache\\data_3
0,0x378bd68,\\Program Files\\Google\\Update\\1.3.36.152\\goopdate.dll
0,0x37b4718,\\Windows\\System32\\LogFiles\\Scm\\8b5819ae-7b44-478b-a3d3-8846af160a8f
0,0x37b4b50,\\Windows\\System32\\LogFiles\\Scm\\88927b10-1389-4bfc-9324-198b48e6c1ae
0,0x37b4cd0,\\Windows\\System32\\LogFiles\\Scm\\997c8bbd-710b-4e66-b5bc-cc09575a58d2
0,0x3bd3348,\\Windows\\System32\\LogFiles\\Scm\\00bc77bf-3352-4fe8-9617-4f1b27bec19a
0,0x3bd3e78,\\Windows\\System32\\en-US\\bfe.dll.mui
0,0x3c449e8,\\Windows\\System32\\pdh.dll
0,0x3c44b90,\\Windows\\System32\\en-US\\shell32.dll.mui
0,0x3d7b788,\\spoolss
0,0x3d7bc48,\\spoolss
0,0x43a3f80,\\Windows\\System32\\mskeyprotect.dll
0,0x4431840,\\Windows\\System32\\LogFiles\\Scm\\5700ace8-d0af-4ba7-98b6-1033521a877a
0,0x4431df0,\\Windows\\System32\\en-US\\activeds.dll.mui
0,0x4754028,\\Windows\\System32\\config\\SOFTWARE.LOG2
0,0x47540e0,\\Windows\\System32\\config\\SYSTEM.LOG2
0,0x47549f0,\\Windows\\System32\\config\\SAM.LOG2
0,0x5111038,\\$ConvertToNonresident
0,0x5111ac8,\\$Directory
0,0x54102c8,函妃珜ꝴdows\\System32\\taskschd.dll
0,0x5410a78,ꍸ곅ᑸꡱgram Files\\GooglĒ0ecf352a52b1c1f7_00ECF35
0,0x582f648,\\Windows\\System32\\config\\SECURITY.LOG1
0,0x61601b8,\\Windows\\System32\\LogFiles\\Scm\\06704f42-de4e-4d84-879e-f8d6df5c0dbc
0,0x6160688,\\Windows\\System32\\LogFiles\\Scm\\0a46d863-e1b9-44db-8b4c-220ea4e1b13e
0,0x6160ef0,ꑭ徐蓌芁rs\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\IT
0,0x640c378,\\Windows\\Fonts\\StaticCache.dat
0,0x640cf30,ⲕ妏廤ꡤgram Files\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe
0,0x6b7e1f0,吽徍硼ꡦrs\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_1870119249\\manifest.fingerprint
0,0x6b7e748,\\Winsock2\\CatalogChangeListener-47c-0
0,0x6b7ec88,\\Endpoint
0,0x6fb4300,쀈胺�궸rs\\Mark\\AppData\\LocalLow\\Microsoft\\CryptnetUrlCache\\MetaData\\6BADA8974A10C4BD62CC921D13E43B18_1DC6D7385EA816C957BA2B715AC5C442
0,0x6fb4aa0,\\Windows\\Fonts\\segoeuil.ttf
0,0x6fb4c10,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\IndexedDB\\https_docs.google.com_0.indexeddb.leveldb\\000003.log
0,0x70acac0,\\Windows\\System32\\en-US\\user32.dll.mui
0,0x7c1c110,
0,0x7c1c458,\\ProgramData\\Microsoft\\Windows Defender\\Support\\MPDetection-03282023-123224.log
0,0x7c1c748,\\Windows\\System32\\msprivs.dll
0,0x7c1c9e0,\\Windows\\Fonts\\segoeuib.ttf
0,0x7c1cb78,\\$Directory
0,0x8191f20,\\Windows\\System32\\LogFiles\\Scm\\4952a9b3-c1f9-45b0-88b7-eb5e332fcd98
0,0x8241f80,\\Windows\\Fonts\\LeelawUI.ttf
0,0x83b5460,\\Windows\\System32\\secur32.dll
0,0x83b5d30,\\Windows\\System32\\en-US\\vsstrace.dll.mui
0,0x83ff700,\\Windows\\System32\\version.dll
0,0x83ffa78,\\$ConvertToNonresident
0,0x83ffb20,\\Windows\\System32\\Drivers\\ndis.sys
0,0x8422038,ஸ욁ᣒ်팬֏́
0,0x8422788,꺍壧⭌ꡥgram Files\\AccessData\\FTK Imager\\ADIsoDLL.dll
0,0x849e770,\\CMApi
0,0x86c59a8,\\Windows\\WinStore
0,0x86c5dc8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\DawnCache\\data_2
0,0x8d1c6a8,\\Windows\\System32\\wintrust.dll
0,0x8d1c9a8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extension Rules\\000003.log
0,0x8d1ca60,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extension Rules\\MANIFEST-000001
0,0x8fe29f8,\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT{fabc8f8a-0af1-11e3-93f3-90b11c2ef481}.TxR.0.regtrans-ms
0,0x90eb3a0,鑈聶Ὲ릌妙胹ice\\
0,0x90eb578,HarddiskVolume2\\Program Files\\Windows 
0,0x90eb6e0,\\Program Files\\Google\\Chrome\\Temp\\source2856_1285873234\\Chrome-bin\\109.0.5414.129\\vk_swiftshader_icd.json
0,0x90eb848,ᩮ旺
0,0x90eb9b0,㐥죓ꠠ揖➃蹁
0,0x90ebb18,ø⩐蘻ڴ
0,0x90ebc80,㪕徟䙼ꡢdows\\System32\\Drivers\\en-US\\ndis.sys.mui
0,0x90ebde8,\\$Directory
0,0x90ebf10,\\$Directory
0,0x9201728,
0,0x92018a8,䣟삯叝惝ⶈ驧祑枠�́
0,0x94b4420,\\Windows\\System32\\ncrypt.dll
0,0x94b4878,\\Windows\\System32\\ntasn1.dll
0,0x98ca380,\\Windows\\System32\\ProximityCommonPal.dll
0,0x98ca5a8,\\Dev\\Query
0,0x98f3468,\\Windows\\System32\\ProximityCommon.dll
0,0x98f37b8,\\Dev\\Query
0,0x98f3a28,\\Windows\\Fonts\\consola.ttf
0,0x98f3b68,\\Dev\\Query
0,0x98f3d88,\\Endpoint
0,0x98f3f80,\\Dev\\Query
0,0x9933228,\\Windows\\System32\\crypt32.dll
0,0x9933998,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data-journal
0,0x999c590,\\ProgramData\\Microsoft\\Windows\\Caches\\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000003.db
0,0x9ab88d8,\\Windows\\System32
0,0x9bad2e0,\\Windows\\System32\\werconcpl.dll
0,0x9bad758,䳕央仌궲dows\\System32\\Tasks\\Microsoft\\Windows\\TaskScheduler\\Manual Maintenance
0,0x9badca8,琀ք朔ᐅԹՓ帗ህև㼜ㄅᤅԾ砒ᐅմ謔ህ֭ր朔ᐅԶꨙህ֔伜ᐅէ㘔ᐅԽ鐒ᰅՏ朔ᐅԶ樔ღਛ⌤䬏Ԑࠇణܜ⤖
0,0x9e9b198,
0,0x9e9bb80,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x9ef2168,\\Windows\\WinSxS\\Manifests\\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_5.82.9600.16384_en-us_9261114bd6b271dd.manifest
0,0x9ef2608,\\Windows\\WinSxS\\Manifests\\x86_microsoft.windows.i..utomation.proxystub_6595b64144ccf1df_1.0.9600.16384_none_04f797068e86c445.manifest
0,0xa22ca78,\\$Directory
0,0xa5b9220,\\Windows\\System32\\en-US\\vsstrace.dll.mui
0,0xa6360f8,듸Ꝫ켈鲈rs\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\KI
0,0xa636750,ダ聀歘괆ࠂ؞䵆湦â⩐蘻ܰ
0,0xa6369f0,\\mojo.2348.2104.8549169548667861716
0,0xa7ec428,\\Program Files\\Google\\Chrome\\Temp\\source2856_1285873234\\Chrome-bin\\109.0.5414.129\\WidevineCdm\\manifest.json
0,0xa7ec740,伈곓곙dows\\System32\\Tasks\\Microsoft\\Windows\\DiskDiagnostic\\Microsoft-Windows-DiskDiagnosticDataCollector
0,0xa7ecda8,\\Program Files\\Google\\Chrome\\Temp\\source2856_1285873234\\Chrome-bin\\109.0.5414.129\\MEIPreload\\manifest.json
0,0xac06830,\\$Directory
0,0xad02cc8,\\Windows\\System32\\audiodg.exe
0,0xb04d038,\\Windows\\System32\\Windows.Media.dll
0,0xb04d2a0,\\Windows\\System32\\SystemSettingsDatabase.dll
0,0xb04d9c0,\\Windows\\WinSxS\\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.83
0,0xb04e3a8,\\Windows\\System32\\COLORCNV.DLL
0,0xb04e460,\\Windows\\System32\\d3d8thk.dll
0,0xb04e590,\\Windows\\System32\\en-US\\setupapi.dll.mui
0,0xb04e648,첨聒聜؂਄䵃扎�瑷鴼괌筌臰䑒䉙住呓t؄؍䥆獣
0,0xb04e988,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Session Storage\\000003.log
0,0xb1503b8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\GPUCache\\data_0
0,0xb150470,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\GPUCache\\index
0,0xb150ee0,\\CMApi
0,0xb364680,\\MsFteWds
0,0xb3652e0,Ƞ
0,0xb365488,\\Users\\Mark\\AppData\\Local\\Microsoft\\Windows\\INetCache\\counters.dat
0,0xb452830,\\Windows\\System32\\Windows.Graphics.Printing.dll
0,0xb4536b0,\\Windows\\System32\\WSService.dll
0,0xb4549f8,\\Windows\\System32\\WWAHost.exe
0,0xb454ab0,\\Windows\\WinSxS\\Manifests\\x86_policy.9.0.microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.
0,0xb561e88,\\Windows\\System32\\en-US\\mswsock.dll.mui
0,0xb733c58,\\$MapAttributeValue
0,0xb8222d0,s\\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\\LocalState\\Li
0,0xb822388,\\Windows\\System32\\msxml3r.dll
0,0xbaa8278,\\Program Files\\Windows Defender\\MpCmdRun.exe
0,0xbaa8330,\\Program Files\\Windows Defender\\MsMpLics.dll
0,0xbe8acf8,\\Windows\\Fonts\\l_10646.ttf
0,0xbfa3728,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx
0,0xbfa4438,\\Windows\\System32\\adhapi.dll
0,0xbfa44f0,\\Windows\\System32\\wkssvc.dll
0,0xc0d8038,\\wkssvc
0,0xc0e26e0,\\Windows\\System32\\LogFiles\\Scm\\43e79aae-f7df-4ac2-b7fb-c2ea3fb2780b
0,0xc0e34f8,\\Windows\\System32\\LogFiles\\Scm\\2a8aa34b-5042-45b2-a615-8c9372d2bdc7
0,0xc0e3930,\\Windows\\System32\\LogFiles\\Scm\\28c41f83-c3e5-43eb-aa8b-a00a70f16d51
0,0xc0e3d68,\\Windows\\System32\\LogFiles\\Scm\\270f2f2e-3c53-4aa7-b83c-574b39816ff4
0,0xc1654b0,\\Windows\\System32\\en-US\\ActionCenter.dll.mui
0,0xc165cc8,\\Windows\\WinSxS\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.9600.16384_none_a9f4965301334e09
0,0xc177038,\\Windows\\Fonts\\segoeuisl.ttf
0,0xc18a3c8,\\Windows\\System32\\Windows.Globalization.dll
0,0xc18a548,\\Windows\\System32\\esent.dll
0,0xc1b74c0,罨葭倈괟rs\\M؃ୋ汁䉅籭妘풤관䃁浑琶ᇎ㒀ꨀ怀降
0,0xc1b7648,\\Windows\\System32\\en-US\\imapi2.dll.mui
0,0xc1e2038,\\Windows\\System32\\LogFiles\\Scm\\2be65564-89d1-4396-a5cc-d7d9283fc4a1
0,0xc1e2250,P
0,0xc1e2750,\\Windows\\System32\\LogFiles\\Scm\\392eb017-207c-42bf-a061-f3be721f456c
0,0xc1e3f80,\\Windows\\System32\\wfapigp.dll
0,0xc1fe798,\\Windows\\ToastData\\desktop.ini
0,0xc414bf8,\\$Directory
0,0xc591720,\\Users\\Mark\\AppData\\Local\\Packages\\winstore_cw5n1h2txyewy\\AC\\Temp\\winstore.log
0,0xc591d98,\\Windows\\System32\\dxgi.dll
0,0xca87678,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0xca87918,\\Windows\\System32
0,0xca88038,\\Windows\\System32\\LogFiles\\Scm\\4b7ef56a-8a42-4bd2-bb5c-7c389ac54a37
0,0xca88ca0,ws\\WER\\ReportQueue\\NonCritical_80070490_16b1aa24ae18fe53a83972140c14215a5914844_00000000_cab_053941
0,0xca93038,æ
0,0xca937a0,\\Endpoint
0,0xca94ca8,\\Windows\\Fonts\\arialbd.ttf
0,0xca956e8,\\Windows\\System32\\LogFiles\\Scm\\92ed6570-4654-4bfa-9a6c-1084c6939c16
0,0xca95aa8,\\Windows\\System32\\BFE.DLL
0,0xca95f80,\\Endpoint
0,0xca96388,蹕滝쵔鸵dows\\System32\\LogFiles\\Scm\\cf5a1ddc-d14d-4d59-ad49-a19a645b087b
0,0xca98550,ø⩐蘻ܠ
0,0xca98f80,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-NetworkProfile%4Operational.evtx
0,0xcae9be8,ࠌ؅偍塰� 펰臮펰臮ු
0,0xcae9ca0,\\Windows\\System32\\winevt\\Logs\\Setup.evtx
0,0xcfa5f80,
0,0xcfb34f8,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Extension Scripts\\LOCK
0,0xcfb3628,\\Users\\Mark\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\DawnCache\\index
0,0xcfb39b0,
0,0xcfb3ca8,퓐髵되鲑rs\\Mark\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2348_793936206\\LR
