TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x6b7e7d0,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,1148,spoolsv.exe,N/A
0,0x6b7e7d0,TCPv6,::,49155,::,0,LISTENING,1148,spoolsv.exe,N/A
0,0x6b7edc8,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,1148,spoolsv.exe,N/A
0,0x98f3e10,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,768,svchost.exe,N/A
0,0xbda9bf0,UDPv4,10.0.2.44,512,*,0,,2348,chrome.exe,2023-03-28 16:38:41.000000 UTC
0,0xddf4600,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,768,svchost.exe,N/A
0,0xddf4600,TCPv6,::,49154,::,0,LISTENING,768,svchost.exe,N/A
0,0x175483a0,TCPv4,10.0.2.44,49396,142.250.178.14,443,ESTABLISHED,1624,chrome.exe,-
0,0x17840730,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0x197da008,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,484,services.exe,N/A
0,0x197da008,TCPv6,::,49156,::,0,LISTENING,484,services.exe,N/A
0,0x1a33e160,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0x1a33ec40,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0x1a33ec40,TCPv6,::,49162,::,0,LISTENING,492,lsass.exe,N/A
0,0x1a73e900,TCPv4,10.0.2.44,49402,185.199.109.154,443,CLOSED,1624,chrome.exe,-
0,0x1b8614d0,UDPv4,0.0.0.0,0,*,0,,1624,chrome.exe,2023-03-28 16:38:44.000000 UTC
0,0x1b8614d0,UDPv6,::,0,*,0,,1624,chrome.exe,2023-03-28 16:38:44.000000 UTC
0,0x1f9548a0,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0x21d11508,TCPv4,0.0.0.0,2869,0.0.0.0,0,LISTENING,4,System,N/A
0,0x21d11508,TCPv6,::,2869,::,0,LISTENING,4,System,N/A
0,0x29d6cf50,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0,0x29d6cf50,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0,0x2f6aef00,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0x2f6aef00,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0x2fa96898,TCPv4,10.0.2.44,49288,172.217.16.227,443,CLOSED,-,-,-
0,0x330ebf28,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0x330ebf28,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0x37791d48,TCPv4,10.0.2.44,49247,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0x3832e898,TCPv4,10.0.2.44,49258,204.79.197.237,80,CLOSED,3836,WWAHost.exe,-
0,0x3a266258,TCPv4,10.0.2.44,49385,172.217.16.238,443,CLOSED,1624,chrome.exe,-
0,0x3ac9cb60,TCPv4,10.0.2.44,49380,142.250.179.227,443,CLOSED,1624,chrome.exe,-
0,0x3b318c10,TCPv4,10.0.2.44,49249,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0x3b642748,TCPv4,10.0.2.44,49374,142.250.200.42,443,ESTABLISHED,1624,chrome.exe,-
0,0x47586008,TCPv4,10.0.2.44,49392,142.250.187.228,443,ESTABLISHED,1624,chrome.exe,-
0,0x47e431c0,TCPv4,10.0.2.44,49248,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0x49f40500,TCPv4,10.0.2.44,49341,142.250.187.238,443,ESTABLISHED,1624,chrome.exe,-
0,0x4a689978,TCPv4,10.0.2.44,49411,20.83.81.165,443,CLOSED,768,svchost.exe,-
0,0x4ace8df8,TCPv4,10.0.2.44,49415,52.167.254.228,80,CLOSED,768,svchost.exe,-
0,0x4ae326c8,UDPv4,0.0.0.0,5888,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0x4ae326c8,UDPv6,::,5888,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0x4deecdf8,TCPv4,10.0.2.44,49404,185.199.109.154,443,CLOSED,1624,chrome.exe,-
0,0x54774a40,TCPv4,10.0.2.44,49395,142.250.187.227,443,ESTABLISHED,1624,chrome.exe,-
0,0x55f67008,TCPv4,10.0.2.44,49417,172.217.19.35,443,ESTABLISHED,1624,chrome.exe,-
0,0x592eb138,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0x5be60728,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,716,svchost.exe,N/A
0,0x5be60df8,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,716,svchost.exe,N/A
0,0x5be60df8,TCPv6,::,49153,::,0,LISTENING,716,svchost.exe,N/A
0,0x5f589be8,TCPv4,10.0.2.44,49408,140.82.121.6,443,ESTABLISHED,1624,chrome.exe,-
0,0x642d7b70,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,484,services.exe,N/A
0,0x6b9f1008,UDPv4,0.0.0.0,512,*,0,,1624,chrome.exe,2023-03-28 16:36:28.000000 UTC
0,0x72563220,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0x7c2e4be0,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0x7dad9500,UDPv4,0.0.0.0,512,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0x7f2ea3b8,TCPv4,10.0.2.44,49362,142.250.200.35,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f3379d8,TCPv4,10.0.2.44,49405,185.199.109.154,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f339008,TCPv4,10.0.2.44,49397,140.82.121.3,443,CLOSED,1624,chrome.exe,-
0,0x7f362418,TCPv4,10.0.2.44,49304,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0x7f3f68f8,TCPv4,10.0.2.44,49383,142.250.187.234,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f3f9ab8,UDPv4,0.0.0.0,512,*,0,,1624,chrome.exe,2023-03-28 16:36:52.000000 UTC
0,0x7f424958,TCPv4,10.0.2.44,49409,140.82.114.22,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f436708,TCPv4,10.0.2.44,49406,185.199.109.133,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f47a678,TCPv4,10.0.2.44,49351,34.104.35.123,80,ESTABLISHED,768,svchost.exe,-
0,0x7f48fdf8,TCPv4,10.0.2.44,49367,172.217.169.35,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f497488,TCPv4,10.0.2.44,49350,172.217.16.227,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f49d4f8,TCPv4,10.0.2.44,49416,142.250.180.14,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f4d6578,TCPv4,10.0.2.44,49418,13.107.42.12,443,ESTABLISHED,3448,SettingSyncHos,-
0,0x7f4d69d8,TCPv4,10.0.2.44,49399,142.250.187.206,443,ESTABLISHED,1624,chrome.exe,-
0,0x7f4d82b0,TCPv4,10.0.2.44,49342,172.217.169.14,443,ESTABLISHED,1624,chrome.exe,-
0,0x802f1be8,TCPv4,10.0.2.44,49371,142.250.200.42,443,ESTABLISHED,1624,chrome.exe,-
0,0x93ca36f0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,608,svchost.exe,N/A
0,0x95361df8,TCPv4,10.0.2.44,49407,185.199.109.154,443,ESTABLISHED,1624,chrome.exe,-
0,0xa42836e0,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xa55a8248,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,608,svchost.exe,N/A
0,0xa55a8248,TCPv6,::,135,::,0,LISTENING,608,svchost.exe,N/A
0,0xae41bc68,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xae41bc68,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xb2faa788,TCPv4,10.0.2.44,49345,20.90.156.32,443,ESTABLISHED,2132,explorer.exe,-
0,0xb2faa998,TCPv4,10.0.2.44,49322,142.250.200.46,443,ESTABLISHED,1624,chrome.exe,-
0,0xb57dbdf8,TCPv4,10.0.2.44,49393,142.251.5.102,443,ESTABLISHED,1624,chrome.exe,-
0,0xb64bce18,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,392,wininit.exe,N/A
0,0xb6583208,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xb6583208,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xb6583488,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xb6583708,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xb6583708,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xb7d26308,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0xb7f20960,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xb7f20960,TCPv6,::,554,::,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xb8708788,UDPv4,0.0.0.0,0,*,0,,768,svchost.exe,2023-03-28 16:38:28.000000 UTC
0,0xb8708788,UDPv6,::,0,*,0,,768,svchost.exe,2023-03-28 16:38:28.000000 UTC
0,0xb8e2c3b8,TCPv4,10.0.2.44,49386,172.217.169.3,443,ESTABLISHED,1624,chrome.exe,-
0,0xbb4ee868,UDPv4,0.0.0.0,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xbb4ee868,UDPv6,::,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xbceb1c48,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,392,wininit.exe,N/A
0,0xbceb1c48,TCPv6,::,49152,::,0,LISTENING,392,wininit.exe,N/A
0,0xbe0afcc8,UDPv4,0.0.0.0,512,*,0,,1624,chrome.exe,2023-03-28 16:37:14.000000 UTC
0,0xbe715a00,TCPv4,10.0.2.44,49165,20.90.152.133,443,ESTABLISHED,2132,explorer.exe,-
0,0xbe785f50,TCPv4,0.0.0.0,10243,0.0.0.0,0,LISTENING,4,System,N/A
0,0xbe785f50,TCPv6,::,10243,::,0,LISTENING,4,System,N/A
0,0xc3c11080,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc3c19a70,TCPv4,10.0.2.44,49394,209.197.3.8,80,CLOSED,768,svchost.exe,-
0,0xc3f73df8,TCPv4,10.0.2.44,49255,96.17.178.184,80,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xc41cb5d8,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc41cb5d8,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc4883650,UDPv4,127.0.0.1,512,*,0,,1008,svchost.exe,2023-03-28 16:27:03.000000 UTC
0,0xc495e6c8,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,716,svchost.exe,2023-03-28 16:34:10.000000 UTC
0,0xc49c9df8,TCPv4,10.0.2.44,49376,108.177.15.188,443,ESTABLISHED,1624,chrome.exe,-
0,0xc555d5e8,UDPv4,0.0.0.0,0,*,0,,1828,svchost.exe,N/A
0,0xc555d5e8,UDPv6,::,0,*,0,,1828,svchost.exe,N/A
0,0xc555e878,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0,0xc555e878,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0,0xc6b0f4a0,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc7f343c8,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc7f34d70,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc7f34d70,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc8a560e0,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc8a560e0,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xc8ace890,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xc8ace890,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xca1abc08,UDPv6,::1,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xca1abef8,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xca1d1f48,UDPv4,0.0.0.0,5888,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xca1d1f48,UDPv6,::,5888,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xcb0e2008,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xcb0e2008,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xcb1e9b80,UDPv4,127.0.0.1,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xcc1aed60,UDPv4,10.0.2.44,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd06ac688,UDPv6,fe80::b489:8143:646:58dd,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd06d7ad0,UDPv4,0.0.0.0,0,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd06d7ad0,UDPv6,::,0,*,0,,1932,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd06e1a60,UDPv4,0.0.0.0,0,*,0,,1008,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xd06e1a60,UDPv6,::,0,*,0,,1008,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xd0f5c6f0,UDPv6,::1,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd0f61420,UDPv4,127.0.0.1,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd0f61b08,UDPv4,10.0.2.44,512,*,0,,1828,svchost.exe,2023-03-28 16:27:07.000000 UTC
0,0xd1059ae0,UDPv4,0.0.0.0,512,*,0,,1008,svchost.exe,2023-03-28 16:37:03.000000 UTC
0,0xd23d8668,TCPv4,10.0.2.44,49347,142.250.200.1,443,ESTABLISHED,1624,chrome.exe,-
0,0xd242f2e8,TCPv4,10.0.2.44,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0xd3b4d3d8,TCPv4,0.0.0.0,3587,0.0.0.0,0,LISTENING,1932,svchost.exe,N/A
0,0xd3b4d3d8,TCPv6,::,3587,::,0,LISTENING,1932,svchost.exe,N/A
0,0xd46bf540,TCPv4,10.0.2.44,49246,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xd46bfdf8,TCPv4,10.0.2.44,49245,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xd9cdc5b8,UDPv4,0.0.0.0,512,*,0,,1008,svchost.exe,2023-03-28 16:47:03.000000 UTC
0,0xdb8abb60,TCPv4,10.0.2.44,49421,216.58.212.227,443,CLOSED,1624,chrome.exe,-
0,0xdbe63788,TCPv4,10.0.2.44,49345,20.90.156.32,443,ESTABLISHED,2132,explorer.exe,-
0,0xdbe63998,TCPv4,10.0.2.44,49322,142.250.200.46,443,ESTABLISHED,1624,chrome.exe,-
0,0xdbe8dd48,TCPv4,10.0.2.44,49247,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdbeaf540,TCPv4,10.0.2.44,49246,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xdbeafdf8,TCPv4,10.0.2.44,49245,52.164.248.207,443,CLOSED,3836,WWAHost.exe,-
0,0xdc10e220,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc124868,UDPv4,0.0.0.0,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc124868,UDPv6,::,0,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc15a1c0,TCPv4,10.0.2.44,49248,104.103.192.73,443,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdc20b308,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0xdc20e960,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc20e960,TCPv6,::,554,::,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc2cf008,TCPv4,127.0.0.1,49446,127.42.0.1,80,CLOSED,2004,mssql2.exe,-
0,0xdc2daa00,TCPv4,10.0.2.44,49165,20.90.152.133,443,ESTABLISHED,2132,explorer.exe,-
0,0xdc329f50,TCPv4,0.0.0.0,10243,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc329f50,TCPv6,::,10243,::,0,LISTENING,4,System,N/A
0,0xdc32b208,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b208,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b488,UDPv4,0.0.0.0,512,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b708,UDPv4,0.0.0.0,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc32b708,UDPv6,::,5888,*,0,,1816,wmpnetwk.exe,2023-03-28 16:29:04.000000 UTC
0,0xdc360df8,TCPv4,10.0.2.44,49407,185.199.109.154,443,CLOSED,1624,chrome.exe,-
0,0xdc3a4df8,TCPv4,10.0.2.44,49376,108.177.15.188,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc3b1500,UDPv4,0.0.0.0,512,*,0,,2348,chrome.exe,2023-03-28 16:30:44.000000 UTC
0,0xdc3e4df8,TCPv4,10.0.2.44,49255,96.17.178.184,80,CLOSE_WAIT,3836,WWAHost.exe,-
0,0xdc3e6008,TCPv4,10.0.2.44,49433,185.199.111.133,443,ESTABLISHED,1624,chrome.exe,-
0,0xdc3f96e0,TCPv4,0.0.0.0,554,0.0.0.0,0,LISTENING,1816,wmpnetwk.exe,N/A
0,0xdc400160,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0xdc400c40,TCPv4,0.0.0.0,49162,0.0.0.0,0,LISTENING,492,lsass.exe,N/A
0,0xdc400c40,TCPv6,::,49162,::,0,LISTENING,492,lsass.exe,N/A
0,0xdc40a3d8,TCPv4,0.0.0.0,3587,0.0.0.0,0,LISTENING,1932,svchost.exe,N/A
0,0xdc40a3d8,TCPv6,::,3587,::,0,LISTENING,1932,svchost.exe,N/A
0,0xdc40f2e8,TCPv4,10.0.2.44,139,0.0.0.0,0,LISTENING,4,System,N/A
0,0xdc41c138,UDPv4,10.0.2.44,512,*,0,,4,System,2023-03-28 16:27:03.000000 UTC
0,0xdc442650,UDPv4,127.0.0.1,512,*,0,,1008,svchost.exe,2023-03-28 16:27:03.000000 UTC
0,0xdc44ec68,UDPv4,0.0.0.0,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc44ec68,UDPv6,::,5888,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc48d5d8,UDPv4,0.0.0.0,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc48d5d8,UDPv6,::,5888,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc49abe0,UDPv4,0.0.0.0,512,*,0,,808,svchost.exe,2023-03-28 16:27:06.000000 UTC
0,0xdc49f080,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4a14a0,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
0,0xdc4bb3c8,UDPv4,0.0.0.0,512,*,0,,1828,svchost.exe,2023-03-28 16:27:04.000000 UTC
