TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x846c2a40,87,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,-,-,-
1,248,4,smss.exe,0x85bb0040,2,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,340,320,csrss.exe,0x85bd12c0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,392,320,wininit.exe,0x847b1240,1,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,484,392,services.exe,0x847e98c0,5,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,608,484,svchost.exe,0x86397cc0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS,C:\\Windows\\system32\\svchost.exe
2,768,484,svchost.exe,0x863da840,48,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs,C:\\Windows\\system32\\svchost.exe
3,2168,768,taskhostex.exe,0x86852040,9,-,1,False,2023-03-28 16:27:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhostex.exe,taskhostex.exe ,C:\\Windows\\system32\\taskhostex.exe
3,1416,768,taskhost.exe,0x867fbcc0,4,-,1,False,2023-03-28 16:42:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,taskhost.exe ,C:\\Windows\\system32\\taskhost.exe
3,3760,768,taskhost.exe,0x852dacc0,10,-,0,False,2023-03-28 16:31:03.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,taskhost.exe $(Arg0),C:\\Windows\\system32\\taskhost.exe
2,1828,484,svchost.exe,0x86688300,12,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation,C:\\Windows\\system32\\svchost.exe
