TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xe10927260e30,0xf80323cc0000,0x1b000,rspndr,rspndr,\\Driver\\rspndr
0,0xe109272c5cf0,0xf803202d0000,0x26000,acpiex,acpiex,\\Driver\\acpiex
0,0xe109272d1cf0,0xf8031e400000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xe109272d2cf0,0xf8031e400000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xe109272d6cf0,0xf803200e0000,0xbb000,CNG,CNG,\\Driver\\CNG
0,0xe109272e1cf0,0xf803201a0000,0xd1000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xe109272e3cf0,0xf80320300000,0x1a000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xe1092730dcf0,0xf80320490000,0x17000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xe1092730fcf0,0xf80320420000,0x6b000,intelpep,intelpep,\\Driver\\intelpep
0,0xe10927311cf0,0xf803205a0000,0x2f000,pdc,pdc,\\Driver\\pdc
0,0xe10927316cf0,0xf803204c0000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xe10927317cf0,0xf80320320000,0xcc000,ACPI,ACPI,\\Driver\\ACPI
0,0xe10927319cf0,0xf803204b0000,0xb000,Telemetry,Telemetry,\\Driver\\Telemetry
0,0xe1092731fcf0,0xf80320500000,0x77000,pci,pci,\\Driver\\pci
0,0xe1092731fd40,0xf80320565b10,0x20560bc0,-,-,荈⣬譈쟊あ쀀툳毨룿쀀荈⣄쳃쳌쳌쳌쳌쳌쳌쳌쳌譈䣄墉䠈梉䠐炉䠘碉䄠䅔䅖䡗㌠䓿荈ￍ譌䣹ඍ邀﬷࿿�蕅痤䤈㞋蕈痶䥍瞋䠐籵赈嬍邐꿶￸֋輸삅蔏项띀䐁∏䃃잊譈⑜䡀沋䠤譈⑴䡐粋堤荈⃄彁幁屁쳃赌䡶證Ȃ￳삅萏靶㥈ま䵵䚋꠸甂䡆䚋䡰省䤼캋诨ｻ￿赈䡎취藿࿀䆄᎗䠀ඍ迎槨䗿쀳펊譈Ġ
0,0xe1092732bcf0,0xf803204d0000,0x14000,pcw,pcw,\\Driver\\pcw
0,0xe1092732ecf0,0xf803204f0000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xe1092733cb90,0xf803208e0000,0x40000,Wof,Wof,\\FileSystem\\Wof
0,0xe109273e8d70,0xf8031e400000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xe109273ead70,0xf8031e400000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xe109273ebd70,0xf8031e400000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xe10927404870,0xf80320600000,0x31000,partmgr,partmgr,\\Driver\\partmgr
0,0xe1092776ed30,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0xe10927771ce0,0xf80320780000,0x1e000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xe10927904530,0xf80321e40000,0x11000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0xe10927904740,0xf80321e60000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0xe10927908b80,0xf80321a50000,0x3aa000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0xe10927908d90,0xf80321e20000,0x16000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0xe10927909d50,0xf80323200000,0xa1000,Vid,Vid,\\Driver\\Vid
0,0xe1092790ad80,0xf803233b0000,0x14000,NdisCap,NdisCap,\\Driver\\NdisCap
0,0xe1092790ce20,0xf80323380000,0xe000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0xe1092790fdb0,0xf80321ea0000,0x1e000,CimFS,CimFS,\\FileSystem\\CimFS
0,0xe10927910e20,0xf80323360000,0x12000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0xe10927911770,0xf80321ec0000,0x22000,tdx,tdx,\\Driver\\tdx
0,0xe10927911df0,0xf80321e80000,0x11000,Msfs,Msfs,\\FileSystem\\Msfs
0,0xe1092792a7e0,0xf803233d0000,0x14000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0xe1092792be10,0xf80321f90000,0xa5000,AFD,AFD,\\Driver\\AFD
0,0xe1092792de10,0xf80322040000,0x1a000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0xe1092792ee10,0xf80322060000,0x2b000,Psched,Psched,\\Driver\\Psched
0,0xe10927966570,0xf80320e80000,0x32000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0xe10927967de0,0xf80320990000,0x2d7000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0xe10927975e30,0xf80320710000,0x63000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0xe10927978570,0xf80320ec0000,0x2ec000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0xe10927979c20,0xf803208a0000,0x1c000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xe1092797c4e0,0xf80320c70000,0x16f000,NDIS,NDIS,\\Driver\\NDIS
0,0xe1092797ce30,0xf803208c0000,0x1a000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xe10927992cf0,0xf80320640000,0xac000,spaceport,spaceport,\\Driver\\spaceport
0,0xe10927995d20,0xf803207a0000,0x32000,storahci,storahci,\\Driver\\storahci
0,0xe109279968f0,0xf8031a800000,0x6d000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0xe1092799ccf0,0xf80320580000,0x15000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xe109279c5e30,0xf803206f0000,0x19000,volmgr,volmgr,\\Driver\\volmgr
0,0xe109279d7bd0,0xf8031a760000,0x6b000,CLFS,CLFS,\\Driver\\CLFS
0,0xe10927c18c90,0xf8031ff20000,0x29000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0xe10927c1ce30,0xf80321230000,0x30000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0xe10927c20560,0xf803205f0000,0xd000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0xe10927c9bb90,0xf80337d20000,0x46000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0xe10927ce5d50,0xf80321340000,0xb000,volume,volume,\\Driver\\volume
0,0xe10927ce68f0,0xf80321350000,0x6d000,volsnap,volsnap,\\Driver\\volsnap
0,0xe10927ce6b00,0xf803213c0000,0x50000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0xe10927ce88f0,0xf80321450000,0x12000,iorate,iorate,\\Driver\\iorate
0,0xe10927ce8d10,0xf80321490000,0x1f000,disk,disk,\\Driver\\disk
0,0xe10927d0be20,0xf80321270000,0xc8000,fvevol,fvevol,\\Driver\\fvevol
0,0xe10927d25de0,0xf803221b0000,0x30000,cdrom,cdrom,\\Driver\\cdrom
0,0xe10927d29c80,0xf80321420000,0x26000,Mup,Mup,\\FileSystem\\Mup
0,0xe10927eefdd0,0xf80321a40000,0xa000,Beep,Beep,\\Driver\\Beep
0,0xe10927ef0060,0xf80321a30000,0xa000,Null,Null,\\Driver\\Null
0,0xe10927f0f060,0xf80321f10000,0x5c000,NetBT,NetBT,\\Driver\\NetBT
0,0xe10927f0f270,0xf80321f70000,0x14000,afunix,afunix,\\Driver\\afunix
