TreeDepth,Offset,Name
0,0xbe000017ed20,굸⽀￿굸⽀￿
0,0xe10927291c20,\\Windows\\System32\\drivers\\mslldp.sys
0,0xe10927436380,\\$Extend\\$RmMetadata\\$Repair
0,0xe10927436d90,\\$LogFile
0,0xe10927437910,\\:$I30:$INDEX_ALLOCATION
0,0xe10927437d60,\\$MftMirr
0,0xe10927437ed0,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xe109276fb3e0,\\Windows\\SoftwareDistribution\\DataStore\\DataStore.jfm
0,0xe109279150a0,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xe10927915380,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_ed345fdc37d65139\\BasicRender.sys
0,0xe10927915660,\\Windows\\System32\\drivers\\cimfs.sys
0,0xe109279157d0,\\Windows\\System32\\drivers\\tdx.sys
0,0xe10927916070,\\Windows\\System32\\drivers\\watchdog.sys
0,0xe109279161e0,\\$Directory
0,0xe109279164c0,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_fc93ae411c02f280\\BasicDisplay.sys
0,0xe10927916630,\\Windows\\System32\\drivers\\npfs.sys
0,0xe109279167a0,\\Windows\\System32\\drivers\\msfs.sys
0,0xe109279220a0,\\Windows\\System32\\drivers\\netbt.sys
0,0xe109279224f0,\\Windows\\System32\\drivers\\pacer.sys
0,0xe10927922c20,\\Windows\\System32\\drivers\\afd.sys
0,0xe109279234c0,\\Windows\\System32\\drivers\\afunix.sys
0,0xe10927923a80,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xe10927923d60,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xe10927923ed0,\\Windows\\System32\\drivers\\tdi.sys
0,0xe109279f3380,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xe109279f34f0,\\$Directory
0,0xe109279f3940,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
