TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xe10927295080,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xe1092734a140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xe109272addc0,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x80867e62f680,0x10,Directory,0xf000f,-
0,4,System,0x80867e672c10,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xe109272ac500,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0x80867e6883f0,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xe109272867a0,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xe10927286920,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xe109272863a0,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xe10927286220,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xe109272868a0,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xe109272862a0,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xe109272860a0,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xe10927286120,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xe10927286820,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xe10927286520,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xe10927286420,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0x80867eaf4600,0x4c,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
0,4,System,0xe109273bb040,0x50,Thread,0x1fffff,Tid 84 Pid 4
0,4,System,0xe109273bf040,0x54,Process,0x1fffff,Registry Pid 100
0,4,System,0x80867e6ed0a0,0x58,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x80867ed74550,0x5c,Key,0x20000,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E97D-E325-11CE-BFC1-08002BE10318}\\0011\\SETTINGS
0,4,System,0x80867e6c4a20,0x60,Key,0x0,-
0,4,System,0x80867e6edb40,0x64,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x80867e6eda30,0x68,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x80867e6ed1b0,0x6c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0x80867e753cd0,0x70,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0x80867e6ed700,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x80867eaf41c0,0x78,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NETWORKPROVIDER\\PROVIDERORDER
0,4,System,0xe109272e0d40,0x7c,ALPC Port,0x1f0001,PowerPort
0,4,System,0x80867e6edd60,0x80,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xe10927335d40,0x84,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xe10927fa80c0,0x88,Process,0x102a,svchost.exe Pid 9620
0,4,System,0x80867e6eca40,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0x80867e6ede70,0x90,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0x80867e754450,0x94,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x80867e753af0,0x98,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0x80867e7530a0,0x9c,Key,0xf003f,USER
0,4,System,0xe10927290510,0xa0,Event,0x1f0003,-
0,4,System,0x80867e6ed920,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x80867e72f810,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x80867e754720,0xac,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x80867e72eb50,0xb0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0x80867e72ec60,0xb4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x80867e72e820,0xb8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0x80867e72f0a0,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x80867e72e710,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0x80867e7c33d0,0xc4,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x80867e753be0,0xc8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0xe10927333d00,0xcc,ALPC Port,0x1f0001,PdcPort
0,4,System,0x80867e7c3850,0xd0,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0x80867eaf54e0,0xd4,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0DA965DC-8FCF-4C0B-8EFE-8DD5E7BC959A}\\{7E01ADEF-81E6-4E1B-8075-56F373584694}
0,4,System,0x80867e72e4f0,0xd8,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x80867eb33540,0xdc,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x80867ee6ac60,0xe0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x80867e72f2c0,0xe4,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0x80867e753eb0,0xe8,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\STORPORT
0,4,System,0x80867e76a080,0xec,Token,0xe,-
0,4,System,0x80867ee6aa40,0xf0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x80867eaf5920,0xf4,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
0,4,System,0x80867eaf43e0,0xf8,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{D4140C81-EBBA-4E60-8561-6918290359CD}\\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
0,4,System,0x80867eaf55f0,0xfc,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
0,4,System,0x80867e7c2da0,0x104,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xe1092a1297b0,0x108,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x80867eb388c0,0x10c,Section,0x6,-
0,4,System,0xe1092a10e040,0x110,Process,0x1fffff,smss.exe Pid 332
0,4,System,0x80867e70b2c0,0x114,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\BAM\\STATE\\USERSETTINGS
0,4,System,0x80867e754ea0,0x118,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0xe1092a111b30,0x11c,TmTm,0xf003f,-
0,4,System,0x80867ee4d0d0,0x120,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{53172480-4791-11d0-a5d6-28db04c10000}
0,4,System,0x80867eaed5f0,0x124,Key,0x20000,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E97D-E325-11CE-BFC1-08002BE10318}\\0011\\SETTINGS
0,4,System,0x80867e70ad70,0x128,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0xe1092a129640,0x12c,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0xe1092a129920,0x130,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0xe1092a1314d0,0x134,TmRm,0x1f007f,-
0,4,System,0x80867ee4cce0,0x138,SymbolicLink,0xf0001,ROOT#SYSTEM#0000#{0a4252a0-7e70-11d0-a5d6-28db04c10000}
0,4,System,0x80867e70b5f0,0x13c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\DFSC\\PARAMETERS
0,4,System,0xe1092a1280b0,0x140,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe1092a12aa60,0x144,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe1092a131780,0x148,TmRm,0x12007f,-
0,4,System,0x80867ed74dc0,0x14c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0xe1092a128500,0x150,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x80867e6e9ea0,0x154,Directory,0xf000f,cimfs
0,4,System,0xe1092a129d70,0x158,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0xe1092a128390,0x15c,File,0x1,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,4,System,0xe1092a12a330,0x160,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0xe1092a137040,0x164,Thread,0x1fffff,Tid 320 Pid 4
0,4,System,0xe1092a10e040,0x168,Process,0x102a,smss.exe Pid 332
0,4,System,0x80867ee6b810,0x16c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0xe1092acd9ae0,0x170,Event,0x1f0003,-
0,4,System,0x80867ee6ad70,0x174,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0x80867ee6bb40,0x178,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0xe109279d2480,0x17c,Thread,0x1fffff,Tid 248 Pid 4
0,4,System,0x80867eb24220,0x180,SymbolicLink,0xf0001,STORAGE#Volume#{1838775b-cd68-11ed-9470-806e6f6e6963}#0000000000100000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x80867e7c32b0,0x184,SymbolicLink,0xf0001,ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x80867e754270,0x188,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\IORATE
0,4,System,0x80867e7c3df0,0x18c,SymbolicLink,0xf0001,ROOT#spaceport#0000#{ef66a56f-88d1-4cd8-98c4-49faf57ad8af}
0,4,System,0x80867e754810,0x190,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT
0,4,System,0xe10927dbe040,0x194,Thread,0x1fffff,Tid 284 Pid 4
0,4,System,0x80867ee4d940,0x198,SymbolicLink,0xf0001,HDAUDIO#FUNC_01&VEN_8384&DEV_7680&SUBSYS_83847680&REV_1034#4&31e60982&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}
