TreeDepth,Variable,Value
0,Kernel Base,0xf8031e400000
0,DTB,0x1aa000
0,Symbols,file:///usr/local/lib/python3.14/site-packages/volatility3/symbols/windows/ntkrnlmp.pdb/68A17FAF3012B7846079AEECDBE0A583-1.json.xz
0,Is64Bit,True
0,IsPAE,False
0,layer_name,0 WindowsIntel32e
0,memory_layer,1 FileLayer
0,KdVersionBlock,0xf8031f00f398
0,Major/Minor,15.19041
0,MachineType,34404
0,KeNumberProcessors,3
0,SystemTime,2023-03-29 15:13:20+00:00
0,NtSystemRoot,C:\\Windows
0,NtProductType,NtProductWinNt
0,NtMajorVersion,10
0,NtMinorVersion,0
0,PE MajorOperatingSystemVersion,10
0,PE MinorOperatingSystemVersion,0
0,PE Machine,34404
0,PE TimeDateStamp,Wed Jun 28 04:14:26 1995

