TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xe10927295080,134,-,N/A,False,2023-03-29 14:32:50.000000 UTC,N/A,-,-,-
1,1680,4,MemCompression,0xe1092d247040,46,-,N/A,False,2023-03-29 14:32:54.000000 UTC,N/A,MemCompression,-,-
1,100,4,Registry,0xe109273bf040,4,-,N/A,False,2023-03-29 14:32:44.000000 UTC,N/A,Registry,-,-
1,332,4,smss.exe,0xe1092a10e040,2,-,N/A,False,2023-03-29 14:32:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,432,420,csrss.exe,0xe1092792c080,11,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,508,420,wininit.exe,0xe1092c1c1080,1,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,676,508,lsass.exe,0xe1092ce460c0,9,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,652,508,services.exe,0xe1092ce2b080,7,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,2568,652,svchost.exe,0xe1092d5b2240,11,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Winmgmt,C:\\Windows\\system32\\svchost.exe
2,1036,652,svchost.exe,0xe1092d051280,2,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,C:\\Windows\\System32\\svchost.exe
