TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xbe00001185b0,UDPv4,0.0.0.0,123,*,0,,6568,svchost.exe,2023-03-29 14:43:48.000000 UTC
0,0xe10927287050,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2300,spoolsv.exe,2023-03-29 14:32:54.000000 UTC
0,0xe10927287050,TCPv6,::,49668,::,0,LISTENING,2300,spoolsv.exe,2023-03-29 14:32:54.000000 UTC
0,0xe109272871b0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,652,services.exe,2023-03-29 14:32:55.000000 UTC
0,0xe10927287310,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2300,spoolsv.exe,2023-03-29 14:32:54.000000 UTC
0,0xe10927287470,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,652,services.exe,2023-03-29 14:32:55.000000 UTC
0,0xe10927287470,TCPv6,::,49669,::,0,LISTENING,652,services.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092730f4d0,TCPv4,10.0.2.46,50703,142.250.200.35,443,ESTABLISHED,6892,msedge.exe,2023-03-29 16:06:16.000000 UTC
0,0xe10927d98050,TCPv4,10.0.2.46,50076,2.17.209.154,443,CLOSE_WAIT,6600,WWAHost.exe,2023-03-29 14:35:23.000000 UTC
0,0xe1092a80ea20,TCPv4,10.0.2.46,50995,142.250.187.196,443,ESTABLISHED,6892,msedge.exe,2023-03-29 16:44:30.000000 UTC
0,0xe1092a8a7010,TCPv4,10.0.2.46,50722,2.17.209.149,443,CLOSE_WAIT,8896,SearchApp.exe,2023-03-29 16:22:35.000000 UTC
0,0xe1092aa4b4f0,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,5052,svchost.exe,2023-03-29 14:33:11.000000 UTC
0,0xe1092aa4b910,TCPv4,10.0.2.46,139,0.0.0.0,0,LISTENING,4,System,2023-03-29 14:32:55.000000 UTC
0,0xe1092aa4be90,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,3424,svchost.exe,2023-03-29 14:33:08.000000 UTC
0,0xe1092aa4be90,TCPv6,::,7680,::,0,LISTENING,3424,svchost.exe,2023-03-29 14:33:08.000000 UTC
0,0xe1092abb5010,TCPv4,10.0.2.46,50034,184.25.204.49,443,CLOSE_WAIT,6600,WWAHost.exe,2023-03-29 14:35:02.000000 UTC
0,0xe1092ac27b20,TCPv4,10.0.2.46,50040,184.25.204.49,443,CLOSE_WAIT,6600,WWAHost.exe,2023-03-29 14:35:03.000000 UTC
0,0xe1092afe9310,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,900,svchost.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afe9470,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,900,svchost.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afe9470,TCPv6,::,135,::,0,LISTENING,900,svchost.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afe9890,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1100,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afe9e10,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,508,wininit.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afe9e10,TCPv6,::,49665,::,0,LISTENING,508,wininit.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afea0d0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1248,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afea230,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1100,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afea230,TCPv6,::,49667,::,0,LISTENING,1100,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afea4f0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1248,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afea4f0,TCPv6,::,49666,::,0,LISTENING,1248,svchost.exe,2023-03-29 14:32:54.000000 UTC
0,0xe1092afea650,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,508,wininit.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afea910,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,676,lsass.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afea910,TCPv6,::,49664,::,0,LISTENING,676,lsass.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afeabd0,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,676,lsass.exe,2023-03-29 14:32:53.000000 UTC
0,0xe1092afead30,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-29 14:32:55.000000 UTC
0,0xe1092afead30,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-29 14:32:55.000000 UTC
0,0xe1092d013050,TCPv4,10.0.2.46,50961,13.107.42.12,443,CLOSED,4408,OneDrive.exe,2023-03-29 16:42:09.000000 UTC
0,0xe1092d11fb00,TCPv4,10.0.2.46,51001,2.17.209.139,443,ESTABLISHED,7916,backgroundTask,2023-03-29 16:45:54.000000 UTC
0,0xe1092d418810,UDPv4,127.0.0.1,61062,*,0,,1748,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d5a3b50,TCPv4,10.0.2.46,50963,13.107.42.12,443,ESTABLISHED,4408,OneDrive.exe,2023-03-29 16:42:09.000000 UTC
0,0xe1092d708990,UDPv4,10.0.2.46,138,*,0,,4,System,2023-03-29 14:32:55.000000 UTC
0,0xe1092d708b20,UDPv4,0.0.0.0,0,*,0,,1828,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d708b20,UDPv6,::,0,*,0,,1828,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d708cb0,UDPv4,0.0.0.0,5353,*,0,,1828,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d708cb0,UDPv6,::,5353,*,0,,1828,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d709160,UDPv4,127.0.0.1,51278,*,0,,2728,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d709de0,UDPv4,10.0.2.46,137,*,0,,4,System,2023-03-29 14:32:55.000000 UTC
0,0xe1092d70b230,UDPv4,0.0.0.0,5353,*,0,,1828,svchost.exe,2023-03-29 14:32:55.000000 UTC
0,0xe1092d7c0010,TCPv4,10.0.2.46,50958,20.50.201.200,443,ESTABLISHED,6892,msedge.exe,2023-03-29 16:41:27.000000 UTC
0,0xe1092d8772b0,TCPv4,10.0.2.46,50974,13.107.42.12,443,ESTABLISHED,4408,OneDrive.exe,2023-03-29 16:42:49.000000 UTC
0,0xe1092d9d0050,TCPv4,10.0.2.46,50994,13.107.21.200,443,ESTABLISHED,6892,msedge.exe,2023-03-29 16:44:21.000000 UTC
0,0xe1092da2ba20,TCPv4,10.0.2.46,50068,184.25.204.49,443,CLOSE_WAIT,6600,WWAHost.exe,2023-03-29 14:35:18.000000 UTC
0,0xe1092da30a20,TCPv4,10.0.2.46,50065,184.25.204.49,443,CLOSE_WAIT,6600,WWAHost.exe,2023-03-29 14:35:16.000000 UTC
0,0xe1092dac04b0,TCPv4,10.0.2.46,50726,13.107.238.64,443,CLOSED,8896,SearchApp.exe,2023-03-29 16:22:39.000000 UTC
