TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,1828,652,svchost.exe,0xe10927284080,9,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,4,0,System,0xe10927295080,110,-,N/A,False,2023-03-29 14:32:50.000000 UTC,N/A,Disabled
0,100,4,Registry,0xe109273bf040,4,-,N/A,False,2023-03-29 14:32:44.000000 UTC,N/A,Disabled
0,432,420,csrss.exe,0xe1092792c080,12,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,9172,780,ApplicationFra,0xe10927dcd080,4,-,1,False,2023-03-29 14:34:40.000000 UTC,N/A,Disabled
0,6668,4424,SearchProtocol,0xe10927dd9080,6,-,1,False,2023-03-29 16:45:12.000000 UTC,N/A,Disabled
0,64,608,dwm.exe,0xe10927e33080,21,-,1,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,9620,652,svchost.exe,0xe10927fa80c0,2,-,1,False,2023-03-29 14:34:55.000000 UTC,N/A,Disabled
0,1432,780,SearchApp.exe,0xe10927fb2080,36,-,1,False,2023-03-29 15:09:12.000000 UTC,N/A,Disabled
0,332,4,smss.exe,0xe1092a10e040,2,-,N/A,False,2023-03-29 14:32:50.000000 UTC,N/A,Disabled
0,6892,6960,msedge.exe,0xe1092a34b0c0,13,-,1,False,2023-03-29 14:34:08.000000 UTC,N/A,Disabled
0,8308,7924,msedge.exe,0xe1092a34c080,0,-,1,False,2023-03-29 14:34:08.000000 UTC,2023-03-29 14:34:11.000000 UTC,Disabled
0,5796,780,Microsoft.Phot,0xe1092a34f080,16,-,1,False,2023-03-29 16:06:54.000000 UTC,N/A,Disabled
0,4996,780,RuntimeBroker.,0xe1092a814080,2,-,1,False,2023-03-29 14:34:39.000000 UTC,N/A,Disabled
0,3748,652,svchost.exe,0xe1092a899080,7,-,0,False,2023-03-29 15:16:28.000000 UTC,N/A,Disabled
0,9888,6960,msedge.exe,0xe1092a8af080,9,-,1,False,2023-03-29 14:35:08.000000 UTC,N/A,Disabled
0,7612,652,svchost.exe,0xe1092aae3080,3,-,0,False,2023-03-29 14:34:29.000000 UTC,N/A,Disabled
0,9576,652,svchost.exe,0xe1092abea080,3,-,0,False,2023-03-29 14:39:04.000000 UTC,N/A,Disabled
0,668,780,SearchApp.exe,0xe1092ae41080,0,-,1,False,2023-03-29 14:37:39.000000 UTC,2023-03-29 15:03:58.000000 UTC,Disabled
0,7764,6960,msedge.exe,0xe1092ae520c0,8,-,1,False,2023-03-29 14:34:07.000000 UTC,N/A,Disabled
0,8496,6960,msedge.exe,0xe1092afc3080,15,-,1,False,2023-03-29 14:34:09.000000 UTC,N/A,Disabled
0,508,420,wininit.exe,0xe1092c1c1080,1,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,528,500,csrss.exe,0xe1092c1c4140,12,-,1,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,608,500,winlogon.exe,0xe1092ce0d080,6,-,1,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,652,508,services.exe,0xe1092ce2b080,5,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,676,508,lsass.exe,0xe1092ce460c0,9,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,780,652,svchost.exe,0xe1092cec0240,18,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,796,608,fontdrvhost.ex,0xe1092cec4140,5,-,1,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,804,508,fontdrvhost.ex,0xe1092cec6140,5,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,900,652,svchost.exe,0xe1092cf4a2c0,11,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,960,652,svchost.exe,0xe1092cf6a240,5,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1036,652,svchost.exe,0xe1092d051280,1,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1068,652,svchost.exe,0xe1092d0652c0,2,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1076,652,svchost.exe,0xe1092d067300,3,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1084,652,svchost.exe,0xe1092d069300,4,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1100,652,svchost.exe,0xe1092d06f240,6,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1200,652,svchost.exe,0xe1092d0a8240,2,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1248,652,svchost.exe,0xe1092d0bc300,7,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,1288,652,svchost.exe,0xe1092d10d240,6,-,0,False,2023-03-29 14:32:53.000000 UTC,N/A,Disabled
0,7880,652,svchost.exe,0xe1092d131080,3,-,0,False,2023-03-29 14:37:06.000000 UTC,N/A,Disabled
0,8584,1100,taskhostw.exe,0xe1092d132080,7,-,1,False,2023-03-29 14:47:56.000000 UTC,N/A,Disabled
0,1380,652,svchost.exe,0xe1092d1642c0,3,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1456,652,svchost.exe,0xe1092d1bc300,1,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1496,652,svchost.exe,0xe1092d1d5300,6,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1568,652,svchost.exe,0xe1092d1eb280,5,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1576,652,svchost.exe,0xe1092d1ed2c0,4,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1596,652,svchost.exe,0xe1092d1f1240,3,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1680,4,MemCompression,0xe1092d247040,55,-,N/A,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,6104,2020,audiodg.exe,0xe1092d298340,4,-,0,False,2023-03-29 16:42:11.000000 UTC,N/A,Disabled
0,1736,652,svchost.exe,0xe1092d2a8240,2,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1748,652,svchost.exe,0xe1092d2ac300,5,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
0,1780,652,svchost.exe,0xe1092d2ec280,2,-,0,False,2023-03-29 14:32:54.000000 UTC,N/A,Disabled
