TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,332,smss.exe,\\SystemRoot\\System32\\smss.exe
0,444,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,520,wininit.exe,wininit.exe
0,540,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,620,winlogon.exe,winlogon.exe
0,664,services.exe,C:\\Windows\\system32\\services.exe
0,688,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,796,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,812,fontdrvhost.ex,"""fontdrvhost.exe"""
0,820,fontdrvhost.ex,"""fontdrvhost.exe"""
0,908,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,1000,dwm.exe,"""dwm.exe"""
0,384,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p
0,724,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
0,1044,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1096,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1228,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,1384,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p
0,1432,MemCompression,-
0,1560,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1636,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1648,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1724,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p
0,1800,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,1900,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1412,svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p
