TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,332,smss.exe,0x7ff7be370000,0x28000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2023-03-30 09:22:15.000000 UTC,Disabled
0,332,smss.exe,0x7ffdce7f0000,0x1f8000,-,-,-1,2023-03-30 09:22:15.000000 UTC,Disabled
0,444,csrss.exe,0x7ff68e510000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdce7f0000,0x1f8000,-,-,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbef0000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbed0000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbeb0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbfa0000,0x2ce000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcdc60000,0xbd000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbe80000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcd8f0000,0x1a0000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdce450000,0x354000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc3f0000,0x4e000,cfgmgr32.dll,C:\\Windows\\SYSTEM32\\cfgmgr32.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc9e0000,0x2a000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc690000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc590000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc850000,0x125000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc2e0000,0x10b000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcc4f0000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbe70000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbc50000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,444,csrss.exe,0x7ffdcbf10000,0x82000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ff630ed0000,0x69000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdce7f0000,0x1f8000,-,-,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcdc60000,0xbd000,KERNEL32.DLL,C:\\Windows\\SYSTEM32\\KERNEL32.DLL,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcbfa0000,0x2ce000,KERNELBASE.dll,C:\\Windows\\SYSTEM32\\KERNELBASE.dll,-1,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcc590000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcc850000,0x125000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcca10000,0x9c000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcbe50000,0x1f000,profapi.dll,C:\\Windows\\system32\\profapi.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcbe40000,0xe000,wininitext.dll,C:\\Windows\\SYSTEM32\\wininitext.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
0,520,wininit.exe,0x7ffdcdb50000,0x9e000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-30 09:22:19.000000 UTC,Disabled
