TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0xe706b6874940,0xf80125700000,0x14000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0xe706b6883cf0,0xf80124180000,0x15000,vdrvroot,vdrvroot,\\Driver\\vdrvroot
0,0xe706b689ecf0,0xf8012280f000,0x0,\\Driver\\WMIxWDM,WMIxWDM,\\Driver\\WMIxWDM
0,0xe706b68a0cf0,0xf801240f0000,0xb000,msisadrv,msisadrv,\\Driver\\msisadrv
0,0xe706b68a4cf0,0xf80124100000,0x77000,pci,pci,\\Driver\\pci
0,0xe706b68dacf0,0xf80123e00000,0xd1000,Wdf01000,Wdf01000,\\Driver\\Wdf01000
0,0xe706b68dccf0,0xf8012280f000,0x0,\\Driver\\ACPI_HAL,ACPI_HAL,\\Driver\\ACPI_HAL
0,0xe706b68e3cf0,0xf80123ee0000,0x26000,acpiex,acpiex,\\Driver\\acpiex
0,0xe706b68e9a50,0xf80137bd0000,0x15000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0xe706b6907cf0,0xf80123f10000,0x1a000,SgrmAgent,SgrmAgent,\\Driver\\SgrmAgent
0,0xe706b690bcf0,0xf80123ce0000,0xbb000,CNG,CNG,\\Driver\\CNG
0,0xe706b691bcf0,0xf801240b0000,0xb000,Telemetry,Telemetry,\\Driver\\Telemetry
0,0xe706b691ccf0,0xf80124090000,0x17000,WindowsTrustedRT,WindowsTrustedRT,\\Driver\\WindowsTrustedRT
0,0xe706b6920cf0,0xf80123f30000,0xcc000,ACPI,ACPI,\\Driver\\ACPI
0,0xe706b6925cf0,0xf80124020000,0x6b000,intelpep,intelpep,\\Driver\\intelpep
0,0xe706b6927cf0,0xf801240c0000,0xb000,WindowsTrustedRTProxy,WindowsTrustedRTProxy,\\Driver\\WindowsTrustedRTProxy
0,0xe706b6933cf0,0xf801241a0000,0x2f000,pdc,pdc,\\Driver\\pdc
0,0xe706b693acf0,0x0,0x0,-,RAW,\\FileSystem\\RAW
0,0xe706b693ecf0,0xf801240d0000,0x14000,pcw,pcw,\\Driver\\pcw
0,0xe706b6951e20,0xf80125720000,0xa1000,Vid,Vid,\\Driver\\Vid
0,0xe706b69e3d70,0xf8012280f000,0x0,\\Driver\\PnpManager,PnpManager,\\Driver\\PnpManager
0,0xe706b69e5d70,0xf8012280f000,0x0,\\Driver\\SoftwareDevice,SoftwareDevice,\\Driver\\SoftwareDevice
0,0xe706b69e6d70,0xf8012280f000,0x0,\\Driver\\DeviceApi,DeviceApi,\\Driver\\DeviceApi
0,0xe706b6a04ca0,0xf80124230000,0xac000,spaceport,spaceport,\\Driver\\spaceport
0,0xe706b6cf1ce0,0xf801241f0000,0x31000,partmgr,partmgr,\\Driver\\partmgr
0,0xe706b6f18db0,0xf801256b0000,0x2b000,Psched,Psched,\\Driver\\Psched
0,0xe706b6f19060,0xf80126ea0000,0x11000,BasicRender,BasicRender,\\Driver\\BasicRender
0,0xe706b6f1a060,0xf80126ec0000,0x1c000,Npfs,Npfs,\\FileSystem\\Npfs
0,0xe706b6f1aa10,0xf80126ee0000,0x11000,Msfs,Msfs,\\FileSystem\\Msfs
0,0xe706b6f1b370,0xf80126f00000,0x1e000,CimFS,CimFS,\\FileSystem\\CimFS
0,0xe706b6f1dc70,0xf80126f20000,0x22000,tdx,tdx,\\Driver\\tdx
0,0xe706b6f21690,0xf80126f70000,0x5c000,NetBT,NetBT,\\Driver\\NetBT
0,0xe706b6f21db0,0xf80126a00000,0xa5000,AFD,AFD,\\Driver\\AFD
0,0xe706b6f23840,0xf80127140000,0x17000,bam,bam,\\Driver\\bam
0,0xe706b6f23a60,0xf801258c0000,0xa000,GpuEnergyDrv,GpuEnergyDrv,\\Driver\\GpuEnergyDrv
0,0xe706b6f26e00,0xf80126fd0000,0x14000,afunix,afunix,\\Driver\\afunix
0,0xe706b6f7f0c0,0xf80124a80000,0x32000,KSecPkg,KSecPkg,\\Driver\\KSecPkg
0,0xe706b6f7f990,0xf80124ac0000,0x2ec000,Tcpip,Tcpip,\\Driver\\Tcpip
0,0xe706b6f86a70,0xf80124370000,0x1e000,mountmgr,mountmgr,\\Driver\\mountmgr
0,0xe706b6f9f5a0,0xf801226d0000,0x6d000,FltMgr,FltMgr,\\FileSystem\\FltMgr
0,0xe706b6fa1df0,0xf801242e0000,0x19000,volmgr,volmgr,\\Driver\\volmgr
0,0xe706b6fa8e20,0xf80124490000,0x1c000,EhStorClass,EhStorClass,\\Driver\\EhStorClass
0,0xe706b6fa9e30,0xf80124300000,0x63000,volmgrx,volmgrx,\\Driver\\volmgrx
0,0xe706b6faaa70,0xf80124390000,0x32000,storahci,storahci,\\Driver\\storahci
0,0xe706b6ff23c0,0xf80122630000,0x6b000,CLFS,CLFS,\\Driver\\CLFS
0,0xe706b6ff28a0,0xf80124580000,0x2d7000,Ntfs,Ntfs,\\FileSystem\\Ntfs
0,0xe706b6ff32f0,0xf80123b20000,0x29000,KSecDD,KSecDD,\\Driver\\KSecDD
0,0xe706b6ff3a00,0xf80124860000,0xd000,Fs_Rec,Fs_Rec,\\FileSystem\\Fs_Rec
0,0xe706b6ff5060,0xf80124870000,0x16f000,NDIS,NDIS,\\Driver\\NDIS
0,0xe706b90265a0,0xf801244b0000,0x1a000,FileInfo,FileInfo,\\FileSystem\\FileInfo
0,0xe706b9027300,0xf801244d0000,0x40000,Wof,Wof,\\FileSystem\\Wof
0,0xe706b90289d0,0xf80124520000,0x5a000,WdFilter,WdFilter,\\FileSystem\\WdFilter
0,0xe706b9207e30,0xf80124e30000,0x30000,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS
0,0xe706b9210b20,0xf80124f50000,0x6d000,volsnap,volsnap,\\Driver\\volsnap
0,0xe706b9214b60,0xf80124f40000,0xb000,volume,volume,\\Driver\\volume
0,0xe706b9240ca0,0xf80124e70000,0xc8000,fvevol,fvevol,\\Driver\\fvevol
0,0xe706b92998f0,0xf80125050000,0x12000,iorate,iorate,\\Driver\\iorate
0,0xe706b9299d10,0xf80125090000,0x1f000,disk,disk,\\Driver\\disk
0,0xe706b92adb40,0xf80124fc0000,0x50000,rdyboost,rdyboost,\\Driver\\rdyboost
0,0xe706b92b5c80,0xf80125020000,0x26000,Mup,Mup,\\FileSystem\\Mup
0,0xe706b92eee30,0xf80127480000,0x12000,HidUsb,HidUsb,\\Driver\\HidUsb
0,0xe706b934fe30,0xf80127770000,0x29000,luafv,luafv,\\FileSystem\\luafv
0,0xe706b945dd70,0xf80126e80000,0x16000,BasicDisplay,BasicDisplay,\\Driver\\BasicDisplay
0,0xe706b945f060,0xf80127500000,0x10000,mouhid,mouhid,\\Driver\\mouhid
0,0xe706b9462230,0xf801256e0000,0x14000,NdisCap,NdisCap,\\Driver\\NdisCap
0,0xe706b94cdb80,0xf80125670000,0xa000,Null,Null,\\Driver\\Null
0,0xe706b94d40a0,0xf80126ab0000,0x3aa000,DXGKrnl,DXGKrnl,\\Driver\\DXGKrnl
0,0xe706b955e060,0xf80125680000,0xa000,Beep,Beep,\\Driver\\Beep
0,0xe706b9568290,0xf801271e0000,0x15000,umbus,umbus,\\Driver\\umbus
0,0xe706b9568cd0,0xf80125600000,0x30000,cdrom,cdrom,\\Driver\\cdrom
0,0xe706b9569cd0,0xf80125640000,0x15000,FileCrypt,FileCrypt,\\FileSystem\\FileCrypt
0,0xe706b9575bd0,0xf80127920000,0x56000,MsQuic,MsQuic,\\Driver\\MsQuic
0,0xe706b9575e00,0xf80127660000,0x1b000,monitor,monitor,\\Driver\\monitor
0,0xe706b95da860,0xf80125800000,0x7b000,rdbss,rdbss,\\FileSystem\\rdbss
0,0xe706b95dde00,0xf80125690000,0x1a000,vwififlt,vwififlt,\\Driver\\vwififlt
0,0xe706b95e2e20,0xf80126ff0000,0xe000,npsvctrig,npsvctrig,\\Driver\\npsvctrig
0,0xe706b95e6e30,0xf80125880000,0x12000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0xe706b95f1e10,0xf801258a0000,0x10000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0xe706b95f2cf0,0xf801270f0000,0x2c000,Dfsc,Dfsc,\\FileSystem\\Dfsc
0,0xe706b95fb2b0,0xf8012280f000,0x0,\\Driver\\WscVReg,WscVReg,\\Driver\\WscVReg
0,0xe706b9653e20,0xf80127160000,0x4e000,ahcache,ahcache,\\Driver\\ahcache
0,0xe706b9655a70,0xf801271d0000,0xd000,kdnic,kdnic,\\Driver\\kdnic
0,0xe706b9655ca0,0xf801271b0000,0x12000,CompositeBus,CompositeBus,\\Driver\\CompositeBus
0,0xe706b967e820,0xf80127000000,0x21000,i8042prt,i8042prt,\\Driver\\i8042prt
0,0xe706b967ed70,0xf80127030000,0x14000,kbdclass,kbdclass,\\Driver\\kbdclass
0,0xe706b967f3a0,0xf80127050000,0x13000,mouclass,mouclass,\\Driver\\mouclass
0,0xe706b9683e10,0xf80127070000,0x24080,E1G60,E1G60,\\Driver\\E1G60
0,0xe706b96848f0,0xf80127470000,0xf000,ksthunk,ksthunk,\\Driver\\ksthunk
0,0xe706b9689e10,0xf80127400000,0x6f000,HdAudAddService,HdAudAddService,\\Driver\\HdAudAddService
0,0xe706b96e3e10,0xf801270a0000,0x25000,HDAudBus,HDAudBus,\\Driver\\HDAudBus
0,0xe706b96e6e10,0xf80127280000,0x9e000,USBXHCI,USBXHCI,\\Driver\\USBXHCI
0,0xe706b97089a0,0xf80127af0000,0xd000,NdisVirtualBus,NdisVirtualBus,\\Driver\\NdisVirtualBus
0,0xe706b9708dc0,0xf80127b00000,0xc000,swenum,swenum,\\Driver\\swenum
0,0xe706b99c0e30,0xf80127a20000,0x44000,Ucx01000,Ucx01000,\\Driver\\Ucx01000
0,0xe706b99cfde0,0xf80127a70000,0xf000,CmBatt,CmBatt,\\Driver\\CmBatt
0,0xe706b99d3870,0xf80127aa0000,0x41000,intelppm,intelppm,\\Driver\\intelppm
0,0xe706b99e1870,0xf80127b10000,0xe000,rdpbus,rdpbus,\\Driver\\rdpbus
0,0xe706b9a69e40,0xf80127b20000,0xa3000,USBHUB3,USBHUB3,\\Driver\\USBHUB3
0,0xe706bb1b4570,0xf801278e0000,0x18000,MsLldp,MsLldp,\\Driver\\MsLldp
0,0xe706bb1bb2b0,0xe64e83600000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0xe706bb420300,0xf80127900000,0x1b000,rspndr,rspndr,\\Driver\\rspndr
0,0xe706bb44e4e0,0xf80127520000,0x5c000,udfs,udfs,\\FileSystem\\udfs
0,0xe706bb5dee20,0xf80127890000,0x27000,bindflt,bindflt,\\FileSystem\\bindflt
0,0xe706bbd78e40,0xf801378c0000,0x46000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0xe706bbd97e20,0xf80137820000,0x95000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0xe706bc43ee50,0xf801277a0000,0x36000,wcifs,wcifs,\\FileSystem\\wcifs
0,0xe706bc4c1a70,0xf801277e0000,0x81000,CldFlt,CldFlt,\\FileSystem\\CldFlt
0,0xe706bc588a70,0xf80137910000,0x56000,srvnet,srvnet,\\FileSystem\\srvnet
0,0xe706bc613e30,0xf80127870000,0x1a000,storqosflt,storqosflt,\\FileSystem\\storqosflt
0,0xe706bc618e20,0xf801379f0000,0xc7000,srv2,srv2,\\FileSystem\\srv2
0,0xe706bc622e50,0xf801278c0000,0x18000,lltdio,lltdio,\\Driver\\lltdio
0,0xe706bc654e20,0xf80137800000,0x1a000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0xe706bc65fe30,0xf80137dd0000,0x25000,bowser,bowser,\\FileSystem\\bowser
0,0xe706bc76de20,0xf80137990000,0x52000,mrxsmb10,mrxsmb10,\\FileSystem\\mrxsmb10
0,0xe706bc7a6e00,0xf80137c40000,0x187000,HTTP,HTTP,\\Driver\\HTTP
0,0xe706bc7d6e20,0xf80137ac0000,0x27000,Ndu,Ndu,\\Driver\\Ndu
0,0xe706bc7ece10,0xf80137af0000,0xd7000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0xe706bc81ee20,0xf80137970000,0x14000,MMCSS,MMCSS,\\Driver\\MMCSS
0,0xe706bc973e30,0xf80137c10000,0x12000,WdNisDrv,WdNisDrv,\\Driver\\WdNisDrv
0,0xe706bcb2f060,0xf80137bf0000,0x12000,condrv,condrv,\\Driver\\condrv
0,0xe706bd1ba7d0,0xf801279a0000,0x3c000,MpKsl2af98856,MpKsl2af98856,\\Driver\\MpKsl2af98856
0,0xe706bdb60750,0xf80127980000,0x10000,pmem,pmem,\\Driver\\pmem

