TreeDepth,Offset,Name
0,0xe706b68724f0,\\Windows\\System32\\drivers\\mrxsmb.sys
0,0xe706b688f250,\\Users\\devmac\\AppData\\Local\\Microsoft\\Edge\\User Data\\ShaderCache\\data_0
0,0xe706b688f3e0,\\Windows\\System32\\wbem\\wbemcore.dll
0,0xe706b6f0b380,\\Windows\\System32\\DriverStore\\FileRepository\\basicrender.inf_amd64_ed345fdc37d65139\\BasicRender.sys
0,0xe706b6f0b660,\\$Directory
0,0xe706b6f0b7d0,\\Windows\\System32\\drivers\\npfs.sys
0,0xe706b6f0b940,\\Windows\\System32\\drivers\\cimfs.sys
0,0xe706b6f0bc20,\\Windows\\System32\\DriverStore\\FileRepository\\basicdisplay.inf_amd64_fc93ae411c02f280\\BasicDisplay.sys
0,0xe706b6f0c070,\\Windows\\System32\\drivers\\msfs.sys
0,0xe706b6f0c630,\\Windows\\System32\\drivers\\tdx.sys
0,0xe706b6f0cd60,\\Windows\\System32\\drivers\\dxgkrnl.sys
0,0xe706b6f0ced0,\\Windows\\System32\\drivers\\watchdog.sys
0,0xe706b6f41210,\\Windows\\System32\\drivers\\afunix.sys
0,0xe706b6f41380,\\Windows\\System32\\drivers\\pacer.sys
0,0xe706b6f41c20,\\Windows\\System32\\drivers\\vwififlt.sys
0,0xe706b6f42070,\\Windows\\System32\\drivers\\tdi.sys
0,0xe706b6f42350,\\Windows\\System32\\drivers\\netbt.sys
0,0xe706b6f42910,\\Windows\\System32\\drivers\\ndiscap.sys
0,0xe706b6f42a80,\\Windows\\System32\\drivers\\afd.sys
0,0xe706b6f42ed0,\\Windows\\System32\\drivers\\netbios.sys
0,0xe706b6fcf380,\\$LogFile
0,0xe706b6fcf940,\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,0xe706b6fcfc20,\\$Extend\\$RmMetadata\\$Repair:$Corrupt:$DATA
0,0xe706b6fcfd90,\\$MftMirr
0,0xe706b6fd0070,\\$Extend\\$RmMetadata\\$Repair:$Verify:$DATA
0,0xe706b6fd0bf0,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xe706b6fd0d60,\\Device\\HarddiskVolume2\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xe706b6fe1700,\\Windows\\System32\\ws2_32.dll
0,0xe706b6fe1d40,\\Windows
0,0xe706b6fe3660,\\$Secure:$SII:$INDEX_ALLOCATION
0,0xe706b6fe3940,\\$LogFile
0,0xe706b6fe3ab0,\\:$I30:$INDEX_ALLOCATION
0,0xe706b6fe3c20,\\$Extend\\$Deleted:$I30:$INDEX_ALLOCATION
0,0xe706b6fe4070,\\$Mft
0,0xe706b6fe41e0,\\$Secure:$SDS:$DATA
0,0xe706b6fe44c0,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,0xe706b6fe4630,\\$Extend:$I30:$INDEX_ALLOCATION
0,0xe706b6fe47a0,\\$MftMirr
0,0xe706b6fe4a80,\\$BitMap
