TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xe706b6879080,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xe706b694a140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xe706b68adb40,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xd40d8de2f3f0,0x10,Directory,0xf000f,-
0,4,System,0xd40d8de72c10,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xe706b6889500,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xd40d8de38aa0,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xe706b6893f20,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xe706b6893420,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xe706b6893720,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xe706b68937a0,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xe706b68939a0,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xe706b6893320,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xe706b6893fa0,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xe706b6893c20,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xe706b6893da0,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xe706b6893820,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xe706b68938a0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xe706b9347040,0x4c,Thread,0x1fffff,Tid 284 Pid 4
0,4,System,0xe706b69b8040,0x50,Thread,0x1fffff,Tid 84 Pid 4
0,4,System,0xe706b69bc040,0x54,Process,0x1fffff,Registry Pid 100
0,4,System,0xd40d8deec4e0,0x58,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xd40d8e6a14e0,0x5c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E96C-E325-11CE-BFC1-08002BE10318}\\0000\\MIXERSETTINGS
0,4,System,0xd40d8dec5750,0x60,Key,0x0,-
0,4,System,0xd40d8deece70,0x64,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xd40d8deec810,0x68,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xd40d8deebe80,0x6c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xe706b92f9040,0x70,Thread,0x1fffff,Tid 280 Pid 4
0,4,System,0xd40d8deec1b0,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xd40d8df29cc0,0x78,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0xe706b68b9d40,0x7c,ALPC Port,0x1f0001,PowerPort
0,4,System,0xd40d8deebc60,0x80,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xe706b68e0d40,0x84,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xe706bb49aea0,0x88,File,0x12019f,\\Device\\HarddiskVolume2\\Users\\devmac\\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM.blf
0,4,System,0xd40d8deeb820,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0xd40d8deec700,0x90,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0xd40d8df28dc0,0x94,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xd40d8df29450,0x98,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0xd40d8df28370,0x9c,Key,0xf003f,USER
0,4,System,0xe706b6891510,0xa0,Event,0x1f0003,-
0,4,System,0xd40d8deebd70,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xd40d8df31b50,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xd40d8df29db0,0xac,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xd40d8df32810,0xb0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0xd40d8df32700,0xb4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xd40d8df31710,0xb8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0xd40d8df32c50,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xd40d8df321b0,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0xd40d8df6e5c0,0xc4,Token,0xe,-
0,4,System,0xd40d8df299f0,0xc8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0xe706bb3e9110,0xcc,File,0x12008b,\\Device\\HarddiskVolume2\\Windows\\System32\\LogFiles\\WMI\\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
0,4,System,0xe706bb3e9b20,0xd0,File,0x13008b,\\Device\\HarddiskVolume2\\Windows\\System32\\LogFiles\\WMI\\RtBackup\\EtwRTDefenderAuditLogger.etl
0,4,System,0xe706bb3e9c90,0xd4,File,0x12008b,\\Device\\HarddiskVolume2\\Windows\\System32\\WDI\\LogFiles\\WdiContextLog.etl.002
0,4,System,0xd40d8df314f0,0xd8,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0xd40d8df310b0,0xdc,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0xd40d8df28460,0xe0,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\STORPORT
0,4,System,0xd40d8df28820,0xe4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\IORATE
0,4,System,0xd40d8e295b40,0xe8,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NETWORKPROVIDER\\PROVIDERORDER
0,4,System,0xd40d8dfc4b20,0xec,SymbolicLink,0xf0001,ROOT#volmgr#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0xd40d8df31a40,0xf0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG\\{2A126453-37C8-476B-9B60-86542DE4A6A2}\\PRODUCTIDS
0,4,System,0xd40d8dfc3380,0xf4,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xe706b97986a0,0xf8,File,0x20003,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\SOFTWARE
0,4,System,0xe706bb3ea980,0xfc,File,0x12008b,\\Device\\HarddiskVolume2\\Windows\\System32\\LogFiles\\WMI\\LwtNetLog.etl
0,4,System,0xe706bbc1b490,0x100,Event,0x1f0003,UniqueInteractiveSessionIdEvent
