TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xe706b6890050,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-30 09:22:20.000000 UTC
0,0xe706b6890050,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-30 09:22:20.000000 UTC
0,0xe706b6890310,TCPv4,10.0.2.45,139,0.0.0.0,0,LISTENING,4,System,2023-03-30 09:22:21.000000 UTC
0,0xe706b6890470,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,1800,spoolsv.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b6890890,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,664,services.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b68909f0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,664,services.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b68909f0,TCPv6,::,49669,::,0,LISTENING,664,services.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b9b39050,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,520,wininit.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b391b0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,384,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b391b0,TCPv6,::,49667,::,0,LISTENING,384,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b39310,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,688,lsass.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b39310,TCPv6,::,49664,::,0,LISTENING,688,lsass.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b39470,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1044,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b395d0,TCPv4,0.0.0.0,49666,0.0.0.0,0,LISTENING,1044,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b395d0,TCPv6,::,49666,::,0,LISTENING,1044,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b39890,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,384,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b39b50,TCPv4,0.0.0.0,49664,0.0.0.0,0,LISTENING,688,lsass.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b3a0d0,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,520,wininit.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b3a0d0,TCPv6,::,49665,::,0,LISTENING,520,wininit.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b3a4f0,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,1800,spoolsv.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b9b3a4f0,TCPv6,::,49668,::,0,LISTENING,1800,spoolsv.exe,2023-03-30 09:22:20.000000 UTC
0,0xe706b9b3ad30,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,908,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b3ae90,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,908,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706b9b3ae90,TCPv6,::,135,::,0,LISTENING,908,svchost.exe,2023-03-30 09:22:19.000000 UTC
0,0xe706bb19c010,TCPv4,10.0.2.45,50075,104.208.16.88,443,CLOSED,8044,WWAHost.exe,2023-03-30 09:24:38.000000 UTC
0,0xe706bb19c4a0,TCPv4,10.0.2.45,50073,152.199.21.175,443,CLOSE_WAIT,8044,WWAHost.exe,2023-03-30 09:24:36.000000 UTC
0,0xe706bb1a34a0,TCPv4,10.0.2.45,50070,152.199.21.175,443,CLOSE_WAIT,8044,WWAHost.exe,2023-03-30 09:24:36.000000 UTC
0,0xe706bb359920,TCPv4,10.0.2.45,50273,23.48.165.24,443,ESTABLISHED,4352,SearchApp.exe,2023-03-30 09:30:02.000000 UTC
0,0xe706bb496b00,UDPv4,0.0.0.0,5353,*,0,,3212,msedge.exe,2023-03-30 09:22:54.000000 UTC
0,0xe706bb49d3b0,UDPv4,0.0.0.0,5353,*,0,,3212,msedge.exe,2023-03-30 09:22:54.000000 UTC
0,0xe706bb49d3b0,UDPv6,::,5353,*,0,,3212,msedge.exe,2023-03-30 09:22:54.000000 UTC
0,0xe706bbd74010,TCPv4,10.0.2.45,50146,20.90.153.243,443,ESTABLISHED,384,svchost.exe,2023-03-30 09:27:20.000000 UTC
0,0xe706bc57fa20,TCPv4,10.0.2.45,49932,142.250.200.10,443,ESTABLISHED,2476,msedge.exe,2023-03-30 09:23:42.000000 UTC
0,0xe706bc58d290,TCPv4,10.0.2.45,50274,23.48.165.24,443,CLOSE_WAIT,4352,SearchApp.exe,2023-03-30 09:30:02.000000 UTC
0,0xe706bc78f610,UDPv4,127.0.0.1,57682,*,0,,1384,svchost.exe,2023-03-30 09:22:21.000000 UTC
0,0xe706bc7d2560,TCPv4,10.0.2.45,50275,23.48.165.24,443,CLOSE_WAIT,4352,SearchApp.exe,2023-03-30 09:30:02.000000 UTC
0,0xe706bc7ea010,TCPv4,10.0.2.45,50284,172.217.16.227,443,CLOSED,2476,msedge.exe,2023-03-30 09:30:54.000000 UTC
0,0xe706bc9a3310,UDPv4,0.0.0.0,0,*,0,,1384,svchost.exe,2023-03-30 09:22:21.000000 UTC
