TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xe706b6879080,142,-,N/A,False,2023-03-30 09:22:15.000000 UTC,N/A,-,-,-
1,1432,4,MemCompression,0xe706bc670080,30,-,N/A,False,2023-03-30 09:22:19.000000 UTC,N/A,MemCompression,-,-
1,100,4,Registry,0xe706b69bc040,4,-,N/A,False,2023-03-30 09:22:12.000000 UTC,N/A,Registry,-,-
1,332,4,smss.exe,0xe706b967c080,2,-,N/A,False,2023-03-30 09:22:15.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,444,428,csrss.exe,0xe706b9579080,10,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,520,428,wininit.exe,0xe706bbca4080,1,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,664,520,services.exe,0xe706bbcef080,5,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,384,664,svchost.exe,0xe706bc4c2240,59,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,C:\\Windows\\system32\\svchost.exe
3,3232,384,taskhostw.exe,0xe706bce72300,9,-,1,False,2023-03-30 09:22:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},C:\\Windows\\system32\\taskhostw.exe
3,676,384,WMIADAP.exe,0xe706bc783340,2,-,0,False,2023-03-30 09:26:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wbem\\WMIADAP.exe,wmiadap.exe /F /T /R,\\\\?\\C:\\Windows\\system32\\wbem\\WMIADAP.EXE
3,7968,384,MicrosoftEdgeU,0xe706bb162080,3,-,0,True,2023-03-30 09:27:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe,-,-
3,1756,384,sihost.exe,0xe706bcd06080,13,-,1,False,2023-03-30 09:22:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\sihost.exe,sihost.exe,C:\\Windows\\system32\\sihost.exe
2,1412,664,svchost.exe,0xe706bc8d1080,9,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p,C:\\Windows\\System32\\svchost.exe
2,6916,664,svchost.exe,0xe706bd25b080,6,-,0,False,2023-03-30 09:22:50.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p,C:\\Windows\\system32\\svchost.exe
2,1800,664,spoolsv.exe,0xe706bc7f2240,9,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,2696,664,svchost.exe,0xe706bcab8080,27,-,0,False,2023-03-30 09:22:22.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k wsappx -p,C:\\Windows\\system32\\svchost.exe
2,908,664,svchost.exe,0xe706bc4192c0,13,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p,C:\\Windows\\system32\\svchost.exe
2,4620,664,SearchIndexer.,0xe706bd55a240,24,-,0,False,2023-03-30 09:22:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
3,2792,4620,SearchProtocol,0xe706b9adb080,6,-,0,False,2023-03-30 09:29:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchProtocolHost.exe,"""C:\\Windows\\system32\\SearchProtocolHost.exe"" Global\\UsGthrFltPipeMssGthrPipe2_ Global\\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon"" ",C:\\Windows\\system32\\SearchProtocolHost.exe
3,1372,4620,SearchFilterHo,0xe706bd861080,3,-,0,False,2023-03-30 09:29:41.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchFilterHost.exe,"""C:\\Windows\\system32\\SearchFilterHost.exe"" 0 796 800 808 8192 804 780 ",C:\\Windows\\system32\\SearchFilterHost.exe
2,1044,664,svchost.exe,0xe706bc539300,13,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,1560,664,svchost.exe,0xe706bc67f300,11,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
3,4588,1560,audiodg.exe,0xe706bd2c6080,8,-,0,False,2023-03-30 09:30:05.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\audiodg.exe,C:\\Windows\\system32\\AUDIODG.EXE 0x50c,C:\\Windows\\system32\\AUDIODG.EXE
2,2072,664,MsMpEng.exe,0xe706bc8d3080,28,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Windows Defender\\MsMpEng.exe,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe""",C:\\Program Files\\Windows Defender\\MsMpEng.exe
2,4632,664,svchost.exe,0xe706bcfd1080,6,-,0,False,2023-03-30 09:27:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p,C:\\Windows\\System32\\svchost.exe
2,796,664,svchost.exe,0xe706bbd73240,21,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p,C:\\Windows\\system32\\svchost.exe
3,4352,796,SearchApp.exe,0xe706bd3a7080,47,-,1,False,2023-03-30 09:22:33.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\Microsoft.Windows.Search_cw5n1h2txyewy\\SearchApp.exe,-,-
3,6880,796,TextInputHost.,0xe706be172080,11,-,1,False,2023-03-30 09:22:48.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe,"""C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe"" -ServerName:InputApp.AppXjd5de1g66v206tj52m9d0dtpppx4cgpn.mca",C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\TextInputHost.exe
3,7744,796,WmiPrvSE.exe,0xe706be128080,4,-,0,False,2023-03-30 09:26:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wbem\\WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
3,5476,796,RuntimeBroker.,0xe706bd919300,3,-,1,False,2023-03-30 09:22:37.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,1576,796,SkypeApp.exe,0xe706bdba0080,12,-,1,False,2023-03-30 09:24:06.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\WindowsApps\\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\\SkypeApp.exe,-,-
3,3756,796,StartMenuExper,0xe706bd1f32c0,7,-,1,False,2023-03-30 09:22:33.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe,"""C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca",C:\\Windows\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe
3,8044,796,WWAHost.exe,0xe706b98df080,27,-,1,False,2023-03-30 09:24:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\WWAHost.exe,-,-
3,1584,796,ApplicationFra,0xe706bd5ca080,10,-,1,False,2023-03-30 09:24:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\ApplicationFrameHost.exe,C:\\Windows\\system32\\ApplicationFrameHost.exe -Embedding,C:\\Windows\\system32\\ApplicationFrameHost.exe
3,2064,796,RuntimeBroker.,0xe706bd765080,3,-,1,False,2023-03-30 09:29:12.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,4952,796,dllhost.exe,0xe706bd3890c0,10,-,1,False,2023-03-30 09:24:36.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},C:\\Windows\\system32\\DllHost.exe
3,5332,796,smartscreen.ex,0xe706bd728300,11,-,1,False,2023-03-30 09:22:44.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smartscreen.exe,C:\\Windows\\System32\\smartscreen.exe -Embedding,C:\\Windows\\System32\\smartscreen.exe
3,5044,796,WinStore.App.e,0xe706bd33e080,11,-,1,False,2023-03-30 09:29:12.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\WindowsApps\\Microsoft.WindowsStore_11910.1002.5.0_x64__8wekyb3d8bbwe\\WinStore.App.exe,-,-
3,4120,796,RuntimeBroker.,0xe706bd238300,3,-,1,False,2023-03-30 09:22:33.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,4476,796,RuntimeBroker.,0xe706bd185080,19,-,1,False,2023-03-30 09:22:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
3,6524,796,RuntimeBroker.,0xe706bd358080,1,-,1,False,2023-03-30 09:24:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\RuntimeBroker.exe,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,C:\\Windows\\System32\\RuntimeBroker.exe
2,4004,664,svchost.exe,0xe706bd0d1300,11,-,1,False,2023-03-30 09:22:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k ClipboardSvcGroup -p,C:\\Windows\\system32\\svchost.exe
2,2988,664,NisSrv.exe,0xe706bcbe2300,4,-,0,False,2023-03-30 09:22:22.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Windows Defender\\NisSrv.exe,"""C:\\Program Files\\Windows Defender\\NisSrv.exe""",C:\\Program Files\\Windows Defender\\NisSrv.exe
2,7468,664,SgrmBroker.exe,0xe706bdb68080,7,-,0,False,2023-03-30 09:24:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe
2,8112,664,svchost.exe,0xe706bd390080,3,-,0,False,2023-03-30 09:27:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k WbioSvcGroup,C:\\Windows\\system32\\svchost.exe
2,7992,664,svchost.exe,0xe706bd8e0080,9,-,0,False,2023-03-30 09:24:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,1724,664,svchost.exe,0xe706bc67d240,7,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p,C:\\Windows\\system32\\svchost.exe
2,2492,664,svchost.exe,0xe706bca7d2c0,7,-,0,False,2023-03-30 09:22:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted,C:\\Windows\\System32\\svchost.exe
2,1096,664,svchost.exe,0xe706bc53f2c0,14,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p,C:\\Windows\\system32\\svchost.exe
2,5704,664,SecurityHealth,0xe706bd1c0280,8,-,0,False,2023-03-30 09:22:45.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe,C:\\Windows\\system32\\SecurityHealthService.exe
2,1228,664,svchost.exe,0xe706bc5a52c0,18,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p,C:\\Windows\\system32\\svchost.exe
2,724,664,svchost.exe,0xe706bc51a280,17,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
3,3324,724,ctfmon.exe,0xe706bcebd280,11,-,1,False,2023-03-30 09:22:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\ctfmon.exe,"""ctfmon.exe""",C:\\Windows\\system32\\ctfmon.exe
2,1636,664,svchost.exe,0xe706bc77e300,5,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\system32\\svchost.exe
2,1384,664,svchost.exe,0xe706bc64c2c0,16,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p,C:\\Windows\\System32\\svchost.exe
2,1900,664,svchost.exe,0xe706b6875300,13,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,C:\\Windows\\system32\\svchost.exe
2,3180,664,svchost.exe,0xe706bd833080,3,-,0,False,2023-03-30 09:24:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p,C:\\Windows\\system32\\svchost.exe
2,1648,664,svchost.exe,0xe706bc77c0c0,3,-,0,False,2023-03-30 09:22:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,7668,664,svchost.exe,0xe706b9895080,4,-,0,False,2023-03-30 09:27:27.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k smphost,C:\\Windows\\System32\\svchost.exe
2,2552,664,svchost.exe,0xe706bccc8080,13,-,1,False,2023-03-30 09:22:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,C:\\Windows\\system32\\svchost.exe
1,820,520,fontdrvhost.ex,0xe706bbd78140,5,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
1,688,520,lsass.exe,0xe706bbcf6080,12,-,0,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
0,540,512,csrss.exe,0xe706bbcac080,13,-,1,False,2023-03-30 09:22:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
