TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xffffe706b68ac740,0x7ffe1000,0x7ffe1fff,VadS,PAGE_READONLY,1,1,0x0,N/A,Disabled
0,4,System,0xffffe706b68ac4c0,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0xffffe706b68ac740,N/A,Disabled
0,4,System,0xffffe706b6f6c560,0x774a0000,0x77643fff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0xffffe706b68ac4c0,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xffffe706b6f6cd80,0x7ffdce7b0000,0x7ffdce7e1fff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0xffffe706b68ac740,\\Windows\\System32\\vertdll.dll,Disabled
0,4,System,0xffffe706bbd05810,0x15a3a630000,0x15a3a630fff,Vad ,PAGE_READWRITE,0,0,0xffffe706b6f6cd80,N/A,Disabled
0,4,System,0xffffe706b6f692e0,0x7ffdce7f0000,0x7ffdce9e7fff,Vad ,PAGE_EXECUTE_WRITECOPY,16,0,0xffffe706b6f6cd80,\\Windows\\System32\\ntdll.dll,Disabled
0,100,Registry,0xffffe706bd88f140,0x21962820000,0x2196282ffff,Vad ,PAGE_READONLY,3,0,0x0,\\Windows\\System32\\config\\DEFAULT,Disabled
0,100,Registry,0xffffe706b6f6a8c0,0x219619c0000,0x21961bbffff,Vad ,PAGE_READONLY,15,0,0xffffe706bd88f140,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98651a0,0x2195f9c0000,0x2195fbbffff,Vad ,PAGE_READONLY,26,0,0xffffe706b6f6a8c0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865880,0x2195e9c0000,0x2195ebbffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98651a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98656a0,0x2195e1c0000,0x2195e3bffff,Vad ,PAGE_READONLY,21,0,0xffffe706b9865880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98663c0,0x2195e170000,0x2195e17ffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98656a0,\\Windows\\System32\\config\\SECURITY,Disabled
0,100,Registry,0xffffe706b98661e0,0x2195e160000,0x2195e16ffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98663c0,\\Windows\\System32\\config\\SAM,Disabled
0,100,Registry,0xffffe706b9865c40,0x2195e180000,0x2195e1bffff,Vad ,PAGE_READONLY,13,0,0xffffe706b98663c0,\\Windows\\System32\\config\\DEFAULT,Disabled
0,100,Registry,0xffffe706b9865f60,0x2195e5c0000,0x2195e7bffff,Vad ,PAGE_READONLY,3,0,0xffffe706b98656a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865920,0x2195e3c0000,0x2195e5bffff,Vad ,PAGE_READONLY,3,0,0xffffe706b9865f60,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865ba0,0x2195e7c0000,0x2195e9bffff,Vad ,PAGE_READONLY,0,0,0xffffe706b9865f60,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865d80,0x2195f1c0000,0x2195f3bffff,Vad ,PAGE_READONLY,12,0,0xffffe706b9865880,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98659c0,0x2195edc0000,0x2195efbffff,Vad ,PAGE_READONLY,3,0,0xffffe706b9865d80,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865740,0x2195ebc0000,0x2195edbffff,Vad ,PAGE_READONLY,12,0,0xffffe706b98659c0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98654c0,0x2195efc0000,0x2195f1bffff,Vad ,PAGE_READONLY,4,0,0xffffe706b98659c0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865100,0x2195f5c0000,0x2195f7bffff,Vad ,PAGE_READONLY,58,0,0xffffe706b9865d80,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865a60,0x2195f3c0000,0x2195f5bffff,Vad ,PAGE_READONLY,28,0,0xffffe706b9865100,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865b00,0x2195f7c0000,0x2195f9bffff,Vad ,PAGE_READONLY,60,0,0xffffe706b9865100,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865380,0x219609c0000,0x21960bbffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98651a0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98657e0,0x219601c0000,0x219603bffff,Vad ,PAGE_READONLY,0,0,0xffffe706b9865380,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865560,0x2195fdc0000,0x2195ffbffff,Vad ,PAGE_READONLY,7,0,0xffffe706b98657e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865240,0x2195fbc0000,0x2195fdbffff,Vad ,PAGE_READONLY,18,0,0xffffe706b9865560,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865e20,0x2195ffc0000,0x219601bffff,Vad ,PAGE_READONLY,0,0,0xffffe706b9865560,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b98652e0,0x219605c0000,0x219607bffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98657e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0xffffe706b9865ec0,0x219603c0000,0x219605bffff,Vad ,PAGE_READONLY,0,0,0xffffe706b98652e0,\\Windows\\System32\\config\\SOFTWARE,Disabled
