TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,328,smss.exe,0x7ff7bfda0000,0x28000,smss.exe,\\SystemRoot\\System32\\smss.exe,-1,2023-03-30 20:35:57.000000 UTC,Disabled
0,328,smss.exe,0x7ffb85030000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 20:35:57.000000 UTC,Disabled
0,420,csrss.exe,0x7ff6f0400000,0x7000,csrss.exe,C:\\Windows\\system32\\csrss.exe,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb85030000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82730000,0x18000,CSRSRV.dll,C:\\Windows\\SYSTEM32\\CSRSRV.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82710000,0x16000,basesrv.DLL,C:\\Windows\\system32\\basesrv.DLL,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb826f0000,0x15000,winsrv.DLL,C:\\Windows\\system32\\winsrv.DLL,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb829d0000,0x2ce000,kernelbase.dll,C:\\Windows\\SYSTEM32\\kernelbase.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb83130000,0xbd000,kernel32.dll,C:\\Windows\\SYSTEM32\\kernel32.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb826c0000,0x23000,winsrvext.dll,C:\\Windows\\SYSTEM32\\winsrvext.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb83400000,0x1a0000,USER32.dll,C:\\Windows\\system32\\USER32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb84960000,0x354000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb827f0000,0x4e000,cfgmgr32.dll,C:\\Windows\\SYSTEM32\\cfgmgr32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb84ea0000,0x2a000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82d50000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb828d0000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb835c0000,0x125000,RPCRT4.dll,C:\\Windows\\system32\\RPCRT4.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82f50000,0x10b000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82750000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb826b0000,0xd000,sxssrv.DLL,C:\\Windows\\system32\\sxssrv.DLL,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82490000,0xa2000,sxs.dll,C:\\Windows\\system32\\sxs.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,420,csrss.exe,0x7ffb82840000,0x82000,bcryptPrimitives.dll,C:\\Windows\\SYSTEM32\\bcryptPrimitives.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ff759c10000,0x69000,wininit.exe,C:\\Windows\\system32\\wininit.exe,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb85030000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb83130000,0xbd000,KERNEL32.DLL,C:\\Windows\\SYSTEM32\\KERNEL32.DLL,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb829d0000,0x2ce000,-,-,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb828d0000,0x100000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb835c0000,0x125000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb83f20000,0x9c000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82690000,0x1f000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82680000,0xe000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb83090000,0x9e000,msvcrt.dll,C:\\Windows\\system32\\msvcrt.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb84ee0000,0xae000,ADVAPI32.dll,C:\\Windows\\system32\\ADVAPI32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb83400000,0x1a0000,USER32.dll,C:\\Windows\\system32\\USER32.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82d50000,0x22000,win32u.dll,C:\\Windows\\system32\\win32u.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb84ea0000,0x2a000,GDI32.dll,C:\\Windows\\system32\\GDI32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82f50000,0x10b000,gdi32full.dll,C:\\Windows\\SYSTEM32\\gdi32full.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82750000,0x9d000,msvcp_win.dll,C:\\Windows\\system32\\msvcp_win.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82650000,0x2e000,USERENV.dll,C:\\Windows\\system32\\USERENV.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82610000,0x32000,SspiCli.dll,C:\\Windows\\system32\\SspiCli.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81490000,0x29000,profext.dll,C:\\Windows\\SYSTEM32\\profext.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb84960000,0x354000,combase.dll,C:\\Windows\\SYSTEM32\\combase.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81450000,0x33000,ntmarta.dll,C:\\Windows\\SYSTEM32\\ntmarta.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb83060000,0x27000,Bcrypt.dll,C:\\Windows\\system32\\Bcrypt.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb82840000,0x82000,bcryptprimitives.dll,C:\\Windows\\system32\\bcryptprimitives.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81370000,0xa1000,firewallapi.dll,C:\\Windows\\SYSTEM32\\firewallapi.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81b80000,0xca000,DNSAPI.dll,C:\\Windows\\system32\\DNSAPI.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81b30000,0x3b000,IPHLPAPI.DLL,C:\\Windows\\SYSTEM32\\IPHLPAPI.DLL,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb84ed0000,0x8000,-,-,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb812f0000,0x3a000,fwbase.dll,C:\\Windows\\system32\\fwbase.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb84470000,0x6b000,WS2_32.dll,C:\\Windows\\SYSTEM32\\WS2_32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,500,wininit.exe,0x7ffb81e40000,0x6a000,mswsock.dll,C:\\Windows\\system32\\mswsock.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ff6875e0000,0xb0000,services.exe,C:\\Windows\\system32\\services.exe,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb85030000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb83130000,0xbd000,KERNEL32.DLL,C:\\Windows\\SYSTEM32\\KERNEL32.DLL,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb829d0000,0x2ce000,KERNELBASE.dll,C:\\Windows\\SYSTEM32\\KERNELBASE.dll,-1,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb835c0000,0x125000,RPCRT4.dll,C:\\Windows\\SYSTEM32\\RPCRT4.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb83f20000,0x9c000,sechost.dll,C:\\Windows\\SYSTEM32\\sechost.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb827f0000,0x4e000,cfgmgr32.dll,C:\\Windows\\SYSTEM32\\cfgmgr32.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb82480000,0xa000,DPAPI.dll,C:\\Windows\\SYSTEM32\\DPAPI.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb82460000,0x19000,EventAggregation.dll,C:\\Windows\\SYSTEM32\\EventAggregation.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb828d0000,0x100000,ucrtbase.dll,C:\\Windows\\SYSTEM32\\ucrtbase.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb82430000,0x2c000,DEVOBJ.dll,C:\\Windows\\SYSTEM32\\DEVOBJ.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
0,640,services.exe,0x7ffb815c0000,0x93000,scesrv.dll,C:\\Windows\\SYSTEM32\\scesrv.dll,6,2023-03-30 20:35:58.000000 UTC,Disabled
