TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xa38263676080,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xa38263744140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xa3826368bb40,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xcf85d5e2f330,0x10,Directory,0xf000f,-
0,4,System,0xcf85d5e1c060,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xa3826368c7a0,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xcf85d5e2f500,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xa38263693320,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xa38263693c20,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xa38263693ca0,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xa38263693a20,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xa38263693fa0,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xa382636930a0,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xa38263693e20,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xa382636938a0,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xa38263693d20,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xa38263693620,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xa382636932a0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xa382637b0080,0x4c,Thread,0x1fffff,Tid 76 Pid 4
0,4,System,0xa382637b5040,0x50,Process,0x1fffff,Registry Pid 92
0,4,System,0xcf85d5ee4700,0x54,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xcf85d5eb6480,0x58,Key,0x0,-
0,4,System,0xa3826971d080,0x60,Process,0x102a,dllhost.exe Pid 3800
0,4,System,0xcf85d5ee3d70,0x64,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xcf85d5ee3930,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0xcf85d5ee4810,0x6c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xcf85d5ee31c0,0x70,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xcf85d5ee4a30,0x74,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xcf85d5ee5af0,0x78,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xa38263695590,0x7c,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xcf85d5ee4d60,0x80,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0xa3826364b1d0,0x84,ALPC Port,0x1f0001,PowerPort
0,4,System,0xcf85d5ee50a0,0x88,Key,0xf003f,USER
0,4,System,0xcf85d5f2c820,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0xcf85d5ee5640,0x90,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0xa382636ab210,0x94,Event,0x1f0003,-
0,4,System,0xcf85d5f2c0b0,0x98,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xcf85d5f2de70,0x9c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xcf85d5ee6090,0xa0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0xcf85d5f2d2c0,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0xcf85d5f2c930,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
