TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa382636a95d0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,1368,spoolsv.exe,2023-03-30 20:36:07.000000 UTC
0,0xa382636a95d0,TCPv6,::,49669,::,0,LISTENING,1368,spoolsv.exe,2023-03-30 20:36:07.000000 UTC
0,0xa382636a99f0,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,1368,spoolsv.exe,2023-03-30 20:36:07.000000 UTC
0,0xa382636a9cb0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,640,services.exe,2023-03-30 20:36:08.000000 UTC
0,0xa382636a9e10,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,640,services.exe,2023-03-30 20:36:08.000000 UTC
0,0xa382636a9e10,TCPv6,::,49670,::,0,LISTENING,640,services.exe,2023-03-30 20:36:08.000000 UTC
0,0xa38263716480,TCPv4,10.0.2.52,50363,2.19.161.56,443,CLOSE_WAIT,404,SearchApp.exe,2023-03-30 20:52:23.000000 UTC
0,0xa38263b1e010,TCPv4,10.0.2.52,49775,20.90.152.133,443,ESTABLISHED,312,svchost.exe,2023-03-30 20:38:43.000000 UTC
0,0xa38263b2abd0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,2023-03-30 20:36:08.000000 UTC
0,0xa38263b2abd0,TCPv6,::,445,::,0,LISTENING,4,System,2023-03-30 20:36:08.000000 UTC
0,0xa382640eb050,TCPv4,10.0.2.52,139,0.0.0.0,0,LISTENING,4,System,2023-03-30 20:36:05.000000 UTC
0,0xa382640eb470,TCPv4,0.0.0.0,49665,0.0.0.0,0,LISTENING,500,wininit.exe,2023-03-30 20:35:58.000000 UTC
0,0xa382640eb470,TCPv6,::,49665,::,0,LISTENING,500,wininit.exe,2023-03-30 20:35:58.000000 UTC
0,0xa382640eb5d0,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,312,svchost.exe,2023-03-30 20:36:06.000000 UTC
0,0xa382640eb5d0,TCPv6,::,49667,::,0,LISTENING,312,svchost.exe,2023-03-30 20:36:06.000000 UTC
0,0xa382640ebb50,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,892,svchost.exe,2023-03-30 20:35:58.000000 UTC
