TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,1232,640,svchost.exe,0xa38263675080,16,-,0,False,2023-03-30 20:36:03.000000 UTC,N/A,Disabled
0,4,0,System,0xa38263676080,120,-,N/A,False,2023-03-30 20:35:57.000000 UTC,N/A,Disabled
0,1268,640,svchost.exe,0xa3826367b080,35,-,0,False,2023-03-30 20:36:04.000000 UTC,N/A,Disabled
0,92,4,Registry,0xa382637b5040,4,-,N/A,False,2023-03-30 20:35:56.000000 UTC,N/A,Disabled
0,420,404,csrss.exe,0xa382640dc080,11,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,328,4,smss.exe,0xa382641e7080,2,-,N/A,False,2023-03-30 20:35:57.000000 UTC,N/A,Disabled
0,3968,1296,msedge.exe,0xa3826431e080,46,-,2,False,2023-03-30 20:44:48.000000 UTC,N/A,Disabled
0,640,500,services.exe,0xa38264371080,7,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,500,404,wininit.exe,0xa3826437a140,1,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,1172,640,svchost.exe,0xa38264381080,11,-,0,False,2023-03-30 20:36:03.000000 UTC,N/A,Disabled
0,656,500,lsass.exe,0xa382643cb0c0,13,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,4292,768,backgroundTask,0xa38264847080,8,-,2,False,2023-03-30 21:00:02.000000 UTC,N/A,Disabled
0,6220,640,TrustedInstall,0xa382649670c0,7,-,0,False,2023-03-30 20:58:31.000000 UTC,N/A,Disabled
0,4372,768,backgroundTask,0xa38264972080,13,-,2,False,2023-03-30 21:00:03.000000 UTC,N/A,Disabled
0,768,640,svchost.exe,0xa38264d8e240,20,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,804,500,fontdrvhost.ex,0xa38264daa140,5,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,892,640,svchost.exe,0xa38264e1b2c0,25,-,0,False,2023-03-30 20:35:58.000000 UTC,N/A,Disabled
0,952,640,sppsvc.exe,0xa38264e5b080,0,-,0,False,2023-03-30 20:35:59.000000 UTC,2023-03-30 20:40:07.000000 UTC,Disabled
0,312,640,svchost.exe,0xa38264ebf240,72,-,0,False,2023-03-30 20:35:59.000000 UTC,N/A,Disabled
0,424,640,svchost.exe,0xa38264f062c0,14,-,0,False,2023-03-30 20:35:59.000000 UTC,N/A,Disabled
0,4124,5420,fontdrvhost.ex,0xa38264f2b340,5,-,2,False,2023-03-30 20:43:30.000000 UTC,N/A,Disabled
0,800,640,svchost.exe,0xa38264f382c0,27,-,0,False,2023-03-30 20:35:59.000000 UTC,N/A,Disabled
0,5548,5172,csrss.exe,0xa38264f7e080,13,-,2,False,2023-03-30 20:43:30.000000 UTC,N/A,Disabled
0,1108,1092,msoobe.exe,0xa38264f7f080,0,-,1,False,2023-03-30 20:36:03.000000 UTC,2023-03-30 20:37:28.000000 UTC,Disabled
0,1132,640,svchost.exe,0xa38264f81280,19,-,0,False,2023-03-30 20:36:03.000000 UTC,N/A,Disabled
0,1320,640,svchost.exe,0xa38264f882c0,19,-,0,False,2023-03-30 20:36:04.000000 UTC,N/A,Disabled
0,4896,768,RuntimeBroker.,0xa38264f8c080,10,-,2,False,2023-03-30 20:43:52.000000 UTC,N/A,Disabled
