TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xa38263676080,120,-,N/A,False,2023-03-30 20:35:57.000000 UTC,N/A,-,-,-
1,328,4,smss.exe,0xa382641e7080,2,-,N/A,False,2023-03-30 20:35:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,92,4,Registry,0xa382637b5040,4,-,N/A,False,2023-03-30 20:35:56.000000 UTC,N/A,Registry,-,-
1,1960,4,MemCompression,0xa38268f19040,82,-,N/A,False,2023-03-30 20:36:06.000000 UTC,N/A,MemCompression,-,-
0,1108,1092,msoobe.exe,0xa38264f7f080,0,-,1,False,2023-03-30 20:36:03.000000 UTC,2023-03-30 20:37:28.000000 UTC,\\Device\\HarddiskVolume2\\Windows\\System32\\oobe\\msoobe.exe,-,-
0,5548,5172,csrss.exe,0xa38264f7e080,13,-,2,False,2023-03-30 20:43:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,5420,5172,winlogon.exe,0xa3826a05e080,5,-,2,False,2023-03-30 20:43:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\winlogon.exe,winlogon.exe,C:\\Windows\\system32\\winlogon.exe
1,352,5420,dwm.exe,0xa3826a81a080,17,-,2,False,2023-03-30 20:43:30.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dwm.exe,"""dwm.exe""",C:\\Windows\\system32\\dwm.exe
1,1536,5420,userinit.exe,0xa38269783080,0,-,2,False,2023-03-30 20:43:31.000000 UTC,2023-03-30 20:44:00.000000 UTC,\\Device\\HarddiskVolume2\\Windows\\System32\\userinit.exe,-,-
2,3364,1536,explorer.exe,0xa3826a082340,104,-,2,False,2023-03-30 20:43:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\explorer.exe,C:\\Windows\\Explorer.EXE,C:\\Windows\\Explorer.EXE
3,1280,3364,SecurityHealth,0xa3826a751080,1,-,2,False,2023-03-30 20:44:58.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SecurityHealthSystray.exe,"""C:\\Windows\\System32\\SecurityHealthSystray.exe"" ",C:\\Windows\\System32\\SecurityHealthSystray.exe
3,5244,3364,cmd.exe,0xa382688d8080,1,-,2,False,2023-03-30 20:51:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe,"""C:\\Windows\\system32\\cmd.exe"" ",C:\\Windows\\system32\\cmd.exe
4,7312,5244,winpmem_mini_x,0xa3826a0d5080,3,-,2,False,2023-03-30 21:00:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Users\\mapo9\\OneDrive\\Desktop\\winpmem\\winpmem_mini_x64_rc2.exe,winpmem_mini_x64_rc2  WithVirus.raw,C:\\Users\\mapo9\\OneDrive\\Desktop\\winpmem\\winpmem_mini_x64_rc2.exe
4,7852,5244,conhost.exe,0xa3826a85c080,4,-,2,False,2023-03-30 20:51:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\conhost.exe,\\??\\C:\\Windows\\system32\\conhost.exe 0x4,C:\\Windows\\system32\\conhost.exe
