TreeDepth,PID,Process,Args
0,4,System,-
0,68,Registry,-
0,300,smss.exe,\\SystemRoot\\System32\\smss.exe
0,392,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,460,wininit.exe,wininit.exe
0,468,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,508,services.exe,C:\\Windows\\system32\\services.exe
0,524,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,560,winlogon.exe,winlogon.exe
0,624,fontdrvhost.ex,"""fontdrvhost.exe"""
0,644,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,708,fontdrvhost.ex,"""fontdrvhost.exe"""
0,764,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,852,dwm.exe,"""dwm.exe"""
0,908,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,924,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,952,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
0,312,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,408,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p
0,388,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,1036,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p
0,1168,VBoxService.ex,C:\\Windows\\System32\\VBoxService.exe
0,1320,MemCompression,-
0,1456,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1576,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1584,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1684,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,1716,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1928,svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p
0,1996,ruby.exe,"""C:\\Program Files\\Puppet Labs\\Puppet\\sys\\ruby\\bin\\ruby.exe"" -rubygems ""C:\\Program Files\\Puppet Labs\\Puppet\\service\\daemon.rb"""
0,2012,MsMpEng.exe,-
0,2024,wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe
0,2316,svchost.exe,C:\\Windows\\System32\\svchost.exe -k wsappx -p
0,3688,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p
0,3752,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p
0,872,sihost.exe,sihost.exe
0,1200,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup
0,2960,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
0,3652,ctfmon.exe,"""ctfmon.exe"""
0,3596,userinit.exe,-
0,2452,explorer.exe,C:\\Windows\\Explorer.EXE
0,4000,svchost.exe,C:\\Windows\\system32\\svchost.exe -k ClipboardSvcGroup -p
0,1556,ShellExperienc,"""C:\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
0,3364,SearchUI.exe,"""C:\\Windows\\SystemApps\\Microsoft.Windows.Cortana_cw5n1h2txyewy\\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca"
0,1100,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,4208,ApplicationFra,C:\\Windows\\system32\\ApplicationFrameHost.exe -Embedding
0,4248,MicrosoftEdge.,-
0,4544,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,4748,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,5092,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,4668,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,5624,smartscreen.ex,C:\\Windows\\System32\\smartscreen.exe -Embedding
0,5664,SecurityHealth,-
0,5744,VBoxTray.exe,"""C:\\Windows\\System32\\VBoxTray.exe"" "
0,5864,OneDrive.exe,-
0,476,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p
0,1408,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,5652,CompatTelRunne,-
0,5872,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p
0,3204,dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
0,6460,SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe
0,7376,msedge.exe,-
0,7660,msedge.exe,-
0,7852,msedge.exe,-
0,2920,WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
0,4672,msedge.exe,-
0,6876,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,7092,SecurityHealth,C:\\Windows\\system32\\SecurityHealthService.exe
0,5388,OneDrive.exe, /updateInstalled /background
0,2940,svchost.exe,C:\\Windows\\System32\\svchost.exe -k smphost
0,6972,backgroundTask,"""C:\\Windows\\system32\\backgroundTaskHost.exe"" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca"
0,6868,backgroundTask,-
0,4564,DismHost.exe,-
0,7748,taskhostw.exe,-
0,7184,DeviceCensus.e,-
0,7960,OneDriveStanda,-
0,2892,MicrosoftEdgeU,"""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\MicrosoftEdgeUpdate.exe"" /ua /installsource scheduler"
0,5592,MicrosoftEdgeU,-
0,2124,MicrosoftEdge_,"""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\Install\\{3D6D3AD9-872E-40A2-AD5C-9D5C2ADB5F4F}\\MicrosoftEdge_X64_111.0.1661.62.exe"" --msedgewebview --verbose-logging --do-not-launch-msedge --system-level"
0,3220,MicrosoftEdge.,"""C:\\Windows\\SystemApps\\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\\MicrosoftEdge.exe"" -ServerName:MicrosoftEdge.AppXdnhjhccw3zf0j06tkg3jtqr00qdm0khc.mca"
0,2864,browser_broker,C:\\Windows\\system32\\browser_broker.exe -Embedding
0,1804,Windows.WARP.J,C:\\Windows\\system32\\Windows.WARP.JITService.exe c95fa5d5-a83f-4a69-b1fc-745ada4573c2 S-1-15-2-3624051433-2125758914-1423191267-1740899205-1073925389-3782572162-737981194 S-1-5-21-3461203602-4096304019-2269080069-1000 468
0,7208,MicrosoftEdgeS,C:\\Windows\\system32\\MicrosoftEdgeSH.exe SCODEF:3220 CREDAT:9730 APH:6380000000004 JITHOST /prefetch:2
0,5936,MicrosoftEdgeC,"""C:\\Windows\\System32\\MicrosoftEdgeCP.exe"" -ServerName:Windows.Internal.WebRuntime.ContentProcessServer"
0,7096,Windows.WARP.J,C:\\Windows\\system32\\Windows.WARP.JITService.exe c95fa5d6-a83f-4a69-b1fc-745ada4573c2 S-1-15-2-3624051433-2125758914-1423191267-1740899205-1073925389-3782572162-737981194-3513710562-3729412521-1863153555-1462103995 S-1-5-21-3461203602-4096304019-2269080069-1000 656
0,3028,setup.exe,"""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\Install\\{3D6D3AD9-872E-40A2-AD5C-9D5C2ADB5F4F}\\EDGEMITMP_415E7.tmp\\setup.exe"" --install-archive=""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\Install\\{3D6D3AD9-872E-40A2-AD5C-9D5C2ADB5F4F}\\MicrosoftEdge_X64_111.0.1661.62.exe"" --msedgewebview --verbose-logging --do-not-launch-msedge --system-level"
0,4844,GoogleCrashHan,"""C:\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe"""
0,1208,GoogleCrashHan,"""C:\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler64.exe"""
0,7128,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --from-installer"
0,3256,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\\Users\\IEUser\\AppData\\Local\\Google\\Chrome\\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\\Users\\IEUser\\AppData\\Local\\Google\\Chrome\\User Data\\Crashpad"" ""--metrics-dir=C:\\Users\\IEUser\\AppData\\Local\\Google\\Chrome\\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=111.0.5563.147 --initial-client-data=0xd8,0xdc,0xe0,0xb4,0xe4,0x7ffb3abbba68,0x7ffb3abbba78,0x7ffb3abbba88"
0,572,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=gpu-process --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1880 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:2"
0,3104,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --mojo-platform-channel-handle=2000 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:8"
0,5460,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --mojo-platform-channel-handle=2068 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:8"
0,3368,WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
0,2888,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,2580,MpCmdRun.exe,-
0,7344,MpCmdRun.exe,-
0,4412,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --mojo-platform-channel-handle=5900 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:8"
0,1648,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=41 --time-ticks-at-unix-epoch=-1680588435449595 --launch-time-ticks=687199823 --mojo-platform-channel-handle=6024 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:1"
0,6072,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=46 --time-ticks-at-unix-epoch=-1680588435449595 --launch-time-ticks=696725985 --mojo-platform-channel-handle=4596 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:1"
0,6744,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=48 --time-ticks-at-unix-epoch=-1680588435449595 --launch-time-ticks=704783539 --mojo-platform-channel-handle=1708 --field-trial-handle=2036,i,2271140168709363196,2838491248423649147,131072 /prefetch:1"
0,6356,SearchProtocol,-
0,1764,GoogleUpdate.e,"""C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe"" /c"
0,2080,GoogleUpdate.e,-
0,3820,sppsvc.exe,-
0,4624,CHXSmartScreen,"""C:\\Windows\\SystemApps\\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\\CHXSmartScreen.exe"" -ServerName:App.AppXk7vvv12h4qrkhkbvf6j86ja45mzj5km9.mca"
0,6032,GoogleUpdate.e,-
0,5912,WindowsInterna,"""C:\\Windows\\SystemApps\\InputApp_cw5n1h2txyewy\\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe"" -ServerName:App.AppXagta193n5rpf7mheremt3yyfa1g555vc.mca"
0,5956,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,6800,OneDriveSetup.,"""C:\\Users\\IEUser\\AppData\\Local\\Microsoft\\OneDrive\\StandaloneUpdater\\OneDriveSetup.exe"" /update /restart /updateSource:ODSU"
0,7528,wuauclt.exe,-
0,8060,taskhostw.exe,-
0,8180,TrustedInstall,C:\\Windows\\servicing\\TrustedInstaller.exe
0,2396,TiWorker.exe,C:\\Windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.164_none_7e114a3d4d0589d4\\TiWorker.exe -Embedding
0,6168,OneDriveSetup.,-
0,864,cmd.exe,"""C:\\Windows\\system32\\cmd.exe"" "
0,2472,conhost.exe,\\??\\C:\\Windows\\system32\\conhost.exe 0x4
0,4676,MsMpEng.exe,"""C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.2302.7-0\\MsMpEng.exe"""
